#Mean	524.872
#Median	515
#Mode	467
#STDev	134.070
#PercentOfPairs	100.000
#InsertSize	Count
43	1
62	1
63	1
93	1
99	1
100	1
102	1
104	1
106	1
108	1
109	1
115	1
116	1
118	1
119	2
122	1
123	2
125	1
127	1
129	3
130	1
133	2
134	1
135	1
137	1
139	1
140	1
141	1
142	4
143	5
144	2
145	2
146	3
147	3
148	1
150	1
151	1
153	2
154	1
155	2
159	1
160	2
162	1
163	2
164	1
165	3
166	2
167	2
168	1
169	1
171	2
173	1
174	3
175	2
176	2
177	1
178	2
179	5
180	1
181	3
182	1
183	2
184	1
185	1
186	3
187	2
188	6
189	2
191	2
192	2
193	1
194	4
195	1
197	1
199	2
201	2
202	5
203	1
204	8
205	2
206	2
207	2
208	2
209	1
210	1
211	1
212	9
213	1
217	2
218	2
219	1
220	1
221	2
223	5
224	4
225	5
226	2
227	3
228	2
229	6
230	4
231	3
232	2
233	3
234	3
235	5
236	6
237	6
238	5
239	5
240	3
241	5
242	5
243	2
244	4
245	3
246	5
247	2
248	3
249	3
250	1
251	1
252	7
253	7
254	2
255	2
256	4
257	4
258	1
259	3
260	6
261	4
262	5
263	2
264	9
265	7
266	5
267	3
268	6
269	8
270	3
271	6
272	10
273	2
274	2
275	6
276	6
277	7
278	3
279	6
280	2
281	8
282	7
283	11
284	2
285	8
286	6
287	5
288	5
289	8
290	5
291	9
292	3
293	4
294	14
295	6
296	11
297	6
298	5
299	10
300	11
301	3
302	6
303	4
304	9
305	7
306	9
307	6
308	7
309	7
310	11
311	11
312	8
313	14
314	14
315	11
316	11
317	14
318	16
319	10
320	10
321	12
322	10
323	10
324	5
325	10
326	6
327	12
328	17
329	10
330	11
331	13
332	14
333	10
334	17
335	19
336	15
337	23
338	9
339	13
340	16
341	15
342	22
343	14
344	17
345	21
346	11
347	19
348	18
349	15
350	22
351	13
352	25
353	14
354	16
355	17
356	19
357	19
358	30
359	23
360	30
361	15
362	25
363	20
364	19
365	26
366	25
367	21
368	25
369	33
370	40
371	26
372	28
373	34
374	34
375	26
376	27
377	32
378	43
379	22
380	39
381	36
382	33
383	20
384	27
385	52
386	38
387	34
388	29
389	37
390	38
391	52
392	36
393	35
394	37
395	43
396	50
397	44
398	35
399	40
400	42
401	53
402	40
403	49
404	36
405	33
406	47
407	38
408	42
409	39
410	31
411	53
412	43
413	41
414	30
415	51
416	47
417	41
418	62
419	37
420	40
421	58
422	37
423	45
424	46
425	57
426	46
427	52
428	42
429	61
430	58
431	41
432	50
433	51
434	51
435	52
436	63
437	59
438	60
439	71
440	56
441	71
442	57
443	53
444	65
445	67
446	82
447	60
448	65
449	50
450	51
451	64
452	62
453	46
454	65
455	78
456	63
457	63
458	56
459	55
460	58
461	55
462	47
463	72
464	65
465	66
466	51
467	93
468	73
469	54
470	62
471	72
472	66
473	75
474	77
475	74
476	71
477	59
478	60
479	79
480	69
481	70
482	70
483	67
484	66
485	70
486	70
487	56
488	71
489	70
490	81
491	92
492	70
493	70
494	70
495	56
496	54
497	72
498	82
499	78
500	53
501	76
502	72
503	65
504	64
505	58
506	61
507	63
508	64
509	65
510	69
511	80
512	81
513	53
514	87
515	76
516	77
517	81
518	76
519	68
520	77
521	71
522	60
523	72
524	68
525	66
526	73
527	69
528	68
529	64
530	68
531	57
532	71
533	60
534	63
535	63
536	67
537	46
538	77
539	85
540	74
541	68
542	66
543	58
544	65
545	71
546	51
547	53
548	57
549	64
550	60
551	55
552	62
553	67
554	45
555	62
556	53
557	40
558	52
559	72
560	56
561	50
562	56
563	56
564	58
565	63
566	55
567	51
568	59
569	54
570	59
571	50
572	72
573	51
574	63
575	65
576	54
577	54
578	59
579	48
580	59
581	58
582	51
583	65
584	53
585	55
586	37
587	45
588	54
589	51
590	51
591	43
592	46
593	45
594	39
595	32
596	46
597	45
598	39
599	45
600	43
601	49
602	50
603	40
604	37
605	45
606	35
607	49
608	45
609	53
610	48
611	49
612	38
613	48
614	34
615	37
616	34
617	40
618	26
619	41
620	48
621	45
622	51
623	33
624	38
625	37
626	32
627	39
628	24
629	32
630	33
631	38
632	39
633	35
634	33
635	33
636	41
637	29
638	46
639	31
640	29
641	26
642	26
643	41
644	23
645	30
646	31
647	44
648	35
649	27
650	15
651	30
652	26
653	32
654	22
655	19
656	32
657	42
658	22
659	21
660	35
661	37
662	23
663	27
664	30
665	25
666	26
667	30
668	35
669	20
670	23
671	23
672	21
673	29
674	18
675	24
676	24
677	26
678	33
679	34
680	20
681	15
682	33
683	31
684	26
685	20
686	24
687	15
688	20
689	33
690	20
691	20
692	13
693	21
694	21
695	15
696	18
697	15
698	14
699	21
700	16
701	16
702	13
703	18
704	18
705	18
706	18
707	16
708	17
709	17
710	13
711	10
712	21
713	14
714	21
715	17
716	17
717	8
718	16
719	13
720	17
721	16
722	15
723	13
724	16
725	14
726	6
727	20
728	12
729	14
730	15
731	11
732	16
733	22
734	15
735	27
736	17
737	5
738	13
739	10
740	11
741	6
742	8
743	15
744	12
745	13
746	12
747	13
748	13
749	17
750	11
751	17
752	12
753	13
754	7
755	7
756	10
757	11
758	13
759	12
760	7
761	2
762	4
763	12
764	11
765	8
766	6
767	9
768	14
769	12
770	1
771	4
772	7
773	8
774	6
775	6
776	2
777	6
778	10
779	14
780	6
781	5
782	14
783	7
784	2
785	6
786	3
787	8
788	6
789	5
790	8
791	5
792	7
793	6
794	3
795	8
796	8
797	4
798	4
799	3
800	4
801	5
802	5
803	6
804	5
805	2
806	4
807	5
808	8
809	5
810	4
811	8
812	8
813	4
814	4
815	3
817	4
818	5
819	7
820	7
821	3
822	4
823	5
824	6
825	4
826	4
828	1
829	3
830	7
831	3
832	3
833	4
834	3
836	1
837	5
838	3
839	3
840	1
841	2
843	2
844	7
845	1
846	4
847	5
848	3
849	2
851	2
