#Mean	524.366
#Median	514
#Mode	542
#STDev	137.278
#PercentOfPairs	99.984
#InsertSize	Count
34	1
38	1
64	1
69	1
88	1
94	1
98	1
100	1
103	1
105	1
108	1
109	2
113	1
116	1
118	2
120	1
125	1
126	1
130	1
131	5
132	1
133	1
134	1
135	1
136	3
137	2
138	2
139	2
140	6
141	1
142	5
145	1
147	5
148	2
150	4
152	2
153	1
154	2
155	2
156	2
158	7
159	1
165	3
171	2
172	1
173	2
175	1
176	1
177	3
180	1
181	1
182	4
183	2
184	1
185	4
186	3
187	4
189	1
190	3
191	2
192	2
196	1
197	1
198	2
200	2
202	2
204	1
205	2
206	2
207	2
209	1
210	5
211	5
212	2
213	4
214	2
215	3
217	2
218	4
219	5
220	1
222	3
223	6
224	3
225	1
226	1
227	1
228	4
229	1
230	1
231	3
232	2
233	3
234	3
235	1
236	8
237	6
238	4
239	1
240	1
241	4
242	1
243	3
244	4
245	1
246	3
248	3
249	7
250	2
251	3
252	1
253	4
254	2
255	2
256	8
257	2
258	3
259	2
260	6
261	9
262	3
263	1
264	6
265	4
266	4
267	6
268	5
269	6
270	6
271	5
272	7
273	6
274	2
275	4
276	8
277	2
278	2
279	5
280	5
281	4
282	4
283	4
284	7
285	4
286	4
287	14
288	4
289	11
290	11
291	15
292	4
293	5
294	6
295	10
296	7
297	4
298	7
299	7
300	11
301	10
302	6
303	9
304	11
305	10
306	14
307	11
308	14
309	11
310	12
311	13
312	9
313	9
314	11
315	13
316	12
317	10
318	8
319	12
320	17
321	9
322	19
323	13
324	8
325	13
326	15
327	14
328	15
329	7
330	16
331	18
332	11
333	9
334	18
335	18
336	18
337	20
338	21
339	13
340	14
341	11
342	13
343	14
344	11
345	22
346	20
347	21
348	18
349	15
350	17
351	23
352	15
353	25
354	23
355	21
356	24
357	26
358	21
359	26
360	27
361	19
362	24
363	28
364	22
365	24
366	33
367	33
368	33
369	27
370	27
371	38
372	30
373	26
374	18
375	30
376	38
377	33
378	34
379	33
380	36
381	37
382	39
383	34
384	35
385	40
386	32
387	46
388	31
389	25
390	21
391	46
392	42
393	36
394	31
395	32
396	40
397	36
398	38
399	34
400	42
401	45
402	41
403	38
404	40
405	30
406	57
407	43
408	45
409	47
410	38
411	28
412	51
413	43
414	46
415	53
416	44
417	42
418	37
419	56
420	54
421	56
422	53
423	58
424	44
425	46
426	52
427	45
428	53
429	52
430	48
431	48
432	61
433	51
434	62
435	73
436	57
437	67
438	72
439	76
440	72
441	61
442	59
443	60
444	67
445	63
446	81
447	66
448	65
449	62
450	70
451	40
452	63
453	77
454	64
455	58
456	69
457	55
458	76
459	56
460	85
461	72
462	58
463	61
464	57
465	62
466	47
467	69
468	55
469	72
470	73
471	74
472	54
473	62
474	66
475	84
476	57
477	45
478	76
479	65
480	85
481	62
482	63
483	65
484	65
485	46
486	66
487	60
488	67
489	80
490	58
491	72
492	68
493	59
494	68
495	62
496	70
497	72
498	84
499	84
500	64
501	78
502	71
503	73
504	64
505	78
506	67
507	67
508	58
509	58
510	53
511	80
512	84
513	67
514	70
515	80
516	73
517	66
518	77
519	73
520	59
521	73
522	69
523	71
524	75
525	71
526	79
527	67
528	64
529	66
530	69
531	62
532	58
533	58
534	76
535	64
536	48
537	85
538	57
539	60
540	56
541	45
542	88
543	75
544	68
545	49
546	61
547	64
548	67
549	57
550	56
551	51
552	66
553	59
554	57
555	55
556	60
557	56
558	67
559	64
560	55
561	60
562	61
563	82
564	52
565	57
566	66
567	57
568	63
569	42
570	54
571	74
572	47
573	42
574	58
575	54
576	58
577	50
578	38
579	53
580	44
581	42
582	48
583	65
584	65
585	66
586	39
587	48
588	47
589	43
590	39
591	43
592	50
593	46
594	44
595	46
596	50
597	45
598	54
599	36
600	47
601	53
602	47
603	39
604	49
605	50
606	41
607	22
608	49
609	43
610	51
611	59
612	33
613	48
614	41
615	36
616	41
617	43
618	34
619	29
620	41
621	45
622	39
623	47
624	42
625	29
626	34
627	33
628	19
629	35
630	40
631	29
632	26
633	46
634	29
635	20
636	35
637	40
638	35
639	28
640	35
641	30
642	41
643	27
644	23
645	30
646	31
647	19
648	36
649	26
650	42
651	23
652	23
653	29
654	20
655	22
656	31
657	28
658	31
659	29
660	20
661	23
662	33
663	24
664	22
665	22
666	25
667	16
668	31
669	18
670	28
671	27
672	27
673	33
674	23
675	23
676	24
677	30
678	38
679	17
680	25
681	15
682	34
683	16
684	21
685	15
686	22
687	8
688	25
689	33
690	27
691	26
692	18
693	16
694	26
695	14
696	11
697	24
698	25
699	19
700	17
701	19
702	22
703	16
704	21
705	20
706	23
707	26
708	11
709	18
710	14
711	15
712	28
713	12
714	17
715	17
716	15
717	20
718	22
719	15
720	8
721	17
722	17
723	7
724	12
725	8
726	13
727	11
728	15
729	16
730	15
731	8
732	13
733	20
734	7
735	14
736	15
737	8
738	21
739	15
740	12
741	12
742	8
743	8
744	11
745	17
746	8
747	9
748	7
749	7
750	21
751	7
752	10
753	10
754	13
755	10
756	13
757	6
758	8
759	7
760	3
761	10
762	9
763	6
764	15
765	3
766	12
767	5
768	10
769	11
770	9
771	6
772	11
773	10
774	4
775	9
776	10
777	7
778	10
779	11
