#Mean	37.917
#Median	38
#Mode	38
#STDev	5.897
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	3
21	4
22	9
23	23
24	29
25	68
26	104
27	196
28	313
29	469
30	580
31	688
32	864
33	1007
34	1148
35	1230
36	1392
37	1376
38	1425
39	1385
40	1208
41	901
42	785
43	741
44	660
45	473
46	418
47	311
48	273
49	195
50	187
51	149
52	136
53	112
54	88
55	52
56	41
57	14
58	14
59	5
60	3
61	1
62	1
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
