#Deviation	4.4014	4.7702
#Avg_STDev	7.032
#Diversity	4.461
#Entropy	0.116
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	33.749	21.847	20.075	33.751	21.280	18.983
2	34.167	25.457	22.206	33.851	24.647	21.503
3	35.571	25.985	23.166	35.070	25.405	21.535
4	35.807	26.320	22.938	35.299	25.204	20.907
5	35.903	26.743	23.166	35.522	25.657	22.011
6	37.022	27.047	23.986	36.516	25.841	21.503
7	37.060	27.181	24.217	36.543	25.988	22.194
8	37.084	27.247	24.338	36.654	26.097	22.627
9	37.128	27.353	23.874	36.598	25.871	21.801
10	37.142	27.534	23.874	36.586	25.948	23.394
11	37.085	27.150	23.712	36.628	25.953	22.308
12	37.092	27.215	23.660	36.691	26.146	21.767
13	37.086	27.331	24.100	36.622	25.845	22.232
14	37.120	27.315	23.820	36.608	25.944	22.464
15	37.080	27.217	23.874	36.551	25.568	21.409
16	37.075	27.219	23.660	36.495	25.515	21.409
17	37.090	27.306	23.712	36.512	25.681	21.409
18	37.022	27.149	23.213	36.456	25.498	21.904
19	36.986	26.702	23.556	36.372	25.373	21.699
20	37.007	27.036	24.462	36.346	25.199	20.717
21	37.013	27.025	23.308	36.328	25.279	21.049
22	36.996	26.932	23.766	36.366	25.275	21.440
23	36.964	26.798	23.073	36.259	25.135	21.471
24	36.940	26.788	23.608	36.219	25.077	20.611
25	36.917	26.623	23.308	36.147	24.886	21.285
26	36.822	26.420	23.166	36.269	25.058	21.078
27	36.770	26.019	22.598	36.262	25.153	21.633
28	36.799	26.184	23.660	36.192	24.860	20.262
29	36.761	26.114	22.358	36.144	24.758	20.690
30	36.735	26.090	22.282	36.151	24.849	20.483
31	36.658	25.693	20.837	36.040	24.518	21.633
32	36.510	21.976	19.030	36.014	24.513	20.359
33	36.699	25.746	21.779	36.086	24.675	19.850
34	36.722	25.802	22.023	35.995	24.536	20.334
35	36.749	26.006	22.282	35.852	24.205	20.298
36	36.669	25.763	21.779	35.971	24.570	20.408
37	36.651	25.850	21.612	35.976	24.590	20.825
38	36.583	25.397	21.358	35.999	24.559	19.700
39	36.568	25.404	22.320	35.867	24.107	19.742
40	36.597	25.521	21.580	35.827	24.162	19.555
41	36.604	25.372	21.779	35.747	24.026	19.679
42	36.571	25.432	21.237	35.818	24.318	20.167
43	36.549	25.345	22.169	35.768	24.032	19.356
44	36.597	25.541	21.389	35.720	23.929	19.288
45	36.515	25.343	22.358	35.734	24.088	19.356
46	36.521	25.410	21.267	35.700	24.009	18.983
47	36.508	25.291	21.119	35.663	23.923	19.317
48	36.514	25.362	21.515	35.670	23.906	19.365
49	36.461	25.206	21.061	35.698	24.093	19.221
50	36.464	25.138	20.864	35.663	23.998	19.298
51	36.475	25.281	21.297	35.488	23.623	19.073
52	36.464	25.155	21.267	35.404	23.595	18.947
53	36.496	25.341	21.515	35.466	23.574	19.983
54	36.422	24.959	21.297	35.392	23.422	18.533
55	36.383	24.908	21.420	35.331	23.378	18.790
56	36.320	24.643	20.298	35.348	23.360	18.885
57	36.349	24.893	21.032	35.292	23.358	18.877
58	36.472	25.321	21.645	35.191	23.345	18.111
59	36.424	25.138	21.328	35.148	23.171	18.275
60	36.318	24.702	20.598	35.087	22.996	18.126
61	36.263	24.590	21.032	34.974	22.901	17.828
62	36.294	24.673	20.809	35.109	23.074	18.230
63	36.281	24.703	20.892	35.094	23.090	18.445
64	36.254	24.723	20.650	35.136	23.100	18.664
65	36.219	24.651	20.470	35.153	23.167	18.053
66	36.149	24.399	20.371	35.148	23.152	18.383
67	36.158	24.449	20.109	35.088	22.922	18.215
68	36.146	24.459	20.109	35.085	23.073	18.493
69	36.109	24.294	20.202	34.979	22.870	17.693
70	36.124	24.263	20.274	34.995	22.954	18.414
71	36.185	24.527	20.250	34.935	22.846	17.981
72	36.223	24.632	20.947	34.863	22.692	17.460
73	36.132	24.524	20.274	34.910	22.827	17.981
74	36.038	24.268	20.495	34.925	22.820	17.967
75	36.053	24.408	20.155	34.880	22.746	18.010
76	35.777	24.404	20.202	34.411	22.661	17.842
77	35.918	24.266	19.819	34.787	22.946	18.305
78	36.004	24.226	19.950	34.945	22.912	18.230
79	35.992	24.153	19.797	35.068	23.108	18.215
80	35.963	24.046	19.733	35.009	22.914	17.706
81	35.943	24.055	19.348	34.995	22.966	17.897
82	36.053	24.239	19.950	34.891	22.679	17.614
83	36.034	24.183	19.368	34.964	22.939	17.981
84	36.003	24.153	19.387	34.860	22.622	17.588
85	35.919	23.859	18.906	34.808	22.622	17.760
86	35.885	23.928	19.446	34.916	22.781	17.667
87	35.885	23.772	19.496	34.791	22.634	17.192
88	35.906	24.022	19.407	34.818	22.689	17.614
89	35.817	23.715	19.085	34.695	22.544	17.288
90	35.763	23.612	18.906	34.714	22.597	17.373
91	35.877	23.801	18.854	34.680	22.474	17.324
92	35.852	23.852	18.751	34.616	22.436	16.962
93	35.794	23.793	19.252	34.620	22.401	17.614
94	35.646	23.396	18.837	34.518	22.183	16.962
95	35.726	23.581	18.995	34.560	22.364	16.873
96	35.754	23.809	18.734	34.469	22.228	17.511
97	35.734	23.624	18.718	34.413	22.138	16.884
98	35.713	23.628	18.668	34.324	22.025	16.534
99	35.681	23.606	18.977	34.283	22.022	16.796
100	35.595	23.439	18.768	34.279	21.994	16.862
101	35.643	23.549	18.079	34.296	22.027	16.365
102	35.580	23.448	18.410	34.250	21.955	16.939
103	35.473	23.225	18.227	34.142	21.855	16.545
104	35.561	23.421	18.410	34.063	21.779	16.230
105	35.570	23.362	17.881	34.029	21.773	16.606
106	35.498	23.237	17.679	33.949	21.634	16.145
107	35.428	23.170	17.665	33.917	21.593	16.188
108	35.412	23.116	17.951	33.909	21.577	15.737
109	35.381	23.154	17.652	33.767	21.407	15.746
110	35.283	22.934	17.398	33.683	21.303	15.645
111	35.336	23.169	17.881	33.649	21.279	15.780
112	35.345	23.059	18.130	33.698	21.376	15.388
113	35.299	22.928	17.665	33.626	21.304	15.687
114	35.227	22.934	17.204	33.520	21.243	15.443
115	35.191	22.874	17.523	33.452	21.122	15.189
116	35.191	22.852	17.216	33.465	21.122	15.411
117	35.073	22.579	17.228	33.320	20.928	15.443
118	35.082	22.711	17.561	33.325	20.894	15.288
119	35.076	22.611	17.485	33.221	20.787	15.334
120	35.133	22.773	17.732	33.136	20.642	15.115
121	34.976	22.479	16.940	33.092	20.536	15.303
122	34.963	22.539	16.819	32.903	20.372	14.852
123	34.923	22.411	16.557	32.991	20.434	15.000
124	34.893	22.339	16.907	32.826	20.123	14.831
125	34.927	22.468	17.041	32.819	20.166	14.637
126	34.829	22.187	16.204	32.742	20.092	14.637
127	34.801	22.309	16.712	32.749	19.983	14.953
128	34.736	22.099	16.649	32.504	19.622	14.416
129	34.765	22.131	16.406	32.386	19.528	14.199
130	34.637	21.949	16.608	32.379	19.489	14.271
131	34.526	21.798	16.608	32.333	19.487	14.394
132	34.528	21.748	16.357	32.218	19.338	14.229
133	34.558	21.760	16.496	32.153	19.352	14.463
134	34.453	21.667	15.940	32.091	19.151	14.155
