#Deviation	4.4828	4.7138
#Avg_STDev	7.092
#Diversity	4.525
#Entropy	0.117
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	33.551	21.296	19.610	33.739	21.241	18.734
2	34.074	25.148	22.332	33.863	24.527	20.796
3	35.570	25.959	21.964	35.065	25.469	21.515
4	35.842	26.553	23.672	35.292	25.221	21.297
5	35.899	26.637	23.132	35.486	25.584	22.516
6	37.026	27.049	23.321	36.507	25.729	22.206
7	37.052	27.171	23.725	36.528	25.759	21.882
8	37.118	27.265	23.225	36.588	25.789	22.282
9	37.144	27.329	23.725	36.530	25.777	21.745
10	37.148	27.386	23.321	36.698	26.238	22.765
11	37.157	27.539	23.418	36.650	25.955	23.073
12	37.052	27.034	23.725	36.676	26.129	22.397
13	37.063	26.900	23.086	36.589	25.779	21.483
14	37.103	27.050	23.672	36.545	25.638	21.297
15	37.040	26.996	24.734	36.503	25.593	22.938
16	37.042	26.947	22.907	36.505	25.691	21.297
17	37.005	26.941	23.273	36.533	25.814	22.206
18	37.011	27.044	24.290	36.449	25.637	20.864
19	37.013	26.946	23.321	36.424	25.495	21.987
20	36.946	26.729	22.907	36.370	25.220	21.645
21	36.962	26.715	23.518	36.422	25.382	22.059
22	36.964	26.916	23.725	36.339	25.227	20.975
23	36.977	26.916	22.735	36.302	25.160	21.267
24	36.911	26.630	21.894	36.221	25.049	20.598
25	36.881	26.483	22.610	36.252	25.168	20.755
26	36.836	26.195	22.735	36.220	25.245	21.678
27	36.804	25.969	22.181	36.150	24.780	20.395
28	36.749	25.907	22.332	36.154	24.887	20.572
29	36.719	25.841	22.000	36.160	24.970	20.676
30	36.670	25.686	22.071	36.169	24.835	20.274
31	36.637	25.624	20.988	36.056	24.532	20.598
32	36.540	22.360	20.584	35.987	24.358	20.383
33	36.699	25.735	22.000	36.061	24.655	20.322
34	36.654	25.643	22.569	35.963	24.514	20.572
35	36.589	25.539	22.144	35.855	24.163	20.226
36	36.614	25.435	21.102	35.950	24.514	20.572
37	36.556	25.321	21.496	35.899	24.290	20.018
38	36.571	25.305	21.417	35.904	24.235	19.928
39	36.561	25.449	21.371	35.928	24.495	20.598
40	36.591	25.548	21.250	35.857	24.187	19.506
41	36.551	25.239	21.175	35.878	24.357	19.649
42	36.533	25.326	21.528	35.815	24.164	20.132
43	36.511	25.362	20.932	35.894	24.370	20.598
44	36.476	25.051	21.045	35.759	24.057	20.132
45	36.534	25.406	21.102	35.754	23.994	19.310
46	36.466	25.088	22.000	35.744	24.038	19.526
47	36.495	25.294	21.280	35.721	23.920	19.196
48	36.428	25.033	21.310	35.703	23.919	19.587
49	36.419	24.852	21.131	35.595	23.779	19.608
50	36.475	25.135	20.636	35.561	23.755	19.526
51	36.473	25.137	21.464	35.465	23.551	19.168
52	36.477	25.009	21.073	35.393	23.520	18.819
53	36.447	25.074	21.310	35.497	23.668	19.214
54	36.318	24.583	20.932	35.429	23.604	19.012
55	36.390	25.018	20.715	35.390	23.513	19.426
56	36.310	24.758	20.795	35.243	23.224	18.521
57	36.270	24.674	20.533	35.234	23.337	18.837
58	36.363	25.041	21.220	35.169	23.211	18.123
59	36.311	24.704	21.190	35.146	23.208	18.108
60	36.360	24.862	20.636	35.119	23.005	18.854
61	36.212	24.566	20.008	35.084	23.005	18.272
62	36.294	24.769	20.795	35.097	23.166	18.379
63	36.241	24.482	20.715	35.176	23.254	18.521
64	36.209	24.687	20.849	35.078	23.064	18.618
65	36.124	24.326	20.359	35.224	23.326	18.197
66	36.165	24.447	20.263	35.068	22.888	18.410
67	36.113	24.289	20.053	35.099	22.899	18.302
68	36.114	24.233	20.008	35.083	23.014	18.457
69	36.132	24.363	19.746	35.066	23.056	18.348
70	36.079	24.237	19.897	34.976	22.793	18.302
71	36.078	24.300	20.408	34.983	22.810	17.840
72	36.102	24.337	20.008	34.925	22.757	17.786
73	36.033	24.195	20.030	34.852	22.727	17.895
74	36.036	24.145	20.215	34.985	22.878	17.881
75	35.989	24.093	19.810	34.885	22.726	17.854
76	35.739	24.206	20.053	34.402	22.856	18.537
77	35.896	24.172	19.600	34.840	23.047	18.473
78	35.954	24.078	19.746	34.895	22.865	18.473
79	35.991	24.057	19.641	35.127	23.194	18.212
80	35.946	23.882	19.569	35.040	23.018	18.364
81	35.934	23.988	19.919	34.850	22.648	18.395
82	35.981	24.108	19.246	34.900	22.717	17.965
83	35.945	24.027	19.007	34.989	22.876	18.008
84	35.878	23.823	19.361	34.882	22.753	18.022
85	35.929	23.994	19.025	34.862	22.647	17.122
86	35.788	23.742	19.459	34.822	22.596	17.613
87	35.827	23.640	19.052	34.825	22.616	17.692
88	35.808	23.687	18.697	34.738	22.483	17.204
89	35.783	23.644	19.190	34.636	22.313	16.907
90	35.778	23.620	18.747	34.649	22.295	17.053
91	35.769	23.610	18.680	34.698	22.552	17.336
92	35.757	23.737	18.954	34.715	22.534	17.435
93	35.717	23.549	18.697	34.573	22.345	16.863
94	35.711	23.528	18.631	34.463	22.183	17.447
95	35.656	23.527	18.454	34.353	21.965	16.974
96	35.662	23.477	18.832	34.425	22.148	16.929
97	35.648	23.451	18.798	34.326	22.020	16.744
98	35.621	23.348	18.284	34.317	22.012	16.618
99	35.646	23.519	18.566	34.228	21.864	16.681
100	35.522	23.183	18.254	34.339	22.119	16.628
101	35.494	23.132	18.582	34.267	21.904	16.562
102	35.626	23.516	18.815	34.226	21.977	16.587
103	35.389	22.908	17.349	34.071	21.742	16.416
104	35.510	23.293	18.239	34.125	21.839	16.130
105	35.394	23.004	17.744	34.040	21.723	16.148
106	35.480	23.176	17.665	34.041	21.745	16.232
107	35.397	23.031	17.964	33.884	21.598	15.870
108	35.332	22.922	17.385	33.969	21.777	16.047
109	35.369	23.047	17.922	33.810	21.536	15.949
110	35.217	22.712	17.205	33.819	21.594	16.111
111	35.300	22.956	17.561	33.671	21.370	15.852
112	35.256	22.858	17.825	33.653	21.313	15.600
113	35.268	22.941	17.181	33.530	21.164	15.567
114	35.189	22.767	17.252	33.420	21.041	15.527
115	35.154	22.790	17.123	33.456	21.036	15.113
116	35.054	22.546	17.158	33.441	20.982	15.319
117	34.984	22.464	16.864	33.332	20.954	15.447
118	34.936	22.388	16.997	33.280	20.782	15.015
119	34.907	22.348	16.881	33.208	20.749	15.408
120	34.996	22.423	16.704	33.065	20.529	14.772
121	35.021	22.576	17.054	33.013	20.501	15.033
122	34.906	22.363	16.498	32.953	20.354	14.721
123	34.895	22.455	16.293	32.885	20.259	14.802
124	34.863	22.314	16.683	32.840	20.176	15.153
125	34.841	22.321	16.908	32.848	20.181	14.789
126	34.697	22.076	16.331	32.765	20.049	14.735
127	34.722	22.071	16.419	32.660	19.760	14.551
128	34.677	21.990	16.142	32.548	19.642	14.503
129	34.652	21.933	16.105	32.454	19.510	14.241
130	34.531	21.718	16.133	32.250	19.382	14.129
131	34.547	21.765	16.133	32.300	19.533	14.338
132	34.423	21.595	16.245	32.267	19.366	14.229
133	34.449	21.586	15.830	32.105	19.216	14.025
134	34.316	21.503	16.015	32.022	19.053	14.020
135	34.229	21.272	15.908	31.880	19.008	14.141
136	34.218	21.298	15.944	31.903	19.049	14.065
137	34.203	21.279	16.051	31.777	18.971	13.831
138	34.133	21.134	15.908	31.649	18.842	13.798
139	34.062	20.965	15.882	31.511	18.700	13.820
140	34.106	21.125	15.762	31.617	18.849	13.686
141	33.933	20.895	15.865	31.481	18.751	13.825
142	33.941	20.947	15.917	31.468	18.707	13.330
143	33.831	20.743	15.192	31.354	18.616	13.496
144	33.622	20.556	15.436	31.280	18.587	13.676
145	33.668	20.573	15.304	31.206	18.528	13.639
146	33.675	20.644	15.312	31.051	18.348	13.303
147	33.618	20.664	15.327	31.134	18.445	13.401
148	33.623	20.519	15.169	31.030	18.331	13.411
149	33.653	20.654	15.475	30.898	18.277	13.371
150	33.477	20.466	15.125	30.896	18.332	13.362
151	31.703	18.930	13.595	29.318	17.233	12.197
