#Mean	37.808
#Median	37
#Mode	37
#STDev	5.937
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	8
22	7
23	17
24	24
25	82
26	106
27	196
28	313
29	455
30	614
31	751
32	926
33	1032
34	1176
35	1327
36	1424
37	1526
38	1456
39	1237
40	1147
41	949
42	807
43	723
44	527
45	450
46	358
47	313
48	276
49	233
50	173
51	132
52	131
53	131
54	111
55	71
56	42
57	20
58	12
59	7
60	4
61	1
62	1
63	1
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
