#Mean	524.735
#Median	515
#Mode	488
#STDev	135.716
#PercentOfPairs	99.995
#InsertSize	Count
84	1
86	2
91	1
95	1
108	1
115	2
119	2
120	1
124	1
125	1
128	1
129	1
130	2
131	1
132	2
133	2
134	2
135	2
136	2
137	2
139	2
140	1
141	1
142	2
143	3
144	5
145	2
146	2
147	1
148	3
149	5
150	2
151	2
152	1
154	1
155	1
156	1
158	1
159	2
162	2
163	2
166	7
167	3
169	1
170	2
171	1
175	1
176	2
177	1
178	1
179	2
181	3
183	1
184	1
185	2
186	2
188	4
189	5
190	1
191	1
192	3
193	2
194	2
195	2
196	1
197	1
198	1
199	2
200	1
201	4
203	4
204	2
205	1
206	8
207	3
208	1
209	4
210	4
211	2
212	1
214	2
215	1
217	3
218	2
219	1
220	2
221	1
222	3
223	2
224	1
225	3
226	2
227	1
228	4
229	3
230	3
231	2
232	4
233	1
235	4
237	1
238	3
239	2
240	3
241	2
243	4
244	2
245	3
246	1
247	2
248	2
249	5
250	3
251	2
252	4
253	5
254	7
255	1
256	4
257	8
258	9
259	8
260	3
261	5
262	5
263	2
264	5
265	6
266	2
267	3
268	1
269	2
270	7
271	3
272	4
273	1
274	5
275	7
276	3
277	5
278	17
279	5
280	7
281	9
282	7
283	6
284	6
285	8
286	5
287	6
288	3
289	4
290	6
291	3
292	8
293	11
294	11
295	3
296	8
297	8
298	6
299	2
300	5
301	8
302	4
303	9
304	5
305	8
306	9
307	8
308	10
309	13
310	7
311	8
312	12
313	9
314	9
315	12
316	6
317	6
318	10
319	7
320	7
321	8
322	13
323	11
324	14
325	23
326	20
327	13
328	20
329	14
330	22
331	16
332	12
333	14
334	13
335	18
336	18
337	17
338	10
339	20
340	30
341	16
342	13
343	12
344	14
345	12
346	23
347	15
348	18
349	17
350	23
351	19
352	22
353	20
354	21
355	24
356	22
357	18
358	21
359	15
360	25
361	18
362	28
363	30
364	31
365	28
366	18
367	28
368	32
369	24
370	36
371	28
372	22
373	32
374	34
375	21
376	33
377	33
378	28
379	32
380	37
381	31
382	41
383	35
384	31
385	31
386	37
387	35
388	45
389	36
390	47
391	41
392	35
393	34
394	40
395	43
396	29
397	48
398	43
399	41
400	37
401	33
402	38
403	36
404	37
405	44
406	45
407	46
408	41
409	49
410	51
411	35
412	48
413	45
414	41
415	46
416	52
417	46
418	44
419	57
420	50
421	49
422	53
423	48
424	45
425	47
426	48
427	46
428	59
429	83
430	52
431	63
432	40
433	57
434	42
435	50
436	45
437	54
438	56
439	62
440	63
441	56
442	47
443	58
444	63
445	53
446	69
447	72
448	62
449	50
450	66
451	63
452	72
453	67
454	69
455	58
456	58
457	58
458	74
459	50
460	56
461	60
462	74
463	54
464	60
465	64
466	72
467	52
468	68
469	87
470	68
471	48
472	67
473	67
474	69
475	68
476	69
477	63
478	83
479	86
480	81
481	73
482	58
483	70
484	77
485	75
486	60
487	58
488	89
489	77
490	60
491	65
492	77
493	77
494	64
495	52
496	83
497	59
498	67
499	71
500	80
501	60
502	73
503	66
504	76
505	49
506	62
507	74
508	72
509	79
510	50
511	70
512	65
513	78
514	66
515	77
516	66
517	66
518	68
519	66
520	57
521	51
522	81
523	58
524	64
525	64
526	82
527	73
528	59
529	61
530	71
531	78
532	52
533	64
534	70
535	85
536	45
537	71
538	68
539	47
540	66
541	84
542	76
543	71
544	56
545	69
546	75
547	53
548	64
549	58
550	71
551	64
552	72
553	62
554	58
555	73
556	51
557	70
558	67
559	58
560	40
561	49
562	71
563	56
564	58
565	61
566	52
567	66
568	54
569	62
570	63
571	51
572	59
573	68
574	51
575	53
576	57
577	51
578	40
579	48
580	41
581	54
582	34
583	52
584	47
585	46
586	48
587	60
588	49
589	49
590	56
591	56
592	50
593	49
594	49
595	35
596	52
597	34
598	45
599	49
600	55
601	57
602	54
603	36
604	39
605	51
606	42
607	40
608	43
609	39
610	41
611	47
612	43
613	39
614	30
615	42
616	41
617	42
618	35
619	33
620	42
621	37
622	34
623	42
624	32
625	49
626	34
627	23
628	36
629	37
630	33
631	49
632	39
633	42
634	36
635	29
636	43
637	35
638	29
639	36
640	31
641	37
642	40
643	29
644	41
645	26
646	35
647	20
648	23
649	31
650	30
651	33
652	29
653	30
654	27
655	29
656	30
657	26
658	21
659	24
660	20
661	23
662	11
663	29
664	32
665	27
666	30
667	21
668	28
669	24
670	28
671	16
672	13
673	18
674	20
675	26
676	22
677	19
678	28
679	22
680	16
681	23
682	19
683	16
684	29
685	28
686	31
687	13
688	25
689	14
690	16
691	23
692	21
693	21
694	27
695	16
696	13
697	17
698	20
699	23
700	15
701	21
702	18
703	12
704	17
705	20
706	21
707	15
708	11
709	20
710	16
711	20
712	8
713	11
714	14
715	24
716	11
717	20
718	11
719	13
720	12
721	15
722	16
723	7
724	13
725	12
726	16
727	15
728	9
729	17
730	16
731	9
732	16
733	10
734	17
735	12
736	16
737	14
738	5
739	11
740	14
741	1
742	12
743	12
744	13
745	10
746	14
747	12
748	14
749	9
750	6
751	13
752	12
753	9
754	10
755	8
756	12
757	11
758	8
759	10
760	18
761	5
762	8
763	12
764	10
765	15
766	4
767	9
768	8
769	8
770	12
771	7
772	5
773	11
774	5
775	17
776	7
777	8
778	6
779	7
780	10
781	8
782	6
783	2
784	10
785	9
786	6
787	8
788	9
789	9
790	7
791	4
792	8
793	5
794	7
795	6
796	9
797	4
798	2
799	10
800	3
801	5
802	8
803	9
804	5
805	7
806	2
807	4
808	7
809	2
810	2
811	4
812	4
813	5
814	4
815	7
816	4
817	2
818	5
819	3
820	3
821	6
823	1
824	7
825	2
826	3
827	9
828	3
829	4
830	4
831	3
832	3
833	5
834	4
835	3
836	5
837	4
838	2
839	3
840	4
841	6
843	4
844	3
845	2
846	4
847	1
848	4
849	2
850	2
851	7
852	2
853	1
855	4
857	5
858	7
859	1
860	3
861	2
864	3
866	3
867	2
869	1
870	1
872	3
873	2
874	2
875	5
876	1
877	3
879	1
880	2
884	2
886	1
888	1
890	3
892	1
893	2
895	1
896	2
897	1
898	6
899	2
900	1
901	4
904	2
906	1
907	1
908	2
909	1
911	1
916	1
918	1
919	1
920	2
921	1
922	1
925	4
930	1
931	1
932	1
933	3
935	1
938	1
942	1
947	1
951	1
952	1
956	1
958	1
962	1
965	1
971	1
972	1
977	1
980	1
981	1
983	1
985	1
988	2
993	2
995	1
1000	1
1003	2
1007	1
1008	1
1011	1
1013	1
1020	1
1021	1
1023	1
1025	1
1029	1
1031	1
1033	1
1034	2
1050	2
1074	1
1099	1
1106	1
1107	1
1114	1
1131	2
1137	1
1140	1
1142	1
1144	1
1169	1
1176	1
1186	1
1187	3
1198	1
1200	1
1204	1
1206	2
1209	1
1211	1
1212	1
1214	1
1246	1
1259	2
1274	1
1357	1
1412	4
1429	1
1458	1
1503	1
1505	1
1508	1
1545	1
1575	2
1586	2
1599	1
1621	1
1683	1
1701	1
1757	1
1769	1
1794	1
1804	1
1838	1
1850	1
1869	1
1870	1
