#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1	Match2	Sub2	Del2	Ins2	N2	Other2
1	0.98742	0.00777	0.00000	0.00000	0.00482	0.00000	0.98640	0.00836	0.00000	0.00000	0.00524	0.00000
2	0.99270	0.00720	0.00000	0.00000	0.00010	0.00000	0.99284	0.00711	0.00000	0.00000	0.00005	0.00000
3	0.99529	0.00471	0.00000	0.00000	0.00000	0.00000	0.99408	0.00592	0.00000	0.00000	0.00000	0.00000
4	0.99591	0.00409	0.00000	0.00000	0.00000	0.00000	0.99216	0.00784	0.00000	0.00000	0.00000	0.00000
5	0.99544	0.00445	0.00000	0.00005	0.00005	0.00000	0.99346	0.00649	0.00010	0.00005	0.00000	0.00000
6	0.99581	0.00388	0.00010	0.00031	0.00000	0.00000	0.99299	0.00670	0.00005	0.00031	0.00000	0.00000
7	0.99581	0.00394	0.00000	0.00026	0.00000	0.00000	0.99330	0.00649	0.00000	0.00021	0.00000	0.00000
8	0.99508	0.00471	0.00005	0.00021	0.00000	0.00000	0.99393	0.00586	0.00010	0.00021	0.00000	0.00000
9	0.99679	0.00295	0.00005	0.00026	0.00000	0.00000	0.99388	0.00592	0.00000	0.00021	0.00000	0.00000
10	0.99679	0.00295	0.00000	0.00026	0.00000	0.00000	0.99351	0.00623	0.00016	0.00026	0.00000	0.00000
11	0.99539	0.00440	0.00000	0.00021	0.00000	0.00000	0.99393	0.00581	0.00000	0.00026	0.00000	0.00000
12	0.99596	0.00399	0.00010	0.00005	0.00000	0.00000	0.99414	0.00571	0.00010	0.00016	0.00000	0.00000
13	0.99643	0.00347	0.00005	0.00005	0.00005	0.00000	0.99351	0.00633	0.00000	0.00010	0.00005	0.00000
14	0.99606	0.00388	0.00005	0.00005	0.00000	0.00000	0.99351	0.00644	0.00005	0.00005	0.00000	0.00000
15	0.99638	0.00357	0.00000	0.00005	0.00000	0.00000	0.99216	0.00779	0.00010	0.00005	0.00000	0.00000
16	0.99632	0.00347	0.00010	0.00021	0.00000	0.00000	0.99439	0.00550	0.00010	0.00010	0.00000	0.00000
17	0.99539	0.00440	0.00005	0.00021	0.00000	0.00000	0.99336	0.00638	0.00016	0.00026	0.00000	0.00000
18	0.99591	0.00394	0.00000	0.00016	0.00000	0.00000	0.99279	0.00701	0.00016	0.00021	0.00000	0.00000
19	0.99560	0.00414	0.00005	0.00026	0.00000	0.00000	0.99206	0.00784	0.00000	0.00010	0.00000	0.00000
20	0.99503	0.00466	0.00016	0.00031	0.00000	0.00000	0.99393	0.00597	0.00010	0.00010	0.00000	0.00000
21	0.99622	0.00362	0.00005	0.00016	0.00000	0.00000	0.99263	0.00711	0.00010	0.00026	0.00000	0.00000
22	0.99565	0.00409	0.00005	0.00026	0.00000	0.00000	0.99263	0.00716	0.00010	0.00021	0.00000	0.00000
23	0.99544	0.00419	0.00016	0.00036	0.00000	0.00000	0.99242	0.00737	0.00005	0.00021	0.00000	0.00000
24	0.99508	0.00466	0.00021	0.00026	0.00000	0.00000	0.99258	0.00727	0.00016	0.00016	0.00000	0.00000
25	0.99513	0.00456	0.00005	0.00031	0.00000	0.00000	0.99123	0.00862	0.00005	0.00016	0.00000	0.00000
26	0.99420	0.00559	0.00021	0.00021	0.00000	0.00000	0.99330	0.00649	0.00010	0.00016	0.00005	0.00000
27	0.99467	0.00523	0.00016	0.00010	0.00000	0.00000	0.99253	0.00727	0.00005	0.00021	0.00000	0.00000
28	0.99503	0.00476	0.00010	0.00021	0.00000	0.00000	0.99170	0.00820	0.00005	0.00010	0.00000	0.00000
29	0.99410	0.00564	0.00005	0.00026	0.00000	0.00000	0.99273	0.00711	0.00026	0.00016	0.00000	0.00000
30	0.99342	0.00632	0.00000	0.00026	0.00000	0.00000	0.99092	0.00898	0.00010	0.00010	0.00000	0.00000
31	0.99187	0.00782	0.00016	0.00031	0.00000	0.00000	0.99289	0.00701	0.00005	0.00010	0.00000	0.00000
32	0.99032	0.00476	0.00016	0.00036	0.00456	0.00000	0.98874	0.01106	0.00005	0.00016	0.00005	0.00000
33	0.99363	0.00611	0.00005	0.00026	0.00000	0.00000	0.99232	0.00758	0.00000	0.00010	0.00000	0.00000
34	0.99461	0.00513	0.00005	0.00026	0.00000	0.00000	0.99123	0.00851	0.00005	0.00021	0.00005	0.00000
35	0.99394	0.00585	0.00026	0.00021	0.00000	0.00000	0.99133	0.00856	0.00026	0.00010	0.00000	0.00000
36	0.99353	0.00616	0.00021	0.00031	0.00000	0.00000	0.99112	0.00877	0.00016	0.00010	0.00000	0.00000
37	0.99342	0.00637	0.00016	0.00021	0.00000	0.00000	0.99097	0.00893	0.00010	0.00010	0.00000	0.00000
38	0.99187	0.00777	0.00005	0.00026	0.00010	0.00000	0.99107	0.00877	0.00026	0.00016	0.00000	0.00000
39	0.99477	0.00507	0.00010	0.00016	0.00000	0.00000	0.99050	0.00939	0.00010	0.00010	0.00000	0.00000
40	0.99373	0.00606	0.00005	0.00021	0.00000	0.00000	0.98983	0.00981	0.00000	0.00026	0.00010	0.00000
41	0.99420	0.00539	0.00005	0.00031	0.00010	0.00000	0.98962	0.01017	0.00021	0.00021	0.00000	0.00000
42	0.99265	0.00709	0.00010	0.00026	0.00000	0.00000	0.98993	0.00976	0.00005	0.00031	0.00000	0.00000
43	0.99280	0.00678	0.00016	0.00036	0.00005	0.00000	0.98889	0.01085	0.00000	0.00016	0.00010	0.00000
44	0.99285	0.00689	0.00010	0.00021	0.00005	0.00000	0.98765	0.01225	0.00010	0.00010	0.00000	0.00000
45	0.99399	0.00585	0.00016	0.00016	0.00000	0.00000	0.99029	0.00960	0.00010	0.00005	0.00005	0.00000
46	0.99260	0.00725	0.00000	0.00016	0.00000	0.00000	0.98853	0.01131	0.00026	0.00010	0.00005	0.00000
47	0.99254	0.00720	0.00021	0.00026	0.00000	0.00000	0.98848	0.01137	0.00005	0.00016	0.00000	0.00000
48	0.99223	0.00740	0.00000	0.00036	0.00000	0.00000	0.98791	0.01189	0.00021	0.00021	0.00000	0.00000
49	0.99265	0.00709	0.00016	0.00026	0.00000	0.00000	0.98884	0.01090	0.00005	0.00026	0.00000	0.00000
50	0.99135	0.00839	0.00005	0.00026	0.00000	0.00000	0.98848	0.01131	0.00000	0.00021	0.00000	0.00000
51	0.99384	0.00601	0.00010	0.00016	0.00000	0.00000	0.98754	0.01215	0.00016	0.00026	0.00005	0.00000
52	0.99151	0.00829	0.00016	0.00016	0.00005	0.00000	0.98848	0.01137	0.00000	0.00016	0.00000	0.00000
53	0.99270	0.00725	0.00005	0.00005	0.00000	0.00000	0.98785	0.01183	0.00010	0.00026	0.00005	0.00000
54	0.99135	0.00860	0.00005	0.00005	0.00000	0.00000	0.98718	0.01261	0.00005	0.00021	0.00000	0.00000
55	0.99166	0.00818	0.00010	0.00016	0.00000	0.00000	0.98832	0.01147	0.00005	0.00021	0.00000	0.00000
56	0.99285	0.00689	0.00005	0.00026	0.00000	0.00000	0.98754	0.01225	0.00005	0.00016	0.00005	0.00000
57	0.99213	0.00766	0.00005	0.00021	0.00000	0.00000	0.98609	0.01360	0.00010	0.00026	0.00005	0.00000
58	0.99182	0.00803	0.00000	0.00016	0.00000	0.00000	0.98479	0.01505	0.00000	0.00016	0.00000	0.00000
59	0.99130	0.00860	0.00016	0.00010	0.00000	0.00000	0.98630	0.01349	0.00000	0.00016	0.00005	0.00000
60	0.99260	0.00730	0.00000	0.00010	0.00000	0.00000	0.98557	0.01417	0.00000	0.00026	0.00000	0.00000
61	0.99197	0.00777	0.00010	0.00026	0.00000	0.00000	0.98510	0.01464	0.00005	0.00021	0.00005	0.00000
62	0.99094	0.00891	0.00005	0.00010	0.00005	0.00000	0.98578	0.01391	0.00010	0.00031	0.00000	0.00000
63	0.99156	0.00834	0.00016	0.00010	0.00000	0.00000	0.98604	0.01370	0.00005	0.00021	0.00005	0.00000
64	0.99140	0.00849	0.00005	0.00010	0.00000	0.00000	0.98687	0.01292	0.00005	0.00021	0.00000	0.00000
65	0.99213	0.00777	0.00005	0.00010	0.00000	0.00000	0.98567	0.01396	0.00005	0.00036	0.00000	0.00000
66	0.98949	0.01036	0.00005	0.00016	0.00000	0.00000	0.98614	0.01365	0.00010	0.00021	0.00000	0.00000
67	0.98970	0.01015	0.00010	0.00016	0.00000	0.00000	0.98583	0.01391	0.00000	0.00026	0.00000	0.00000
68	0.99135	0.00849	0.00026	0.00010	0.00005	0.00000	0.98583	0.01381	0.00005	0.00036	0.00000	0.00000
69	0.98949	0.01025	0.00000	0.00026	0.00000	0.00000	0.98443	0.01541	0.00010	0.00010	0.00005	0.00000
70	0.99089	0.00891	0.00000	0.00021	0.00000	0.00000	0.98412	0.01573	0.00010	0.00016	0.00000	0.00000
71	0.99011	0.00979	0.00010	0.00010	0.00000	0.00000	0.98604	0.01381	0.00021	0.00016	0.00000	0.00000
72	0.99099	0.00891	0.00000	0.00010	0.00000	0.00000	0.98495	0.01490	0.00010	0.00016	0.00000	0.00000
73	0.98933	0.01041	0.00005	0.00021	0.00005	0.00000	0.98448	0.01521	0.00005	0.00031	0.00000	0.00000
74	0.98938	0.01030	0.00010	0.00021	0.00010	0.00000	0.98329	0.01645	0.00010	0.00021	0.00005	0.00000
75	0.98990	0.00999	0.00005	0.00010	0.00000	0.00000	0.98251	0.01728	0.00005	0.00021	0.00000	0.00000
76	0.99027	0.00963	0.00005	0.00010	0.00000	0.00000	0.98469	0.01510	0.00021	0.00021	0.00000	0.00000
77	0.99058	0.00932	0.00010	0.00010	0.00000	0.00000	0.98510	0.01458	0.00000	0.00031	0.00000	0.00000
78	0.99027	0.00958	0.00010	0.00016	0.00000	0.00000	0.98510	0.01469	0.00000	0.00021	0.00000	0.00000
79	0.98985	0.01010	0.00016	0.00005	0.00000	0.00000	0.98479	0.01484	0.00005	0.00036	0.00000	0.00000
80	0.98970	0.01015	0.00026	0.00005	0.00010	0.00000	0.98510	0.01453	0.00010	0.00031	0.00005	0.00000
81	0.98871	0.01113	0.00016	0.00016	0.00000	0.00000	0.98313	0.01676	0.00010	0.00010	0.00000	0.00000
82	0.98892	0.01087	0.00000	0.00021	0.00000	0.00000	0.98391	0.01562	0.00005	0.00047	0.00000	0.00000
83	0.98762	0.01207	0.00005	0.00031	0.00000	0.00000	0.98178	0.01785	0.00000	0.00036	0.00000	0.00000
84	0.98737	0.01248	0.00000	0.00016	0.00000	0.00000	0.98438	0.01521	0.00010	0.00036	0.00005	0.00000
85	0.98680	0.01305	0.00016	0.00016	0.00000	0.00000	0.98360	0.01593	0.00010	0.00047	0.00000	0.00000
86	0.98819	0.01165	0.00010	0.00016	0.00000	0.00000	0.98417	0.01557	0.00000	0.00026	0.00000	0.00000
87	0.98700	0.01274	0.00010	0.00010	0.00016	0.00000	0.98272	0.01702	0.00005	0.00026	0.00000	0.00000
88	0.98747	0.01238	0.00010	0.00016	0.00000	0.00000	0.98287	0.01692	0.00005	0.00021	0.00000	0.00000
89	0.98866	0.01113	0.00016	0.00021	0.00000	0.00000	0.98225	0.01723	0.00000	0.00047	0.00005	0.00000
90	0.98690	0.01284	0.00000	0.00021	0.00005	0.00000	0.98194	0.01754	0.00021	0.00047	0.00005	0.00000
91	0.98944	0.01036	0.00005	0.00021	0.00000	0.00000	0.98209	0.01749	0.00016	0.00042	0.00000	0.00000
92	0.98669	0.01310	0.00026	0.00021	0.00000	0.00000	0.98178	0.01765	0.00021	0.00057	0.00000	0.00000
93	0.98674	0.01279	0.00010	0.00041	0.00005	0.00000	0.98137	0.01811	0.00010	0.00052	0.00000	0.00000
94	0.98529	0.01434	0.00005	0.00036	0.00000	0.00000	0.98121	0.01817	0.00010	0.00062	0.00000	0.00000
95	0.98716	0.01258	0.00005	0.00026	0.00000	0.00000	0.97872	0.02076	0.00005	0.00047	0.00005	0.00000
96	0.98560	0.01408	0.00010	0.00031	0.00000	0.00000	0.98012	0.01941	0.00016	0.00042	0.00005	0.00000
97	0.98762	0.01207	0.00010	0.00031	0.00000	0.00000	0.97908	0.02045	0.00016	0.00042	0.00005	0.00000
98	0.98540	0.01424	0.00010	0.00036	0.00000	0.00000	0.98012	0.01941	0.00000	0.00047	0.00000	0.00000
99	0.98602	0.01362	0.00010	0.00036	0.00000	0.00000	0.97929	0.02024	0.00010	0.00047	0.00000	0.00000
100	0.98555	0.01393	0.00021	0.00052	0.00000	0.00000	0.97815	0.02118	0.00000	0.00067	0.00000	0.00000
101	0.98560	0.01403	0.00026	0.00036	0.00000	0.00000	0.97706	0.02211	0.00021	0.00083	0.00000	0.00000
102	0.98462	0.01491	0.00000	0.00047	0.00000	0.00000	0.97997	0.01936	0.00016	0.00062	0.00005	0.00000
103	0.98415	0.01522	0.00000	0.00052	0.00010	0.00000	0.97830	0.02097	0.00010	0.00073	0.00000	0.00000
