#Mean	37.830
#Median	37
#Mode	37
#STDev	5.952
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	2
20	4
21	6
22	14
23	18
24	35
25	55
26	110
27	195
28	319
29	441
30	589
31	752
32	955
33	1069
34	1179
35	1285
36	1301
37	1441
38	1380
39	1253
40	1110
41	984
42	813
43	719
44	575
45	512
46	395
47	324
48	239
49	204
50	173
51	148
52	115
53	120
54	80
55	83
56	53
57	27
58	12
59	5
60	1
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
