#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1	Match2	Sub2	Del2	Ins2	N2	Other2
1	0.98858	0.00715	0.00000	0.00000	0.00427	0.00000	0.98494	0.00939	0.00000	0.00000	0.00567	0.00000
2	0.99285	0.00705	0.00000	0.00000	0.00010	0.00000	0.99221	0.00774	0.00000	0.00000	0.00005	0.00000
3	0.99445	0.00555	0.00000	0.00000	0.00000	0.00000	0.99226	0.00769	0.00000	0.00005	0.00000	0.00000
4	0.99568	0.00432	0.00000	0.00000	0.00000	0.00000	0.99175	0.00820	0.00010	0.00005	0.00000	0.00000
5	0.99511	0.00473	0.00000	0.00015	0.00000	0.00000	0.99340	0.00645	0.00000	0.00015	0.00000	0.00000
6	0.99558	0.00432	0.00010	0.00010	0.00000	0.00000	0.99304	0.00686	0.00000	0.00010	0.00000	0.00000
7	0.99558	0.00406	0.00000	0.00036	0.00000	0.00000	0.99350	0.00634	0.00000	0.00015	0.00000	0.00000
8	0.99542	0.00422	0.00010	0.00036	0.00000	0.00000	0.99474	0.00516	0.00005	0.00010	0.00000	0.00000
9	0.99614	0.00360	0.00010	0.00026	0.00000	0.00000	0.99448	0.00531	0.00010	0.00021	0.00000	0.00000
10	0.99583	0.00396	0.00010	0.00021	0.00000	0.00000	0.99407	0.00578	0.00000	0.00015	0.00000	0.00000
11	0.99599	0.00386	0.00005	0.00015	0.00000	0.00000	0.99510	0.00469	0.00000	0.00021	0.00000	0.00000
12	0.99645	0.00339	0.00000	0.00015	0.00000	0.00000	0.99443	0.00552	0.00010	0.00005	0.00000	0.00000
13	0.99594	0.00391	0.00005	0.00015	0.00000	0.00000	0.99402	0.00578	0.00005	0.00015	0.00005	0.00000
14	0.99604	0.00370	0.00015	0.00026	0.00000	0.00000	0.99293	0.00696	0.00010	0.00010	0.00000	0.00000
15	0.99604	0.00375	0.00005	0.00021	0.00000	0.00000	0.99386	0.00598	0.00010	0.00015	0.00000	0.00000
16	0.99558	0.00432	0.00005	0.00010	0.00000	0.00000	0.99293	0.00696	0.00010	0.00010	0.00000	0.00000
17	0.99661	0.00329	0.00010	0.00010	0.00000	0.00000	0.99298	0.00686	0.00015	0.00015	0.00000	0.00000
18	0.99553	0.00437	0.00000	0.00010	0.00000	0.00000	0.99350	0.00634	0.00015	0.00015	0.00000	0.00000
19	0.99655	0.00329	0.00000	0.00015	0.00000	0.00000	0.99319	0.00671	0.00015	0.00010	0.00000	0.00000
20	0.99583	0.00401	0.00005	0.00015	0.00000	0.00000	0.99273	0.00702	0.00005	0.00026	0.00000	0.00000
21	0.99604	0.00386	0.00010	0.00010	0.00000	0.00000	0.99247	0.00732	0.00000	0.00021	0.00000	0.00000
22	0.99558	0.00422	0.00010	0.00021	0.00000	0.00000	0.99273	0.00712	0.00005	0.00015	0.00000	0.00000
23	0.99553	0.00422	0.00021	0.00026	0.00000	0.00000	0.99360	0.00624	0.00005	0.00015	0.00000	0.00000
