#Mean	38.043
#Median	38
#Mode	38
#STDev	5.992
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	1
20	1
21	6
22	15
23	24
24	33
25	54
26	109
27	187
28	295
29	437
30	586
31	733
32	860
33	1052
34	1124
35	1283
36	1332
37	1459
38	1484
39	1356
40	1183
41	988
42	848
43	761
44	604
45	492
46	393
47	342
48	286
49	212
50	178
51	170
52	130
53	146
54	108
55	81
56	39
57	26
58	9
59	9
60	11
61	1
62	2
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
