#Mean	37.797
#Median	37
#Mode	37
#STDev	5.949
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	3
19	1
20	0
21	11
22	7
23	17
24	43
25	52
26	112
27	201
28	351
29	478
30	596
31	739
32	965
33	1030
34	1178
35	1326
36	1409
37	1453
38	1340
39	1303
40	1153
41	929
42	869
43	704
44	527
45	503
46	374
47	334
48	277
49	208
50	163
51	183
52	138
53	141
54	93
55	47
56	29
57	25
58	9
59	7
60	1
61	2
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
