#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1	Match2	Sub2	Del2	Ins2	N2	Other2
1	0.98825	0.00773	0.00000	0.00000	0.00402	0.00000	0.98707	0.00771	0.00000	0.00000	0.00522	0.00000
2	0.99325	0.00660	0.00000	0.00000	0.00015	0.00000	0.99271	0.00709	0.00000	0.00000	0.00021	0.00000
3	0.99469	0.00526	0.00000	0.00000	0.00005	0.00000	0.99338	0.00657	0.00000	0.00005	0.00000	0.00000
4	0.99500	0.00490	0.00000	0.00010	0.00000	0.00000	0.99204	0.00776	0.00000	0.00010	0.00010	0.00000
5	0.99562	0.00412	0.00021	0.00026	0.00000	0.00000	0.99338	0.00646	0.00000	0.00016	0.00000	0.00000
6	0.99546	0.00423	0.00005	0.00026	0.00005	0.00000	0.99333	0.00641	0.00021	0.00021	0.00005	0.00000
7	0.99521	0.00438	0.00021	0.00041	0.00000	0.00000	0.99410	0.00569	0.00026	0.00021	0.00000	0.00000
8	0.99603	0.00381	0.00010	0.00015	0.00000	0.00000	0.99431	0.00522	0.00010	0.00047	0.00000	0.00000
9	0.99629	0.00361	0.00005	0.00010	0.00000	0.00000	0.99364	0.00590	0.00010	0.00041	0.00005	0.00000
10	0.99660	0.00335	0.00010	0.00005	0.00000	0.00000	0.99431	0.00538	0.00010	0.00031	0.00000	0.00000
11	0.99675	0.00309	0.00000	0.00015	0.00000	0.00000	0.99421	0.00559	0.00010	0.00021	0.00000	0.00000
12	0.99557	0.00443	0.00010	0.00000	0.00000	0.00000	0.99348	0.00626	0.00016	0.00026	0.00000	0.00000
13	0.99562	0.00433	0.00010	0.00005	0.00000	0.00000	0.99390	0.00590	0.00016	0.00021	0.00000	0.00000
14	0.99629	0.00361	0.00000	0.00010	0.00000	0.00000	0.99400	0.00579	0.00010	0.00021	0.00000	0.00000
15	0.99567	0.00433	0.00010	0.00000	0.00000	0.00000	0.99359	0.00610	0.00000	0.00031	0.00000	0.00000
16	0.99536	0.00459	0.00005	0.00005	0.00000	0.00000	0.99317	0.00657	0.00005	0.00026	0.00000	0.00000
17	0.99562	0.00428	0.00015	0.00010	0.00000	0.00000	0.99266	0.00714	0.00000	0.00021	0.00000	0.00000
18	0.99583	0.00397	0.00026	0.00021	0.00000	0.00000	0.99364	0.00615	0.00010	0.00021	0.00000	0.00000
19	0.99469	0.00505	0.00005	0.00026	0.00000	0.00000	0.99369	0.00600	0.00010	0.00026	0.00005	0.00000
20	0.99711	0.00273	0.00005	0.00015	0.00000	0.00000	0.99354	0.00621	0.00016	0.00026	0.00000	0.00000
21	0.99577	0.00402	0.00005	0.00021	0.00000	0.00000	0.99354	0.00631	0.00026	0.00016	0.00000	0.00000
22	0.99562	0.00407	0.00005	0.00031	0.00000	0.00000	0.99198	0.00786	0.00005	0.00016	0.00000	0.00000
23	0.99521	0.00459	0.00000	0.00021	0.00000	0.00000	0.99266	0.00724	0.00000	0.00010	0.00000	0.00000
24	0.99541	0.00443	0.00015	0.00015	0.00000	0.00000	0.99183	0.00812	0.00000	0.00005	0.00000	0.00000
25	0.99577	0.00397	0.00010	0.00026	0.00000	0.00000	0.99281	0.00714	0.00005	0.00005	0.00000	0.00000
26	0.99464	0.00515	0.00015	0.00021	0.00000	0.00000	0.99343	0.00646	0.00016	0.00010	0.00000	0.00000
27	0.99557	0.00417	0.00015	0.00026	0.00000	0.00000	0.99245	0.00745	0.00000	0.00010	0.00000	0.00000
28	0.99485	0.00490	0.00005	0.00026	0.00000	0.00000	0.99276	0.00719	0.00000	0.00005	0.00000	0.00000
29	0.99464	0.00515	0.00026	0.00021	0.00000	0.00000	0.99193	0.00796	0.00010	0.00010	0.00000	0.00000
30	0.99500	0.00495	0.00010	0.00005	0.00000	0.00000	0.99188	0.00802	0.00016	0.00010	0.00000	0.00000
31	0.99160	0.00830	0.00010	0.00010	0.00000	0.00000	0.99183	0.00796	0.00000	0.00021	0.00000	0.00000
32	0.98995	0.00551	0.00010	0.00021	0.00433	0.00000	0.99105	0.00879	0.00000	0.00016	0.00000	0.00000
33	0.99371	0.00618	0.00000	0.00010	0.00000	0.00000	0.99193	0.00791	0.00005	0.00016	0.00000	0.00000
