#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1	Match2	Sub2	Del2	Ins2	N2	Other2
1	0.98906	0.00689	0.00000	0.00000	0.00404	0.00000	0.98524	0.00826	0.00000	0.00000	0.00649	0.00000
2	0.99321	0.00669	0.00000	0.00000	0.00010	0.00000	0.99226	0.00769	0.00000	0.00000	0.00005	0.00000
3	0.99456	0.00539	0.00000	0.00000	0.00005	0.00000	0.99325	0.00675	0.00000	0.00000	0.00000	0.00000
4	0.99528	0.00472	0.00000	0.00000	0.00000	0.00000	0.99215	0.00785	0.00005	0.00000	0.00000	0.00000
5	0.99565	0.00425	0.00005	0.00010	0.00000	0.00000	0.99262	0.00722	0.00005	0.00010	0.00005	0.00000
6	0.99508	0.00477	0.00010	0.00016	0.00000	0.00000	0.99356	0.00634	0.00000	0.00010	0.00000	0.00000
7	0.99591	0.00384	0.00005	0.00026	0.00000	0.00000	0.99418	0.00556	0.00016	0.00026	0.00000	0.00000
8	0.99591	0.00384	0.00000	0.00026	0.00000	0.00000	0.99496	0.00483	0.00005	0.00021	0.00000	0.00000
9	0.99627	0.00358	0.00000	0.00016	0.00000	0.00000	0.99460	0.00525	0.00021	0.00010	0.00005	0.00000
10	0.99601	0.00389	0.00005	0.00010	0.00000	0.00000	0.99408	0.00577	0.00005	0.00010	0.00005	0.00000
11	0.99596	0.00404	0.00010	0.00000	0.00000	0.00000	0.99418	0.00566	0.00016	0.00016	0.00000	0.00000
12	0.99622	0.00368	0.00021	0.00010	0.00000	0.00000	0.99428	0.00556	0.00005	0.00016	0.00000	0.00000
13	0.99528	0.00456	0.00010	0.00016	0.00000	0.00000	0.99200	0.00764	0.00016	0.00036	0.00000	0.00000
14	0.99591	0.00394	0.00000	0.00010	0.00005	0.00000	0.99340	0.00639	0.00000	0.00021	0.00000	0.00000
15	0.99580	0.00415	0.00016	0.00005	0.00000	0.00000	0.99314	0.00670	0.00010	0.00016	0.00000	0.00000
16	0.99580	0.00404	0.00010	0.00016	0.00000	0.00000	0.99366	0.00613	0.00010	0.00010	0.00010	0.00000
17	0.99658	0.00337	0.00010	0.00005	0.00000	0.00000	0.99361	0.00629	0.00021	0.00010	0.00000	0.00000
18	0.99601	0.00389	0.00005	0.00010	0.00000	0.00000	0.99314	0.00675	0.00000	0.00010	0.00000	0.00000
19	0.99549	0.00430	0.00000	0.00021	0.00000	0.00000	0.99231	0.00764	0.00010	0.00005	0.00000	0.00000
20	0.99580	0.00409	0.00010	0.00010	0.00000	0.00000	0.99387	0.00608	0.00016	0.00005	0.00000	0.00000
21	0.99642	0.00352	0.00000	0.00005	0.00000	0.00000	0.99262	0.00722	0.00000	0.00016	0.00000	0.00000
22	0.99513	0.00482	0.00005	0.00005	0.00000	0.00000	0.99252	0.00733	0.00016	0.00016	0.00000	0.00000
23	0.99559	0.00430	0.00005	0.00010	0.00000	0.00000	0.99319	0.00665	0.00005	0.00016	0.00000	0.00000
24	0.99554	0.00435	0.00026	0.00010	0.00000	0.00000	0.99215	0.00779	0.00005	0.00005	0.00000	0.00000
