#Mean	37.800
#Median	37
#Mode	36
#STDev	5.938
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	3
21	6
22	17
23	18
24	28
25	48
26	115
27	198
28	344
29	524
30	638
31	727
32	857
33	1114
34	1155
35	1233
36	1426
37	1421
38	1423
39	1328
40	1147
41	1062
42	829
43	651
44	570
45	464
46	395
47	308
48	267
49	200
50	195
51	150
52	148
53	101
54	113
55	62
56	41
57	18
58	5
59	3
60	2
61	3
62	1
63	2
64	1
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
