#Deviation	4.4174	4.7480
#Avg_STDev	7.034
#Diversity	4.464
#Entropy	0.116
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	33.731	21.765	19.634	33.798	21.547	19.040
2	34.140	25.207	22.421	33.848	24.575	20.810
3	35.607	26.282	22.923	35.117	25.530	21.521
4	35.755	26.227	22.923	35.375	25.361	21.136
5	35.913	26.678	23.490	35.510	25.500	21.521
6	37.050	27.010	23.058	36.537	25.768	22.530
7	37.137	27.422	23.390	36.545	25.862	21.855
8	37.119	27.390	23.245	36.611	26.034	22.293
9	37.139	27.256	24.384	36.564	25.916	21.457
10	37.122	27.304	24.202	36.622	26.013	21.718
11	37.131	27.413	24.202	36.669	26.036	22.142
12	37.082	27.224	23.104	36.665	26.014	23.001
13	37.136	27.524	23.197	36.674	26.083	21.786
14	37.034	26.923	24.262	36.648	26.074	22.180
15	37.085	27.291	23.592	36.582	25.916	21.425
16	37.048	27.258	23.804	36.511	25.744	21.271
17	37.058	27.251	24.447	36.524	25.751	21.092
18	36.976	26.907	24.323	36.432	25.481	21.521
19	36.967	26.834	23.804	36.428	25.547	21.786
20	36.966	26.884	23.245	36.486	25.620	22.371
21	36.945	26.660	24.911	36.442	25.550	21.394
22	36.949	26.702	22.707	36.460	25.650	21.752
23	36.928	26.538	22.792	36.393	25.510	21.034
24	36.940	26.632	24.027	36.244	25.039	20.284
25	36.916	26.690	24.143	36.260	25.153	20.271
26	36.855	26.281	22.923	36.306	25.253	20.949
27	36.862	26.438	23.390	36.228	25.003	21.241
28	36.785	26.181	22.749	36.199	24.945	21.521
29	36.789	26.004	21.901	36.134	24.894	20.649
30	36.766	25.942	22.343	36.258	25.148	21.271
31	36.723	25.916	20.932	36.116	24.747	20.838
32	36.527	22.118	20.467	36.070	24.782	20.129
33	36.692	25.792	22.343	36.046	24.593	20.783
34	36.801	26.206	22.191	36.034	24.785	20.494
35	36.658	25.614	21.252	35.914	24.325	19.792
36	36.636	25.439	21.936	36.044	24.645	20.320
37	36.663	25.722	22.116	35.931	24.453	20.271
38	36.615	25.535	21.696	35.976	24.540	19.880
39	36.669	25.744	22.153	35.859	24.132	19.728
40	36.629	25.538	21.797	35.851	24.201	19.561
41	36.622	25.510	22.153	35.833	24.133	19.980
42	36.559	25.468	22.191	35.817	24.184	19.880
43	36.527	25.248	21.597	35.776	24.151	19.924
44	36.510	25.261	21.763	35.711	24.010	19.420
45	36.565	25.370	21.436	35.694	24.021	19.341
46	36.575	25.416	21.763	35.711	24.015	19.581
47	36.559	25.371	21.312	35.751	24.112	19.969
48	36.537	25.347	21.468	35.573	23.776	19.151
49	36.519	25.217	20.932	35.647	23.956	19.602
50	36.515	25.305	21.222	35.545	23.646	19.226
51	36.445	25.000	21.133	35.468	23.730	19.420
52	36.347	24.709	20.988	35.332	23.406	18.742
53	36.390	24.964	21.374	35.450	23.532	19.410
54	36.368	24.844	20.988	35.343	23.426	18.880
55	36.320	24.797	21.312	35.326	23.340	18.641
56	36.336	24.793	20.740	35.210	23.247	18.592
57	36.316	24.691	20.740	35.213	23.229	18.447
58	36.333	24.869	21.597	35.217	23.299	18.608
59	36.339	24.961	20.582	35.201	23.239	18.415
60	36.309	24.776	21.663	35.101	23.043	18.463
61	36.259	24.666	20.505	35.161	23.326	18.494
62	36.315	24.939	20.556	35.188	23.255	18.810
63	36.288	24.633	20.455	35.168	23.253	18.776
64	36.212	24.565	20.740	35.232	23.384	18.215
65	36.234	24.667	20.713	35.204	23.164	18.527
66	36.198	24.636	20.794	35.170	23.199	18.641
67	36.198	24.623	20.556	35.108	23.121	18.230
68	36.145	24.328	20.211	35.069	22.959	18.276
69	36.124	24.334	20.687	35.011	22.975	18.399
70	36.151	24.471	20.117	34.997	22.978	18.276
71	36.085	24.251	19.676	34.972	22.856	17.814
72	36.189	24.591	20.235	34.950	22.835	18.097
73	36.102	24.256	20.140	34.989	22.964	18.170
74	36.042	24.124	20.025	34.930	22.794	18.322
75	36.016	24.248	20.025	34.891	22.751	18.329
76	35.740	24.186	20.211	34.453	22.789	18.245
77	35.935	24.315	20.356	34.831	22.967	18.230
78	36.063	24.425	20.356	34.999	23.096	18.478
79	35.907	23.906	19.199	35.071	23.138	18.592
80	36.010	24.062	19.634	35.025	22.990	17.897
81	35.996	24.029	19.613	34.961	22.897	18.230
