#Mean	38.480
#Median	38
#Mode	37
#STDev	7.007
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	1
8	0
9	3
10	1
11	2
12	4
13	1
14	3
15	9
16	17
17	13
18	25
19	36
20	43
21	103
22	135
23	228
24	364
25	498
26	914
27	1304
28	1797
29	2550
30	3248
31	3960
32	4350
33	4393
34	5179
35	5696
36	6084
37	6405
38	6404
39	6094
40	5637
41	5259
42	4529
43	3952
44	3339
45	2789
46	2409
47	2199
48	1765
49	1539
50	1104
51	1180
52	1042
53	855
54	761
55	555
56	419
57	277
58	140
59	117
60	62
61	77
62	39
63	25
64	28
65	34
66	23
67	20
68	20
69	11
70	14
71	23
72	17
73	18
74	21
75	15
76	14
77	15
78	15
79	12
80	3
81	2
82	1
83	0
84	1
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
