#Mean	38.699
#Median	38
#Mode	37
#STDev	7.037
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	2
9	0
10	0
11	0
12	1
13	2
14	9
15	16
16	18
17	22
18	28
19	38
20	48
21	120
22	159
23	249
24	354
25	602
26	889
27	1416
28	2081
29	2746
30	3504
31	4340
32	4990
33	4822
34	6034
35	6404
36	6834
37	7318
38	7262
39	7149
40	6699
41	6100
42	5214
43	4701
44	3963
45	3378
46	2932
47	2537
48	2200
49	1840
50	1396
51	1502
52	1232
53	1030
54	869
55	719
56	465
57	326
58	208
59	141
60	114
61	72
62	57
63	48
64	31
65	33
66	21
67	31
68	20
69	17
70	27
71	27
72	20
73	17
74	22
75	22
76	23
77	20
78	12
79	7
80	2
81	0
82	0
83	0
84	0
85	1
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
