#Deviation	1.9940	1.9988
#Avg_STDev	5.678
#Diversity	3.159
#Entropy	0.034
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	35.511	21.784	24.242	35.561	25.457	24.152
2	35.511	21.809	23.087	35.897	26.286	24.533
3	35.749	22.321	24.139	35.932	26.289	24.816
4	35.675	22.138	23.641	35.963	26.505	24.410
5	35.837	22.554	24.893	35.927	26.300	22.621
6	36.051	22.842	25.649	35.992	26.580	23.844
7	35.974	22.706	25.222	35.913	26.275	24.558
8	35.946	22.661	25.002	35.893	26.210	24.558
9	35.960	22.664	25.258	35.920	26.270	24.608
10	35.942	22.703	24.826	35.877	26.173	25.712
11	36.091	22.922	25.347	35.970	26.517	25.132
12	35.969	22.768	27.566	35.813	25.907	25.132
13	36.004	22.763	25.974	35.923	26.288	26.232
14	35.959	22.721	27.591	35.861	26.051	25.474
15	35.954	22.677	26.547	35.895	26.194	25.568
16	35.968	22.767	27.491	35.855	26.095	25.397
17	35.938	22.697	25.625	35.829	25.917	25.505
18	35.954	22.761	26.260	35.808	25.884	25.033
19	35.976	22.778	27.347	35.828	25.979	25.190
20	35.974	22.757	26.770	35.839	26.009	25.999
21	35.957	22.741	27.418	35.822	25.944	25.219
22	35.967	22.745	26.009	35.804	25.902	25.879
23	35.930	22.682	25.407	35.778	25.769	25.307
24	35.951	22.749	25.788	35.771	25.776	25.132
25	35.863	22.602	24.734	35.769	25.777	25.307
26	35.844	22.528	24.117	35.749	25.759	24.583
27	35.834	22.507	25.889	35.743	25.731	24.896
28	35.807	22.430	24.469	35.756	25.750	25.118
29	35.825	22.520	25.805	35.727	25.644	24.724
30	35.802	22.434	24.773	35.712	25.538	24.883
31	35.802	22.454	24.530	35.710	25.618	24.737
32	35.799	22.436	24.420	35.661	25.465	24.621
33	35.763	22.384	26.079	35.661	25.446	24.608
34	35.793	22.420	26.469	35.648	25.327	24.570
35	35.771	22.395	26.133	35.617	25.288	24.608
36	35.950	26.913	26.205	35.559	25.434	24.039
37	35.931	26.878	26.169	35.542	25.311	23.759
38	35.934	26.967	25.888	35.602	25.515	24.410
39	35.900	26.721	25.804	35.600	25.490	23.994
40	35.877	26.635	26.410	35.602	25.530	24.470
41	35.890	26.674	25.837	35.613	25.501	24.255
42	35.847	26.505	26.043	35.582	25.455	24.325
43	35.862	26.575	26.645	35.590	25.458	24.507
44	35.880	26.637	26.095	35.574	25.445	24.265
45	35.873	26.631	26.314	35.552	25.393	24.161
46	35.847	26.476	26.240	35.527	25.249	24.787
47	35.860	26.547	25.559	35.514	25.249	24.408
48	35.834	26.424	25.687	35.518	25.292	24.419
49	35.849	26.465	26.184	35.506	25.221	24.160
50	35.831	26.417	25.971	35.499	25.194	24.468
51	35.797	26.315	25.703	35.488	25.191	24.264
52	35.788	26.273	25.389	35.452	25.059	23.602
53	35.790	26.264	25.343	35.445	24.965	23.673
54	35.789	26.228	25.734	35.416	24.913	23.226
55	35.788	26.234	25.621	35.394	24.847	23.272
56	35.776	26.234	25.224	35.415	24.962	23.734
57	35.778	26.241	25.541	35.376	24.807	23.531
58	35.752	26.158	25.636	35.347	24.754	23.491
59	35.728	25.935	25.386	35.335	24.757	22.931
60	35.726	26.010	25.386	35.387	24.893	23.461
61	35.741	26.160	25.093	35.356	24.821	23.215
62	35.708	25.994	25.651	35.228	24.442	22.654
63	35.696	25.883	25.251	35.155	24.244	22.208
64	35.686	25.888	25.092	35.302	24.606	22.852
65	35.676	25.850	25.064	35.308	24.652	22.929
66	35.647	25.749	24.871	35.309	24.628	22.751
67	35.582	25.488	24.559	35.274	24.541	22.548
68	35.584	25.458	24.484	35.247	24.457	22.660
69	35.613	25.674	25.090	35.235	24.395	23.184
70	35.642	25.735	25.278	35.238	24.416	23.194
71	35.650	25.756	24.410	35.235	24.455	23.031
72	35.619	25.636	24.697	35.221	24.414	22.500
73	35.574	25.492	24.495	35.221	24.421	22.995
74	35.603	25.663	24.991	35.135	24.168	22.562
75	35.586	25.516	24.313	35.160	24.242	22.483
76	35.561	25.446	24.708	35.152	24.238	22.482
77	35.552	25.422	24.383	35.158	24.232	22.568
78	35.564	25.485	24.694	35.162	24.247	22.504
79	35.502	25.236	23.788	35.112	24.159	22.037
80	35.529	25.395	24.125	35.134	24.166	22.388
81	35.517	25.282	24.194	35.116	24.111	22.100
82	35.506	25.261	24.382	35.115	24.114	22.064
83	35.466	25.153	23.693	35.048	23.963	22.364
84	35.459	25.139	23.892	34.978	23.835	21.931
85	35.427	25.036	23.481	35.038	23.896	21.709
86	35.424	25.020	23.650	34.969	23.832	21.735
87	35.447	25.114	23.670	34.812	23.267	20.813
88	35.410	24.981	23.847	34.886	23.484	21.579
89	35.403	24.923	23.569	34.974	23.761	21.741
90	35.379	24.966	23.578	34.871	23.634	21.498
91	35.365	24.850	23.307	34.927	23.668	21.485
92	35.300	24.693	22.894	34.932	23.736	21.515
93	35.271	24.526	22.783	34.929	23.723	21.184
94	35.342	24.826	23.221	34.955	23.753	21.797
95	35.313	24.694	23.313	34.913	23.684	21.488
96	35.328	24.713	22.977	34.844	23.512	21.136
97	35.326	24.766	22.924	34.852	23.527	21.198
98	35.260	24.574	22.932	34.876	23.632	21.517
99	35.291	24.647	22.975	34.859	23.532	21.273
100	35.263	24.560	22.647	34.823	23.457	21.243
101	35.183	24.342	22.305	34.811	23.425	20.786
102	35.252	24.524	22.403	34.794	23.437	20.786
103	35.237	24.482	22.629	34.724	23.281	20.727
104	35.237	24.463	22.221	34.756	23.339	20.913
105	35.235	24.515	22.287	34.736	23.273	20.815
106	35.208	24.394	22.271	34.628	23.070	20.501
107	35.167	24.299	22.146	34.667	23.147	20.460
108	35.122	24.172	22.145	34.625	23.073	20.469
109	35.178	24.384	22.202	34.527	22.908	20.347
110	35.167	24.335	22.008	34.571	22.948	20.037
111	35.109	24.220	21.691	34.663	23.147	20.522
112	35.050	24.077	21.897	34.531	22.865	20.228
113	35.064	24.038	21.743	34.276	22.422	19.346
114	35.072	24.080	22.062	34.336	22.508	19.843
115	35.052	24.012	21.553	34.524	22.880	19.950
116	35.087	24.079	21.798	34.555	22.935	20.113
117	35.017	23.933	21.360	34.494	22.789	19.965
118	34.871	23.638	21.257	34.520	22.855	19.737
119	34.852	23.531	20.966	34.484	22.791	19.949
120	34.984	23.876	21.191	34.430	22.695	19.714
121	34.994	23.879	21.381	34.445	22.726	19.866
122	34.960	23.839	21.484	34.391	22.630	19.507
123	34.985	23.891	21.178	34.371	22.595	19.530
124	34.964	23.829	21.348	34.313	22.479	19.316
125	34.937	23.790	21.245	34.336	22.517	19.375
126	34.911	23.693	21.134	34.346	22.544	19.409
127	34.866	23.584	20.947	34.274	22.409	19.316
128	34.850	23.567	21.115	34.299	22.444	19.342
129	34.845	23.571	20.773	34.246	22.340	18.937
130	34.800	23.435	20.847	34.167	22.225	18.943
131	34.701	23.264	20.387	34.189	22.264	18.980
132	34.658	23.182	20.509	34.230	22.351	19.104
133	34.599	23.038	19.997	34.197	22.310	19.003
134	34.647	23.163	20.298	34.116	22.142	18.739
135	34.746	23.361	20.441	33.959	21.872	18.326
136	34.680	23.229	20.248	34.013	22.012	18.556
137	34.653	23.120	20.144	34.069	22.022	18.429
