#Mean	38.490
#Median	38
#Mode	38
#STDev	6.932
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	1
8	1
9	3
10	2
11	2
12	2
13	7
14	7
15	11
16	22
17	28
18	28
19	48
20	55
21	112
22	170
23	265
24	398
25	648
26	979
27	1526
28	2155
29	2908
30	3877
31	4821
32	5401
33	5156
34	6374
35	6837
36	7275
37	7534
38	7719
39	7591
40	6925
41	6352
42	5562
43	4801
44	4176
45	3502
46	2885
47	2502
48	2203
49	1869
50	1324
51	1394
52	1239
53	1057
54	860
55	696
56	486
57	289
58	193
59	127
60	77
61	68
62	45
63	40
64	42
65	27
66	16
67	17
68	26
69	14
70	19
71	20
72	21
73	25
74	13
75	18
76	21
77	14
78	12
79	4
80	4
81	0
82	0
83	0
84	1
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
