#Mean	38.451
#Median	38
#Mode	37
#STDev	7.075
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	2
8	1
9	3
10	2
11	6
12	9
13	6
14	5
15	18
16	12
17	17
18	34
19	51
20	69
21	115
22	160
23	280
24	440
25	644
26	1077
27	1593
28	2115
29	3052
30	3863
31	4601
32	5232
33	5191
34	6147
35	6579
36	6966
37	7402
38	7310
39	7134
40	6566
41	5980
42	5195
43	4458
44	3815
45	3255
46	2768
47	2475
48	2190
49	1811
50	1348
51	1487
52	1261
53	1051
54	883
55	699
56	493
57	286
58	216
59	120
60	89
61	64
62	44
63	43
64	21
65	30
66	25
67	25
68	15
69	21
70	26
71	23
72	20
73	27
74	30
75	16
76	21
77	19
78	13
79	7
80	0
81	1
82	0
83	0
84	2
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
