#Mean	38.612
#Median	38
#Mode	37
#STDev	7.146
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	2
9	3
10	2
11	2
12	3
13	5
14	6
15	10
16	16
17	29
18	22
19	34
20	58
21	92
22	139
23	225
24	406
25	563
26	911
27	1371
28	1997
29	2671
30	3252
31	4008
32	4837
33	4433
34	5522
35	6027
36	6278
37	6487
38	6388
39	6297
40	5867
41	5356
42	4714
43	4143
44	3546
45	3027
46	2600
47	2295
48	1941
49	1653
50	1306
51	1373
52	1144
53	991
54	854
55	659
56	454
57	321
58	198
59	126
60	105
61	93
62	57
63	51
64	25
65	34
66	18
67	22
68	21
69	21
70	16
71	21
72	15
73	33
74	26
75	23
76	10
77	18
78	8
79	6
80	1
81	2
82	1
83	0
84	0
85	1
86	0
87	1
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
