#Mean	38.772
#Median	38
#Mode	38
#STDev	7.128
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	1
6	0
7	1
8	0
9	2
10	1
11	1
12	7
13	7
14	14
15	16
16	18
17	27
18	31
19	59
20	63
21	137
22	185
23	275
24	437
25	621
26	1023
27	1529
28	2201
29	2990
30	3920
31	4695
32	5555
33	5309
34	6569
35	7116
36	7604
37	7849
38	8172
39	7777
40	7318
41	6681
42	5915
43	5149
44	4440
45	3909
46	3262
47	2806
48	2451
49	2042
50	1521
51	1590
52	1422
53	1114
54	962
55	786
56	576
57	366
58	298
59	217
60	147
61	111
62	91
63	79
64	54
65	44
66	38
67	33
68	25
69	27
70	15
71	20
72	31
73	24
74	28
75	21
76	20
77	22
78	15
79	6
80	4
81	0
82	1
83	1
84	1
85	1
86	1
87	0
88	1
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
