#Mean	38.730
#Median	38
#Mode	38
#STDev	7.120
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	2
8	6
9	2
10	3
11	3
12	4
13	1
14	3
15	13
16	18
17	19
18	40
19	55
20	77
21	116
22	176
23	284
24	475
25	647
26	1086
27	1593
28	2366
29	3074
30	4036
31	4977
32	5740
33	5540
34	6802
35	7265
36	7688
37	8193
38	8439
39	7998
40	7519
41	6757
42	6045
43	5204
44	4622
45	3899
46	3355
47	2971
48	2421
49	2139
50	1541
51	1661
52	1420
53	1240
54	1091
55	783
56	549
57	367
58	266
59	198
60	116
61	101
62	86
63	50
64	52
65	46
66	46
67	25
68	31
69	26
70	19
71	24
72	36
73	29
74	26
75	33
76	24
77	26
78	11
79	8
80	3
81	2
82	1
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	1
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
