#Mean	38.508
#Median	38
#Mode	38
#STDev	7.148
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	1
6	1
7	0
8	4
9	1
10	2
11	4
12	4
13	1
14	10
15	12
16	17
17	23
18	39
19	51
20	59
21	107
22	173
23	250
24	375
25	578
26	969
27	1417
28	2066
29	2712
30	3285
31	4078
32	4750
33	4578
34	5564
35	5855
36	6224
37	6394
38	6429
39	6384
40	5948
41	5296
42	4708
43	4170
44	3378
45	2870
46	2533
47	2306
48	1857
49	1652
50	1254
51	1246
52	1193
53	1015
54	845
55	673
56	425
57	283
58	181
59	127
60	108
61	62
62	49
63	43
64	32
65	28
66	22
67	17
68	17
69	24
70	26
71	19
72	30
73	25
74	13
75	19
76	24
77	22
78	7
79	1
80	1
81	2
82	0
83	2
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
