#Mean	38.617
#Median	38
#Mode	38
#STDev	7.020
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	2
9	2
10	2
11	1
12	1
13	4
14	6
15	9
16	17
17	25
18	19
19	43
20	49
21	117
22	145
23	209
24	371
25	544
26	933
27	1429
28	2012
29	2675
30	3540
31	4170
32	5080
33	4838
34	5933
35	6534
36	6500
37	7026
38	7206
39	6969
40	6362
41	5923
42	5134
43	4540
44	3821
45	3309
46	2855
47	2406
48	2014
49	1757
50	1354
51	1314
52	1207
53	996
54	822
55	589
56	452
57	330
58	204
59	162
60	101
61	92
62	81
63	49
64	39
65	45
66	32
67	17
68	23
69	20
70	13
71	17
72	22
73	19
74	18
75	13
76	21
77	17
78	15
79	8
80	2
81	0
82	1
83	0
84	0
85	1
86	0
87	0
88	0
89	0
90	1
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
