#Mean	38.457
#Median	38
#Mode	37
#STDev	7.017
#GC	Count
0	0
1	0
2	1
3	0
4	0
5	0
6	1
7	0
8	1
9	4
10	3
11	5
12	2
13	6
14	10
15	4
16	15
17	27
18	35
19	50
20	70
21	105
22	149
23	262
24	433
25	599
26	1049
27	1602
28	2308
29	3085
30	3781
31	4738
32	5359
33	5298
34	6235
35	6720
36	7269
37	7688
38	7569
39	7345
40	6704
41	6139
42	5283
43	4834
44	4000
45	3313
46	2924
47	2494
48	2073
49	1831
50	1334
51	1453
52	1250
53	1129
54	876
55	737
56	438
57	313
58	210
59	125
60	111
61	67
62	51
63	40
64	33
65	28
66	26
67	20
68	24
69	16
70	26
71	22
72	19
73	20
74	16
75	18
76	12
77	24
78	14
79	7
80	2
81	1
82	3
83	1
84	0
85	0
86	1
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
