#Mean	38.637
#Median	38
#Mode	38
#STDev	7.078
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	1
9	1
10	3
11	1
12	3
13	4
14	11
15	8
16	15
17	25
18	31
19	39
20	58
21	99
22	161
23	238
24	338
25	544
26	918
27	1389
28	1953
29	2546
30	3429
31	4071
32	4609
33	4538
34	5392
35	5834
36	6248
37	6549
38	6570
39	6521
40	6027
41	5562
42	4887
43	4335
44	3716
45	3095
46	2540
47	2368
48	1998
49	1689
50	1244
51	1278
52	1123
53	1004
54	830
55	636
56	487
57	275
58	220
59	124
60	100
61	65
62	58
63	46
64	30
65	37
66	21
67	18
68	21
69	21
70	13
71	16
72	28
73	26
74	21
75	19
76	10
77	14
78	14
79	1
80	2
81	1
82	1
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
