#Mean	38.942
#Median	38
#Mode	39
#STDev	7.368
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	2
7	1
8	5
9	1
10	4
11	12
12	6
13	4
14	19
15	21
16	31
17	32
18	47
19	63
20	88
21	122
22	192
23	311
24	476
25	738
26	1135
27	1677
28	2308
29	3098
30	4097
31	5027
32	5854
33	5481
34	6719
35	7499
36	7951
37	8217
38	8136
39	8228
40	7611
41	6876
42	6152
43	5561
44	4823
45	4149
46	3463
47	2990
48	2586
49	2287
50	1670
51	1805
52	1668
53	1428
54	1156
55	951
56	735
57	461
58	302
59	259
60	157
61	122
62	99
63	81
64	76
65	72
66	59
67	41
68	50
69	33
70	30
71	38
72	41
73	45
74	36
75	27
76	29
77	28
78	19
79	13
80	2
81	1
82	3
83	1
84	0
85	0
86	0
87	0
88	1
89	0
90	2
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
