#Mean	38.477
#Median	38
#Mode	38
#STDev	7.052
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	3
8	7
9	3
10	4
11	0
12	4
13	6
14	8
15	17
16	18
17	24
18	34
19	66
20	84
21	132
22	185
23	292
24	436
25	722
26	1173
27	1740
28	2366
29	3353
30	4333
31	5170
32	5803
33	5710
34	6845
35	7435
36	7803
37	8336
38	8353
39	8099
40	7354
41	6765
42	5728
43	4948
44	4529
45	3664
46	3031
47	2837
48	2336
49	1989
50	1513
51	1666
52	1368
53	1286
54	1015
55	733
56	527
57	368
58	264
59	127
60	111
61	73
62	46
63	49
64	28
65	40
66	29
67	25
68	19
69	13
70	23
71	25
72	22
73	17
74	26
75	19
76	19
77	23
78	10
79	12
80	1
81	2
82	2
83	0
84	0
85	2
86	2
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
