#Mean	38.849
#Median	38
#Mode	38
#STDev	7.309
#GC	Count
0	1
1	0
2	0
3	0
4	0
5	0
6	1
7	2
8	2
9	10
10	3
11	6
12	11
13	19
14	20
15	18
16	38
17	41
18	65
19	79
20	94
21	171
22	246
23	374
24	543
25	822
26	1339
27	1970
28	2866
29	3775
30	4625
31	5867
32	6708
33	6530
34	7742
35	8469
36	9366
37	9527
38	9859
39	9623
40	8765
41	8181
42	7028
43	6266
44	5521
45	4694
46	4022
47	3553
48	3031
49	2584
50	1919
51	2087
52	1880
53	1681
54	1413
55	1067
56	731
57	484
58	333
59	230
60	175
61	133
62	109
63	88
64	78
65	63
66	59
67	27
68	24
69	44
70	39
71	18
72	44
73	45
74	34
75	31
76	43
77	41
78	21
79	18
80	4
81	5
82	1
83	2
84	1
85	0
86	1
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
