#Mean	38.599
#Median	38
#Mode	38
#STDev	7.011
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	1
8	1
9	3
10	2
11	2
12	0
13	4
14	3
15	10
16	17
17	14
18	23
19	53
20	62
21	112
22	178
23	298
24	478
25	625
26	1177
27	1636
28	2326
29	3164
30	4274
31	5257
32	5934
33	5595
34	6860
35	7449
36	8078
37	8332
38	8436
39	8321
40	7688
41	6947
42	6178
43	5228
44	4681
45	3860
46	3196
47	2796
48	2270
49	2112
50	1582
51	1656
52	1429
53	1253
54	996
55	777
56	495
57	360
58	226
59	170
60	125
61	91
62	98
63	60
64	46
65	34
66	35
67	24
68	22
69	21
70	23
71	18
72	26
73	20
74	27
75	29
76	15
77	17
78	16
79	5
80	4
81	1
82	0
83	0
84	1
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	1
94	0
95	0
96	0
97	0
98	0
99	0
100	0
