#Mean	38.545
#Median	38
#Mode	37
#STDev	6.993
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	1
6	0
7	2
8	1
9	1
10	1
11	0
12	3
13	2
14	5
15	9
16	17
17	17
18	22
19	47
20	60
21	82
22	127
23	210
24	328
25	501
26	889
27	1167
28	1781
29	2357
30	2933
31	3667
32	4217
33	4211
34	4994
35	5335
36	5732
37	6256
38	6226
39	5989
40	5512
41	5031
42	4276
43	3779
44	3339
45	2747
46	2335
47	1950
48	1797
49	1528
50	1056
51	1127
52	1027
53	837
54	730
55	583
56	400
57	245
58	167
59	115
60	85
61	59
62	49
63	43
64	41
65	25
66	15
67	17
68	16
69	10
70	13
71	15
72	18
73	17
74	16
75	15
76	14
77	11
78	11
79	4
80	1
81	0
82	0
83	0
84	1
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
