#Deviation	2.3853	2.3414
#Avg_STDev	5.693
#Diversity	3.162
#Entropy	0.034
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	35.468	21.277	23.824	35.704	25.809	24.770
2	35.474	21.339	22.415	35.879	26.110	23.706
3	35.730	21.728	23.338	35.944	26.383	24.409
4	35.697	21.706	23.245	35.955	26.474	26.028
5	35.828	21.940	24.154	35.885	26.124	24.671
6	36.011	22.209	24.699	36.005	26.601	25.233
7	35.971	22.126	24.378	35.890	26.193	25.332
8	35.932	22.083	24.862	35.855	26.087	24.514
9	35.951	22.089	24.287	35.912	26.227	24.526
10	35.922	22.103	24.786	35.867	26.179	25.123
11	36.067	22.297	24.914	35.985	26.505	24.872
12	35.971	22.189	26.720	35.803	25.934	24.884
13	36.004	22.202	25.086	35.932	26.314	25.658
14	35.938	22.101	26.273	35.878	26.132	25.261
15	35.942	22.115	25.570	35.862	26.055	24.757
16	35.944	22.163	26.454	35.830	25.992	24.444
17	35.914	22.101	25.032	35.839	26.050	24.783
18	35.918	22.118	25.099	35.812	25.972	24.859
19	35.940	22.153	26.220	35.795	25.909	24.820
20	35.937	22.128	25.496	35.849	26.070	25.136
21	35.970	22.184	26.185	35.802	25.846	24.317
22	35.937	22.135	24.940	35.800	25.927	24.872
23	35.904	22.100	24.553	35.782	25.800	24.043
24	35.909	22.099	24.565	35.769	25.797	24.479
25	35.886	22.069	24.401	35.757	25.740	24.455
26	35.821	21.953	23.343	35.761	25.742	24.808
27	35.779	21.875	24.518	35.741	25.636	24.118
28	35.791	21.869	24.220	35.734	25.651	25.318
29	35.785	21.889	25.059	35.712	25.584	24.598
30	35.737	21.813	24.090	35.692	25.505	23.970
31	35.778	21.881	23.749	35.665	25.447	24.075
32	35.763	21.847	24.198	35.664	25.389	24.140
33	35.724	21.802	25.755	35.641	25.339	24.012
34	35.757	21.857	25.948	35.651	25.380	24.054
35	35.768	21.853	25.510	35.644	25.345	24.397
36	35.976	27.019	25.378	35.533	25.286	23.214
37	35.940	26.874	25.422	35.551	25.370	23.214
38	35.928	26.838	25.436	35.594	25.546	23.815
39	35.907	26.711	25.264	35.602	25.566	23.706
40	35.924	26.856	25.407	35.634	25.641	24.000
41	35.914	26.769	25.363	35.594	25.479	23.896
42	35.859	26.525	25.208	35.587	25.454	24.032
43	35.875	26.590	25.277	35.570	25.398	23.989
44	35.883	26.604	25.084	35.563	25.411	23.835
45	35.893	26.723	25.098	35.529	25.277	23.438
46	35.901	26.725	24.951	35.523	25.246	23.550
47	35.886	26.661	24.709	35.521	25.273	23.292
48	35.879	26.545	25.165	35.515	25.219	23.274
49	35.829	26.384	25.097	35.514	25.203	23.346
50	35.835	26.421	25.056	35.502	25.192	23.834
51	35.826	26.369	25.151	35.466	25.093	23.437
52	35.835	26.381	25.449	35.479	25.108	23.327
53	35.810	26.316	24.872	35.461	25.066	23.345
54	35.795	26.222	24.550	35.449	25.087	23.081
55	35.784	26.212	24.173	35.384	24.815	22.397
56	35.786	26.180	25.303	35.385	24.857	23.326
57	35.754	26.118	24.454	35.369	24.830	22.713
58	35.775	26.130	24.385	35.332	24.688	22.792
59	35.757	26.054	24.597	35.321	24.650	22.689
60	35.746	26.027	24.657	35.389	24.848	23.097
61	35.746	26.105	24.477	35.330	24.664	22.513
62	35.710	25.906	24.031	35.228	24.476	22.558
63	35.712	25.978	24.372	35.179	24.319	22.322
64	35.694	25.850	24.535	35.284	24.540	22.379
65	35.671	25.686	24.236	35.288	24.544	22.534
66	35.676	25.781	24.008	35.307	24.672	22.400
67	35.607	25.575	23.762	35.245	24.429	22.242
68	35.591	25.587	23.761	35.275	24.550	22.342
69	35.629	25.638	23.944	35.217	24.323	22.104
70	35.655	25.688	24.474	35.247	24.469	22.465
71	35.667	25.775	24.358	35.218	24.402	22.327
72	35.631	25.628	23.604	35.229	24.408	22.355
73	35.596	25.444	23.594	35.212	24.375	22.123
74	35.600	25.574	24.069	35.143	24.226	21.967
75	35.627	25.596	23.769	35.172	24.219	22.026
76	35.615	25.592	23.718	35.122	24.079	21.810
77	35.576	25.432	23.591	35.142	24.146	21.868
78	35.569	25.419	23.777	35.125	24.135	22.099
79	35.513	25.262	23.687	35.100	24.108	21.652
80	35.535	25.380	23.467	35.143	24.167	21.931
81	35.508	25.224	23.135	35.064	23.969	21.658
82	35.519	25.271	23.392	35.073	23.998	21.688
83	35.486	25.177	23.355	35.044	23.911	21.589
84	35.467	25.096	23.014	34.963	23.762	21.481
85	35.441	25.054	23.202	35.041	23.947	21.256
86	35.439	25.081	23.131	34.979	23.763	21.450
87	35.444	25.016	23.217	34.782	23.218	20.550
88	35.436	25.044	23.137	34.900	23.550	21.098
89	35.444	25.075	23.154	34.968	23.758	21.141
90	35.423	25.060	22.942	34.883	23.595	21.107
91	35.389	24.882	22.584	34.927	23.707	21.107
92	35.353	24.784	23.015	34.952	23.768	21.232
93	35.276	24.547	22.266	34.920	23.640	21.067
94	35.367	24.786	22.832	34.916	23.630	21.304
95	35.352	24.783	22.634	34.919	23.686	21.027
96	35.312	24.649	22.781	34.846	23.509	20.792
97	35.332	24.707	22.639	34.823	23.429	21.041
98	35.273	24.587	22.212	34.829	23.444	20.846
99	35.300	24.651	22.501	34.867	23.551	20.764
100	35.249	24.533	22.114	34.843	23.497	20.784
101	35.237	24.504	22.045	34.774	23.356	20.572
102	35.258	24.565	22.273	34.735	23.275	20.586
103	35.229	24.411	21.833	34.715	23.234	20.503
104	35.267	24.592	22.393	34.741	23.245	20.271
105	35.258	24.562	22.027	34.717	23.221	20.278
106	35.235	24.477	22.006	34.664	23.102	20.114
107	35.176	24.333	21.821	34.621	23.008	20.018
108	35.157	24.339	21.963	34.592	22.968	20.203
109	35.192	24.321	21.724	34.514	22.857	20.063
110	35.169	24.369	21.642	34.591	22.968	19.836
111	35.132	24.170	21.599	34.655	23.127	20.010
112	35.100	24.148	21.671	34.547	22.907	19.892
113	35.106	24.102	21.211	34.302	22.473	19.198
114	35.085	24.125	21.439	34.313	22.503	19.239
115	35.091	24.086	21.125	34.528	22.841	19.642
116	35.066	24.048	21.482	34.519	22.834	19.942
117	35.008	23.887	21.209	34.513	22.835	19.681
118	34.881	23.602	20.834	34.473	22.737	19.575
119	34.888	23.625	20.666	34.520	22.905	19.635
120	35.005	23.935	21.004	34.447	22.700	19.534
121	35.046	23.992	21.111	34.398	22.587	19.372
122	34.995	23.827	20.809	34.347	22.545	19.202
123	35.000	23.902	20.926	34.315	22.485	19.264
124	35.003	23.912	21.223	34.284	22.406	18.869
125	34.926	23.694	20.648	34.345	22.499	19.088
126	34.935	23.756	20.833	34.302	22.440	19.230
127	34.875	23.636	20.635	34.244	22.372	19.123
128	34.841	23.533	20.469	34.247	22.408	18.858
129	34.838	23.519	20.510	34.199	22.281	18.624
130	34.797	23.405	20.182	34.101	22.097	18.512
131	34.738	23.316	20.399	34.152	22.207	18.662
132	34.643	23.170	20.320	34.187	22.256	18.814
133	34.605	23.091	19.891	34.174	22.248	18.687
134	34.646	23.166	20.058	34.107	22.133	18.434
135	34.753	23.336	20.151	33.966	21.892	18.040
136	34.705	23.244	20.001	34.027	22.034	18.353
137	34.644	23.137	19.961	34.032	22.008	18.383
138	34.635	23.097	19.668	33.706	21.500	17.698
139	34.651	23.134	19.588	33.750	21.562	17.613
140	34.595	23.008	19.768	33.821	21.684	17.937
141	34.550	22.985	19.730	33.878	21.763	17.943
142	34.546	22.956	19.875	33.912	21.831	18.201
143	34.362	22.597	19.089	33.817	21.652	18.038
144	34.353	22.577	18.807	33.812	21.655	17.743
