Frequency	Allele
72	1
64	2
71	3
60	4
63	5
71	6
40	7
62	8
27	9
41	10
63	11
60	12
71	13
62	14
69	15
54	16
37	17
53	18
37	19
36	20
35	21
33	22
52	23
68	24
51	26
41	27
52	28
58	29
49	30
56	31
33	32
67	33
31	34
72	35
29	36
47	37
48	38
66	39
29	40
31	41
65	42
64	43
59	44
64	45
44	46
27	47
32	48
24	49
43	50
29	51
62	52
24	53
22	54
41	55
21	56
17	57
23	58
18	59
18	60
24	61
15	62
14	63
13	64
17	65
25	66
9	67
64	68
9	69
7	70
29	71
