Frequency	Allele
72	1
64	2
72	3
59	4
62	5
72	6
39	7
66	8
47	9
38	10
62	11
60	12
72	13
65	14
72	15
52	16
39	17
60	18
48	19
44	20
35	21
45	22
52	23
67	24
58	26
41	27
49	28
59	29
48	30
53	31
17	32
66	33
33	34
72	35
29	36
47	37
45	38
68	39
34	40
28	41
65	42
62	43
57	44
63	45
43	46
27	47
27	48
25	49
42	50
25	51
61	52
22	53
23	54
43	55
23	56
15	57
26	58
23	59
21	60
27	61
15	62
14	63
12	64
11	65
26	66
10	67
31	68
9	69
12	70
31	71
