Database	CYP3A4	NAT2	CYP2A13	CYP1A2	CYP4F2	CYP2A6	SLCO1B1	CYP2B6	CYP2D6	CYP2C9	NUDT15	CYP2C8	CYP2C19	CYP3A5
GeT-RM	['*16', '*1', '*15', '*3', '*22', '*2']	['*6', '*5', '*39', '*1', '*7', '*47', '*4', '*38', '*14', '*44']	[]	['*30', '*1', '*14']	['*6', '*5', '*1', '*7', '*4', '*3', '*2']	['*24', '*1', '*7', '*15', '*35', '*46', '*17', '*4', '*25', '*9', '*19', '*20', '*23', '*2']	['*39', '*5', '*31', '*30', '*1', '*15', '*37', '*46', '*41', '*20', '*14', '*44', '*27', '*42', '*43']	['*6', '*5', '*1', '*7', '*15', '*18', '*4', '*17', '*22', '*20', '*23', '*2']	['*4', '*45', '*2', '*6', '*1', '*15', '*41', '*68', '*36', '*21', '*46', '*29', '*71', '*106', '*5', '*40', '*35', '*17', '*9', '*14', '*10']	['*6', '*5', '*8', '*1', '*61', '*9', '*3', '*11', '*2']	[]	['*16', '*1', '*15', '*4', '*17', '*3', '*2']	['*39', '*8', '*6', '*1', '*15', '*35', '*4', '*17', '*13', '*3', '*2']	['*6', '*3', '*1', '*7']
StarAlleleSearch	['*5', '*16', '*1', '*7', '*18', '*28', '*37', '*4', '*15', '*35', '*22', '*12', '*19', '*3', '*10', '*23', '*2']	[]	['*6', '*8', '*1', '*7', '*2']	[]	['*1', '*3', '*2']	['*31', '*1', '*18', '*21', '*15', '*17', '*13', '*25', '*9', '*26', '*14', '*11', '*2']	['*31', '*28', '*47', '*20', '*45', '*1', '*15', '*37', '*41', '*27', '*39', '*16', '*30', '*46', '*29', '*19', '*43', '*24', '*5', '*9', '*14', '*44']	['*33', '*1', '*15', '*18', '*22', '*9', '*3', '*11', '*10', '*27', '*23', '*2']	['*31', '*28', '*7', '*4', '*45', '*84', '*59', '*121', '*11', '*99', '*22', '*2', '*33', '*6', '*1', '*15', '*41', '*117', '*82', '*68', '*49', '*125', '*27', '*139', '*36', '*39', '*21', '*46', '*13', '*29', '*113', '*71', '*106', '*34', '*56', '*108', '*90', '*43', '*83', '*86', '*5', '*40', '*35', '*111', '*17', '*32', '*9', '*3', '*14', '*10', '*112', '*52']	['*8', '*5', '*31', '*1', '*66', '*13', '*29', '*61', '*12', '*9', '*3', '*14', '*11', '*44', '*2']	['*15', '*1', '*4', '*3']	['*6', '*16', '*1', '*15', '*18', '*4', '*17', '*3', '*14', '*11', '*2']	['*39', '*8', '*1', '*15', '*35', '*4', '*17', '*13', '*38', '*9', '*3', '*11', '*34', '*22', '*10', '*2']	['*6', '*3', '*1', '*7']
