Allele	Mean_coverage	Min_coverage	Max_coverage
1	14.95	0	35
1	14.88	0	39
2	14.71	0	38
2	14.48	0	34
3	14.69	0	34
3	14.67	0	37
4	14.47	0	36
4	14.60	0	34
5	14.68	0	37
5	14.62	0	38
6	14.72	0	35
6	14.51	0	38
7	14.59	0	38
7	14.68	0	35
8	14.80	0	35
8	14.66	0	36
9	14.41	0	36
9	14.76	0	39
10	14.43	0	35
10	14.55	0	37
11	14.70	0	39
11	14.57	0	35
12	14.47	0	35
12	14.68	0	38
13	14.76	0	35
13	14.56	0	35
14	14.66	0	38
14	14.49	0	35
15	14.33	0	36
15	14.76	0	37
16	14.65	0	41
16	14.63	0	35
17	14.49	0	35
17	14.80	0	35
18	14.45	0	36
18	14.64	0	34
19	14.64	0	35
19	14.70	0	38
20	14.64	0	36
20	14.47	0	36
21	14.56	0	34
21	14.56	0	37
22	14.61	0	35
22	14.78	0	34
23	14.54	0	33
23	14.58	0	34
24	14.49	0	33
24	14.50	0	37
25	14.57	0	35
25	14.51	0	38
26	14.70	0	35
26	14.61	0	38
27	14.67	0	36
27	14.69	0	36
28	14.42	0	37
28	14.57	0	35
29	14.53	0	37
29	14.65	0	40
30	14.68	0	38
30	14.59	0	34
31	14.51	0	42
31	14.42	0	34
32	14.56	0	34
32	14.58	0	45
33	14.51	0	38
33	14.56	0	36
34	14.70	0	35
34	14.66	0	35
35	14.41	0	38
35	14.44	0	35
36	14.45	0	35
36	14.55	0	34
37	14.48	0	34
37	14.85	0	36
38	14.62	0	39
38	14.60	0	33
39	14.64	0	34
39	14.69	0	36
40	14.63	0	35
40	14.68	0	35
41	14.52	0	39
41	14.39	0	33
42	14.72	0	34
42	14.57	0	36
43	14.71	0	37
43	14.76	0	38
44	14.73	0	36
44	14.89	0	35
45	14.50	0	40
45	14.72	0	38
46	14.26	0	37
46	14.61	0	33
47	14.53	0	35
47	14.69	0	34
48	14.64	0	37
48	14.69	0	35
49	14.59	0	37
49	14.62	0	37
50	14.74	0	36
50	14.57	0	39
51	14.46	0	37
51	14.60	0	32
52	14.52	0	39
52	14.68	0	39
53	14.72	0	35
53	14.55	0	37
54	14.65	0	37
54	14.67	0	37
55	14.73	0	34
55	14.70	0	34
56	14.65	0	34
56	14.61	0	41
57	14.72	0	36
57	14.57	0	37
58	14.44	0	36
58	14.57	0	38
59	14.65	0	35
59	14.57	0	35
60	14.67	0	39
60	14.67	0	35
61	14.50	0	33
61	14.70	0	35
62	14.60	0	37
62	14.55	0	39
63	14.76	0	37
63	14.60	0	40
64	14.71	0	37
64	14.46	0	38
65	14.67	0	39
65	14.79	0	40
66	14.60	0	37
66	14.72	0	36
67	14.58	0	34
67	14.62	0	41
68	14.69	0	35
68	14.72	0	37
69	14.64	0	39
69	14.57	0	37
70	14.83	0	38
70	14.62	0	37
71	14.82	0	36
71	14.61	0	35
72	14.51	0	37
72	14.66	0	37
73	14.58	0	36
73	14.61	0	39
74	14.69	0	36
74	14.57	0	34
75	14.63	0	35
75	14.46	0	34
76	14.66	0	35
76	14.57	0	33
77	14.49	0	35
77	14.60	0	36
78	14.66	0	35
78	14.54	0	34
79	14.64	0	37
79	14.48	0	37
80	14.75	0	36
80	14.62	0	37
81	14.74	0	38
81	14.57	0	34
82	14.41	0	38
82	14.58	0	36
83	14.60	0	37
83	14.65	0	36
84	14.67	0	35
84	14.41	0	36
85	14.57	0	39
85	14.66	0	34
