Allele	Mean_coverage	Min_coverage	Max_coverage
1	29.76	0	60
2	29.14	0	58
3	29.14	0	61
4	29.32	0	59
5	29.31	0	60
6	29.31	0	66
7	29.33	0	57
8	29.47	0	61
9	29.07	0	59
10	28.87	0	55
11	29.34	0	59
12	29.19	0	59
13	29.34	0	62
14	29.46	0	57
15	29.02	0	57
16	29.30	0	56
17	29.33	0	56
18	28.88	0	62
19	29.40	0	63
20	29.37	0	57
21	29.15	0	64
22	29.33	0	63
23	29.08	0	57
24	29.19	0	58
25	29.11	0	57
26	29.32	0	59
27	29.15	0	58
28	29.28	0	60
29	29.17	0	58
30	29.39	0	61
31	29.14	0	59
32	29.37	0	66
33	29.16	0	61
34	29.18	0	60
35	29.06	0	59
36	29.06	0	58
37	29.08	0	59
38	29.00	0	58
39	29.18	0	61
40	29.03	0	57
41	29.34	0	59
42	29.26	0	59
43	29.33	0	68
44	29.09	0	57
45	29.40	0	57
46	28.97	0	61
47	29.44	0	58
48	29.26	0	60
49	29.08	0	59
50	29.34	0	63
51	29.12	0	67
52	29.10	0	60
53	29.19	0	57
54	29.25	0	58
55	29.21	0	56
56	29.25	0	63
57	29.08	0	56
58	29.25	0	60
59	29.26	0	60
60	29.22	0	64
61	29.28	0	61
62	29.29	0	57
63	29.27	0	62
64	29.19	0	64
65	29.17	0	59
66	29.26	0	58
67	29.63	0	59
68	29.12	0	58
69	29.52	0	60
70	28.97	0	60
71	29.49	0	60
72	29.16	0	60
73	29.20	0	58
74	29.25	0	60
75	29.31	0	69
76	29.10	0	59
77	29.35	0	54
78	29.29	0	59
79	29.53	0	63
80	29.23	0	61
81	29.69	0	60
82	29.10	0	66
83	29.17	0	61
84	29.32	0	61
85	29.03	0	58
