ALLELE	#ALLELIC_VARIANTS	#ALLELIC_CALLED	ALL_ALLELIC_CALLED	TOTAL_CALLED	ERROR_CALLED	 ERRORS_CALLED_CONF	ERRORS_CALLED_ALL	MEAN_QUAL_ALLELIC	MEAN_QUAL_ERRORS	MIN_QUAL_ALLELIC	 MAX_QUAL_ERRORS	MEAN_DEPTH
2	1	1	YES	388	386	 99.7%	100.0%	890.06	78.79	 890.06	276.64	19.2
3	1	1	YES	334	331	 99.4%	100.0%	1029.06	87.52	 1029.06	466.64	19.4
4	1	1	YES	354	350	 99.2%	100.0%	1396.06	82.32	 1396.06	543.64	20.6
5	1	1	YES	356	353	 99.4%	100.0%	792.06	81.56	 792.06	390.64	20.2
6	1	1	YES	358	357	 100.0%	100.0%	628.03	71.78	 628.03	328.64	19.0
7	1	1	YES	392	389	 99.5%	100.0%	571.06	83.16	 571.06	406.64	19.6
8	1	1	YES	382	376	 98.7%	99.0%	523.06	75.26	 523.06	469.64	19.1
9	1	1	YES	346	344	 99.7%	100.0%	1459.06	77.47	 1459.06	307.64	19.5
10	1	1	YES	357	354	 99.4%	100.0%	1492.06	76.95	 1492.06	291.64	19.6
11	1	1	YES	382	381	 100.0%	100.0%	965.06	74.19	 965.06	371.64	19.7
12	1	1	YES	369	366	 99.5%	100.0%	1051.06	75.87	 1051.06	378.64	18.8
13	1	1	YES	380	378	 99.7%	100.0%	1065.06	75.09	 1065.06	420.64	19.5
14	1	1	YES	354	350	 99.2%	99.7%	972.06	76.41	 972.06	617.64	19.4
15	1	1	YES	385	383	 99.7%	100.0%	1088.06	76.65	 1088.06	347.64	19.0
16	1	1	YES	368	363	 98.9%	100.0%	1348.06	78.05	 1348.06	509.64	19.2
17	1	1	YES	400	399	 100.0%	100.0%	742.06	82.67	 742.06	662.64	19.0
18	2	2	YES	401	394	 98.7%	99.2%	1059.06	74.43	 819.06	482.64	19.2
19	1	1	YES	369	367	 99.7%	100.0%	1465.06	74.38	 1465.06	301.64	19.8
20	1	1	YES	391	389	 99.7%	100.0%	613.06	77.9	 613.06	326.64	19.2
21	1	1	YES	405	401	 99.3%	100.0%	1233.06	81.23	 1233.06	354.64	19.3
22	1	1	YES	371	369	 99.7%	100.0%	686.06	74.0	 686.06	271.64	19.3
23	1	1	YES	382	379	 99.5%	100.0%	1178.06	73.86	 1178.06	469.64	19.0
24	1	1	YES	363	361	 99.7%	100.0%	1041.06	76.99	 1041.06	553.64	19.8
25	1	1	YES	350	346	 99.1%	100.0%	748.03	77.23	 748.03	417.64	19.6
26	1	1	YES	353	351	 99.7%	99.7%	1079.06	79.37	 1079.06	306.64	19.1
27	1	1	YES	368	363	 98.9%	99.7%	829.06	77.78	 829.06	325.64	19.6
28	1	1	YES	414	409	 99.0%	100.0%	576.06	78.5	 576.06	391.64	19.5
29	1	1	YES	365	361	 99.2%	100.0%	1189.06	74.63	 1189.06	477.64	19.6
30	1	1	YES	368	367	 100.0%	100.0%	1305.06	80.61	 1305.06	315.64	20.2
31	1	1	YES	381	380	 100.0%	100.0%	360.05	81.52	 360.05	492.64	19.5
32	1	1	YES	383	381	 99.7%	100.0%	863.06	78.88	 863.06	329.64	20.4
33	1	1	YES	386	381	 99.0%	100.0%	1003.06	75.85	 1003.06	359.64	19.5
34	1	1	YES	329	328	 100.0%	100.0%	1265.06	79.95	 1265.06	329.64	19.8
35	2	2	YES	348	344	 99.4%	99.7%	931.56	74.17	 679.06	492.64	19.3
36	1	1	YES	345	341	 99.1%	99.4%	787.06	73.58	 787.06	360.64	19.9
37	1	1	YES	386	383	 99.5%	100.0%	946.06	75.27	 946.06	351.64	20.0
38	1	1	YES	358	356	 99.7%	100.0%	886.06	75.14	 886.06	338.64	19.5
39	1	1	YES	351	350	 100.0%	100.0%	463.06	73.39	 463.06	373.64	19.1
40	1	1	YES	399	397	 99.7%	100.0%	953.06	75.22	 953.06	304.64	20.0
41	1	1	YES	390	385	 99.0%	99.5%	590.06	74.39	 590.06	413.64	18.4
42	1	1	YES	400	396	 99.2%	99.7%	957.06	74.12	 957.06	352.64	19.1
43	1	1	YES	362	360	 99.7%	99.7%	729.06	82.24	 729.06	450.64	18.9
44	1	1	YES	394	391	 99.5%	100.0%	910.06	81.3	 910.06	591.64	19.2
45	1	1	YES	415	412	 99.5%	99.5%	443.06	78.36	 443.06	355.64	19.8
46	1	1	YES	354	350	 99.2%	99.4%	1075.06	77.09	 1075.06	326.64	19.5
47	1	1	YES	392	391	 100.0%	100.0%	958.06	74.4	 958.06	396.64	20.0
48	1	1	YES	383	379	 99.2%	99.7%	1265.06	80.13	 1265.06	334.64	19.6
49	1	1	YES	372	370	 99.7%	100.0%	562.06	75.9	 562.06	262.64	19.6
50	1	1	YES	411	403	 98.3%	98.8%	1344.06	77.4	 1344.06	337.64	19.6
51	1	1	YES	400	398	 99.7%	100.0%	1130.06	82.04	 1130.06	511.64	19.9
52	1	1	YES	349	347	 99.7%	100.0%	996.06	72.19	 996.06	330.64	19.1
53	1	1	YES	342	341	 100.0%	100.0%	1014.06	75.32	 1014.06	512.64	19.8
54	1	1	YES	370	368	 99.7%	100.0%	1160.06	76.39	 1160.06	309.64	19.9
55	1	1	YES	330	328	 99.7%	99.7%	1081.06	79.65	 1081.06	367.64	20.7
56	1	1	YES	387	385	 99.7%	100.0%	470.06	73.62	 470.06	344.64	18.6
57	1	1	YES	390	388	 99.7%	100.0%	1293.06	80.27	 1293.06	335.64	20.5
58	1	1	YES	356	354	 99.7%	100.0%	1324.06	79.43	 1324.06	580.64	19.9
59	1	1	YES	406	403	 99.5%	100.0%	1071.06	77.01	 1071.06	445.64	19.8
60	1	1	YES	399	397	 99.7%	100.0%	734.06	78.52	 734.06	419.64	18.8
61	2	2	YES	371	369	 100.0%	100.0%	884.56	81.24	 702.06	554.64	20.3
62	1	1	YES	395	394	 100.0%	100.0%	1229.06	77.74	 1229.06	562.64	19.5
63	1	1	YES	408	402	 98.8%	99.8%	996.06	77.68	 996.06	434.75	19.1
64	1	1	YES	350	348	 99.7%	100.0%	900.06	71.94	 900.06	345.64	20.1
65	1	1	YES	385	378	 98.4%	100.0%	1060.06	73.42	 1060.06	321.64	19.8
66	1	1	YES	349	348	 100.0%	100.0%	813.06	80.68	 813.06	511.64	19.1
67	1	1	YES	337	336	 100.0%	100.0%	983.06	78.82	 983.06	350.64	20.3
68	2	2	YES	365	362	 99.7%	100.0%	714.06	78.2	 619.06	373.64	19.6
69	1	1	YES	418	416	 99.8%	100.0%	790.06	81.36	 790.06	496.64	19.7
70	1	1	YES	387	381	 98.7%	99.5%	1771.06	74.03	 1771.06	281.64	19.3
71	2	2	YES	409	406	 99.8%	100.0%	1273.06	73.21	 819.06	492.64	20.2
72	1	1	YES	405	403	 99.8%	99.8%	860.06	77.55	 860.06	381.64	18.8
