ALLELE	#ALLELIC_VARIANTS	#ALLELIC_CALLED	ALL_ALLELIC_CALLED	TOTAL_CALLED	ERROR_CALLED	 ERRORS_CALLED_CONF	ERRORS_CALLED_ALL	MEAN_QUAL_ALLELIC	MEAN_QUAL_ERRORS	MIN_QUAL_ALLELIC	 MAX_QUAL_ERRORS	MEAN_DEPTH
2	1	1	YES	100	94	 94.9%	96.0%	400.06	59.64	 400.06	109.64	4.5
3	1	1	YES	78	75	 97.4%	97.4%	270.02	53.87	 270.02	120.64	4.9
4	1	1	YES	82	75	 92.6%	95.1%	115.84	54.01	 115.84	136.64	4.6
5	1	1	YES	75	70	 94.6%	97.3%	200.96	53.7	 200.96	90.64	4.3
6	1	1	YES	61	58	 96.7%	100.0%	136.1	50.12	 136.1	87.64	4.8
7	1	1	YES	77	73	 96.1%	100.0%	234.97	58.65	 234.97	130.64	4.8
8	1	1	YES	62	59	 96.7%	98.4%	32.48	57.82	 32.48	141.64	5.1
9	1	1	YES	98	93	 95.9%	99.0%	229.97	57.29	 229.97	189.64	4.8
10	1	1	YES	63	60	 96.8%	98.4%	207.97	54.58	 207.97	100.64	5.3
11	1	1	YES	83	81	 98.8%	100.0%	111.84	57.61	 111.84	150.64	4.6
12	1	1	YES	88	86	 98.9%	100.0%	75.32	58.86	 75.32	166.14	5.3
13	1	1	YES	81	79	 98.8%	100.0%	160.14	50.92	 160.14	102.84	4.5
14	1	1	YES	87	83	 96.5%	98.8%	227.97	52.13	 227.97	160.14	4.5
15	1	1	YES	94	87	 93.5%	98.9%	144.14	57.46	 144.14	204.96	4.5
16	1	1	YES	85	82	 97.6%	100.0%	70.32	49.5	 70.32	105.64	4.6
17	1	1	YES	86	79	 92.9%	96.5%	242.97	53.1	 242.97	178.64	4.6
18	2	1	NO	80	77	 97.5%	100.0%	200.96	58.69	 200.96	146.64	5.1
19	1	1	YES	73	72	 100.0%	100.0%	236.97	58.91	 236.97	150.96	4.9
20	1	1	YES	68	66	 98.5%	100.0%	156.14	51.93	 156.14	103.64	4.5
21	1	1	YES	121	118	 98.3%	100.0%	72.32	58.26	 72.32	168.96	4.7
22	1	1	YES	94	91	 97.8%	100.0%	325.04	53.64	 325.04	110.64	4.4
23	1	1	YES	75	72	 97.3%	100.0%	256.02	52.46	 256.02	116.64	4.9
24	1	1	YES	77	72	 94.7%	96.1%	194.96	55.32	 194.96	109.64	4.6
25	1	1	YES	88	85	 97.7%	100.0%	78.28	53.71	 78.28	112.64	4.7
26	1	1	YES	93	89	 96.7%	96.7%	239.97	58.21	 239.97	115.64	4.9
