#Mean	524.675
#Median	513
#Mode	561
#STDev	138.588
#PercentOfPairs	99.984
#InsertSize	Count
55	1
65	1
78	1
93	1
116	1
117	2
121	2
126	1
130	1
136	1
140	2
141	1
142	1
147	1
149	2
150	1
153	1
156	4
163	1
166	3
167	1
168	2
170	1
171	1
174	1
175	2
176	1
181	1
183	1
184	2
185	2
186	1
187	2
188	3
191	1
193	1
196	2
198	1
203	1
205	2
206	1
209	1
210	3
211	1
212	2
214	1
220	3
221	1
223	1
226	3
229	2
231	1
234	2
235	1
238	2
242	2
246	1
249	1
250	2
251	5
252	3
253	1
254	1
255	1
256	2
258	1
259	1
260	1
261	1
262	1
264	1
265	2
266	1
267	1
268	3
269	4
270	2
271	1
272	1
273	3
274	2
278	2
279	2
280	2
281	1
282	3
283	2
284	2
285	3
286	2
287	2
288	1
289	1
290	2
292	1
293	3
294	1
295	2
296	2
297	3
298	4
299	4
300	3
301	4
302	3
303	1
304	2
305	3
306	6
307	1
308	2
309	1
310	6
311	5
312	3
313	6
314	1
315	1
316	6
317	1
318	4
319	2
320	5
321	10
322	1
323	4
324	6
325	4
326	2
327	4
328	2
329	6
330	4
331	4
332	2
333	3
334	13
335	7
336	1
337	7
338	1
339	9
340	5
342	2
343	7
344	11
345	2
346	8
347	4
348	15
349	6
350	6
351	5
352	9
353	6
354	6
355	3
356	11
357	3
358	9
359	7
360	10
361	6
362	7
363	8
364	13
365	6
366	4
367	12
368	10
369	6
370	6
371	8
372	6
373	4
374	11
375	6
376	9
377	6
378	13
379	13
380	9
381	12
382	8
383	9
384	5
385	11
386	11
387	8
388	5
389	8
390	10
391	15
392	19
393	9
394	5
395	13
396	23
397	11
398	14
399	10
400	17
401	16
402	11
403	7
404	5
405	12
406	14
407	9
408	23
409	14
410	11
411	14
412	18
413	20
414	12
415	10
416	6
417	14
418	23
419	26
420	20
421	5
422	11
423	15
424	21
425	15
426	17
427	22
428	17
429	17
430	11
431	17
432	24
433	13
434	14
435	17
436	10
437	14
438	15
439	26
440	17
441	15
442	27
443	21
444	15
445	14
446	24
447	27
448	19
449	25
450	25
451	22
452	24
453	28
454	23
455	33
456	19
457	22
458	28
459	26
460	25
461	31
462	23
463	25
464	23
465	29
466	29
467	25
468	18
469	29
470	28
471	26
472	27
473	27
474	27
475	23
476	21
477	27
478	30
479	31
480	28
481	32
482	19
483	29
484	12
485	20
486	20
487	19
488	21
489	20
490	22
491	21
492	27
493	24
494	25
495	19
496	24
497	9
498	26
499	24
500	24
501	22
502	18
503	28
504	22
505	19
506	24
507	24
508	15
509	28
510	27
511	21
512	26
513	22
514	25
515	21
516	17
517	23
518	25
519	23
520	21
521	15
522	24
523	18
524	27
525	17
526	18
527	31
528	28
529	21
530	23
531	15
532	20
533	26
534	26
535	27
536	26
537	22
538	24
539	25
540	21
541	12
542	25
543	25
544	22
545	15
546	29
547	15
548	16
549	20
550	14
551	23
552	17
553	18
554	20
555	24
556	21
557	21
558	24
559	22
560	20
561	33
562	15
563	18
564	19
565	24
566	20
567	10
568	16
569	20
570	19
571	16
572	24
573	15
574	22
575	21
576	20
577	16
578	24
579	12
580	23
581	25
582	10
583	13
584	15
585	26
586	10
587	7
588	16
589	16
590	14
591	23
592	19
593	8
594	9
595	15
596	14
597	8
598	11
599	10
600	20
601	18
602	14
603	11
604	10
605	7
606	14
607	8
608	13
609	16
610	8
611	10
612	21
613	18
614	14
615	23
616	13
617	10
618	12
619	11
620	12
621	16
622	14
623	13
624	17
625	14
626	11
627	11
628	9
629	14
630	15
631	10
632	12
633	13
634	12
635	11
636	13
637	8
638	11
639	18
640	10
641	10
642	13
643	8
644	10
645	11
646	15
647	9
648	16
649	8
650	16
651	5
652	7
653	9
654	6
655	12
656	8
657	7
658	8
659	7
660	7
661	12
662	10
663	8
664	4
665	9
666	14
667	11
668	9
669	8
670	1
671	6
672	5
673	6
674	9
675	8
676	10
677	8
678	7
679	5
680	4
681	2
682	7
683	7
684	4
685	12
686	6
687	10
688	5
689	5
690	3
691	7
692	8
693	7
694	6
695	6
696	9
697	7
698	10
699	5
700	4
701	8
702	4
703	6
704	7
705	5
706	3
707	4
708	4
709	4
710	4
711	3
712	8
713	4
714	2
715	4
716	2
717	5
718	14
719	3
720	4
721	7
722	3
723	7
724	2
725	2
726	3
727	4
728	4
729	4
730	2
731	2
732	2
733	7
734	8
735	1
736	3
737	4
738	7
739	2
740	8
741	5
742	3
743	5
744	7
745	4
746	4
747	6
748	7
749	3
750	6
751	1
752	2
753	1
754	2
756	6
757	7
758	4
759	6
760	1
761	2
762	2
763	2
764	1
765	2
766	3
767	2
768	1
769	3
770	3
771	1
772	3
773	9
775	1
777	3
778	2
780	1
781	6
782	4
783	2
784	4
785	2
786	1
787	2
788	4
789	6
790	1
791	2
792	4
793	1
794	2
796	1
798	3
799	2
800	1
801	1
802	2
803	2
804	1
806	2
807	3
808	3
809	2
810	1
812	1
813	2
814	2
815	1
816	2
817	1
821	2
830	2
831	1
832	1
834	4
835	3
838	2
839	2
840	2
843	3
844	3
847	1
848	1
850	2
851	2
852	1
853	1
858	2
859	1
860	1
866	1
868	1
873	2
874	1
876	2
878	1
881	4
882	1
883	1
884	1
885	1
886	1
887	2
888	3
889	1
893	1
895	1
896	3
898	2
903	1
907	1
913	1
922	2
935	2
937	3
942	1
951	1
963	1
979	1
991	1
994	1
1009	1
1020	1
1027	1
1078	1
1149	2
1161	1
1166	1
1347	1
1414	2
1415	1
1447	1
1470	1
1534	1
1537	1
1565	1
1660	1
1720	2
1846	2
1892	1
1926	2
1977	3
