#Deviation	4.3833	4.6549
#Avg_STDev	7.087
#Diversity	4.523
#Entropy	0.130
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	33.659	21.106	19.610	33.758	21.366	19.070
2	34.166	25.359	21.133	33.863	24.732	21.111
3	35.562	25.919	23.651	35.142	25.431	21.569
4	35.791	26.477	22.440	35.328	25.380	20.858
5	35.820	26.185	22.808	35.494	25.548	22.660
6	36.940	27.058	24.698	36.517	25.721	20.039
7	37.009	26.913	23.209	36.561	25.860	23.049
8	37.094	27.148	23.071	36.655	26.145	21.973
9	37.096	27.274	23.071	36.595	25.885	21.569
10	37.026	26.829	24.900	36.668	26.176	21.666
11	37.054	27.026	23.209	36.732	26.524	23.187
12	37.155	27.763	24.505	36.654	26.122	21.766
13	36.983	26.645	24.143	36.670	26.075	22.660
14	37.031	27.011	24.900	36.583	25.912	22.916
15	37.022	27.063	23.351	36.628	26.039	21.569
16	37.042	27.237	22.808	36.542	26.038	21.289
17	36.901	26.495	22.937	36.521	25.927	21.868
18	37.062	26.959	24.320	36.481	25.948	22.538
19	37.095	27.409	23.498	36.293	25.052	21.973
20	37.044	27.518	23.973	36.412	25.641	21.868
21	37.022	27.362	23.973	36.342	25.184	22.419
22	37.007	27.134	23.809	36.261	24.851	20.777
23	36.971	26.823	22.440	36.355	25.104	20.941
24	36.910	26.707	23.498	36.219	24.736	20.697
25	36.863	26.482	24.320	36.295	25.305	20.619
26	36.786	26.013	24.320	36.300	25.159	20.619
27	36.747	25.904	22.212	36.274	25.082	21.973
28	36.786	26.040	22.937	36.116	24.729	20.858
29	36.607	25.488	21.995	36.145	24.791	19.712
30	36.686	25.739	21.688	36.251	25.219	20.619
31	36.628	25.685	21.310	36.075	24.695	21.199
32	36.335	21.797	19.766	35.992	24.391	20.392
33	36.575	25.470	21.590	36.097	24.753	20.248
34	36.581	25.640	22.808	35.904	24.410	20.542
35	36.520	25.206	22.440	35.906	24.388	20.467
36	36.561	25.382	21.688	35.915	24.217	19.409
37	36.434	24.879	21.220	35.901	24.247	19.588
38	36.502	25.030	21.995	35.870	24.121	19.906
39	36.433	25.050	20.564	35.784	23.983	19.468
40	36.430	25.028	21.890	35.670	23.777	20.177
41	36.431	24.720	21.176	35.731	24.114	19.409
42	36.579	25.575	22.440	35.826	23.957	20.108
43	36.282	24.698	20.880	35.775	24.118	19.588
44	36.325	24.645	21.310	35.531	23.534	19.468
45	36.504	25.448	22.559	35.657	23.943	19.350
46	36.510	25.388	21.995	35.770	24.247	19.409
47	36.469	25.418	21.890	35.710	24.066	19.236
48	36.317	24.642	20.488	35.660	23.948	20.248
49	36.392	25.035	20.962	35.617	23.955	19.468
50	36.382	25.033	21.995	35.718	24.186	19.650
51	36.375	24.896	22.212	35.554	23.885	19.350
52	36.292	24.803	20.719	35.522	23.835	18.858
53	36.477	25.147	21.590	35.505	23.441	19.180
54	36.494	25.349	20.641	35.343	23.441	18.706
55	36.311	24.857	20.962	35.516	23.786	19.650
56	36.253	24.635	20.564	35.207	23.291	19.070
