#Mean	37.798
#Median	37
#Mode	38
#STDev	5.978
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	4
20	0
21	2
22	2
23	6
24	14
25	22
26	41
27	73
28	90
29	149
30	209
31	228
32	332
33	381
34	396
35	437
36	481
37	442
38	495
39	459
40	347
41	346
42	268
43	212
44	193
45	147
46	130
47	109
48	85
49	67
50	58
51	42
52	55
53	48
54	46
55	18
56	12
57	8
58	2
59	2
60	3
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
