#Deviation	4.4458	4.6266
#Avg_STDev	7.036
#Diversity	4.465
#Entropy	0.130
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	33.619	21.318	19.333	33.760	21.465	18.932
2	34.039	24.778	21.441	33.948	24.734	21.237
3	35.611	26.131	22.813	35.123	25.461	21.792
4	35.764	26.315	23.482	35.304	25.258	21.892
5	35.897	26.810	23.630	35.392	25.314	22.428
6	37.086	27.003	24.104	36.507	25.578	22.428
7	37.183	27.352	23.940	36.516	25.680	21.066
8	37.187	27.343	24.451	36.735	26.220	22.428
9	37.219	27.776	23.782	36.465	25.234	21.151
10	37.210	27.684	24.274	36.671	26.059	23.175
11	37.095	26.785	23.630	36.619	26.016	22.786
12	37.226	27.494	23.630	36.619	25.741	22.428
13	37.226	27.491	24.451	36.632	25.988	22.428
14	37.237	27.914	24.636	36.540	25.694	21.892
15	37.219	27.554	23.630	36.542	25.873	22.663
16	37.118	27.340	24.274	36.456	25.407	21.892
17	37.042	26.964	22.126	36.436	25.313	20.983
18	37.045	26.736	24.451	36.337	24.945	21.151
19	36.996	27.010	23.782	36.318	25.271	20.592
20	36.893	26.354	23.482	36.523	25.720	22.663
21	36.975	26.439	23.340	36.498	25.722	22.098
22	37.071	26.980	24.451	36.360	25.255	21.324
23	36.889	26.168	23.340	36.253	24.962	21.151
24	36.926	26.599	23.340	36.227	25.156	20.744
25	37.013	26.670	22.813	36.110	24.876	20.233
26	36.999	26.633	23.940	36.230	25.129	20.823
27	36.881	26.140	22.813	36.142	24.917	21.151
28	36.804	25.993	23.068	36.174	24.884	20.097
29	36.848	26.052	21.441	36.059	24.513	20.744
30	36.739	25.655	22.233	36.065	24.631	20.097
31	36.732	25.766	20.930	35.911	24.201	20.823
32	36.613	22.005	20.058	35.952	24.570	20.592
33	36.783	25.992	21.533	36.060	24.536	20.445
34	36.889	26.327	21.919	36.021	24.630	20.744
35	36.710	25.596	22.456	35.934	24.400	19.593
36	36.738	25.855	21.919	36.093	24.663	21.324
37	36.796	26.239	21.441	35.775	23.929	20.592
38	36.795	26.116	22.572	35.940	24.551	20.373
39	36.760	25.860	23.340	35.875	24.199	20.518
40	36.648	25.809	22.343	35.877	24.259	20.097
41	36.556	25.035	22.233	35.766	24.299	19.901
42	36.661	25.645	21.352	35.757	24.152	19.418
43	36.529	25.267	22.021	35.971	24.402	20.097
44	36.612	25.414	22.233	35.785	24.060	19.653
45	36.572	25.282	21.264	35.674	23.913	19.593
46	36.726	26.060	21.264	35.778	24.138	20.031
47	36.608	25.514	21.352	35.747	23.881	19.418
48	36.516	25.138	21.264	35.640	23.780	18.684
49	36.608	25.599	21.264	35.608	23.965	19.418
50	36.535	25.422	20.850	35.580	23.721	18.831
51	36.589	25.439	22.343	35.468	23.441	19.088
52	36.605	25.360	22.813	35.557	24.009	19.966
53	36.582	25.566	21.441	35.615	23.911	18.881
54	36.504	25.080	22.021	35.296	23.436	19.141
55	36.501	25.173	20.695	35.376	23.472	18.983
56	36.441	24.881	20.695	35.300	23.438	19.035
57	36.373	24.747	19.993	35.191	23.267	18.881
58	36.377	24.614	20.545	35.259	23.442	19.035
59	36.473	25.283	21.819	35.235	23.375	18.183
60	36.394	24.838	20.330	35.123	23.083	18.636
61	36.335	24.945	20.850	35.167	23.313	18.014
62	36.232	24.326	20.472	34.960	22.854	18.056
63	36.292	24.682	20.260	35.002	22.903	17.932
64	36.282	24.718	21.264	35.058	23.073	18.781
65	36.260	24.594	20.472	34.990	22.775	18.495
66	36.276	24.703	20.124	35.029	22.906	18.314
67	36.153	24.242	20.058	35.052	23.135	18.541
68	36.227	24.410	20.058	35.113	23.173	19.305
69	36.281	24.619	20.850	35.064	23.027	17.932
70	36.258	24.730	21.178	34.974	22.833	18.314
71	36.119	24.333	20.124	35.008	22.929	18.183
72	36.353	24.982	21.011	34.931	22.787	18.495
73	36.195	24.392	20.400	34.984	22.838	17.734
74	36.116	24.251	20.192	34.765	22.528	18.541
75	36.100	24.272	20.192	34.738	22.653	17.892
76	35.813	24.414	20.772	34.366	22.894	17.892
77	35.971	24.182	19.865	34.759	23.021	18.449
78	36.047	24.289	20.192	34.785	22.836	18.588
79	36.013	24.090	20.058	35.042	23.061	18.449
80	36.075	24.488	19.503	35.038	22.735	18.588
81	36.061	24.203	19.993	34.987	22.816	18.056
82	36.042	24.232	19.561	34.813	22.488	17.398
83	36.043	24.094	19.680	34.940	22.763	17.657
84	35.981	24.202	20.058	34.872	22.784	17.932
85	35.958	23.911	19.063	35.001	22.930	18.056
86	35.939	23.867	19.277	35.002	22.843	18.140
87	35.926	23.730	18.297	34.841	22.710	17.657
88	35.907	23.858	18.858	34.719	22.570	17.812
89	35.843	23.648	19.169	34.674	22.493	17.120
90	35.927	23.956	18.909	34.448	22.076	17.223
91	35.982	24.102	19.277	34.635	22.288	17.657
92	35.815	23.764	18.663	34.624	22.267	18.098
93	35.899	23.984	19.445	34.715	22.587	17.657
94	35.857	23.747	19.063	34.586	22.361	17.257
95	35.784	23.764	18.210	34.541	22.530	17.434
96	35.906	24.024	19.865	34.590	22.302	17.223
97	35.716	23.563	19.115	34.426	22.234	17.327
98	35.739	23.551	18.297	34.325	22.031	16.796
99	35.814	23.817	18.569	34.344	22.027	17.292
100	35.688	23.444	18.125	34.286	22.003	16.583
101	35.689	23.540	18.001	34.370	22.157	17.021
102	35.734	23.641	18.297	34.197	22.003	16.734
103	35.776	23.713	18.341	34.173	21.942	16.436
104	35.666	23.525	17.879	34.034	21.742	16.703
105	35.607	23.454	18.254	34.072	21.874	16.765
106	35.479	23.039	17.879	33.971	21.749	16.323
107	35.536	23.389	17.840	33.917	21.631	16.158
108	35.449	23.247	17.840	33.919	21.652	16.267
109	35.531	23.299	17.647	33.826	21.561	16.240
110	35.348	23.035	17.462	33.852	21.534	15.896
111	35.258	22.718	17.148	33.580	21.145	15.531
112	35.256	23.010	17.840	33.558	21.256	15.508
113	35.340	23.010	16.886	33.448	21.100	14.963
114	35.424	23.305	17.800	33.376	21.054	15.439
115	35.388	23.184	17.182	33.457	21.070	15.674
116	35.119	22.726	17.609	33.548	21.193	15.698
117	35.090	22.628	16.792	33.498	21.244	15.602
118	35.167	22.711	16.886	33.259	20.814	15.326
119	35.089	22.651	16.886	33.372	21.024	15.747
120	35.029	22.493	17.048	33.242	20.775	15.821
121	34.912	22.259	16.240	32.951	20.447	15.304
122	34.988	22.598	16.551	32.879	20.287	14.842
123	34.977	22.526	16.886	32.806	20.121	15.462
124	34.975	22.439	16.640	32.779	20.087	15.462
125	35.149	22.740	17.015	32.813	19.951	15.004
126	34.962	22.451	16.240	32.739	19.977	14.822
127	34.926	22.383	16.580	32.643	19.700	14.983
128	34.845	22.335	16.640	32.597	19.728	14.628
129	34.789	22.158	16.918	32.434	19.636	14.212
130	34.624	21.867	16.185	32.360	19.572	14.352
131	34.582	21.814	16.493	32.336	19.448	14.802
132	34.515	21.692	15.898	32.092	19.099	14.178
133	34.542	21.665	16.240	32.016	19.172	13.849
134	34.384	21.498	16.295	32.111	19.220	13.945
135	34.440	21.634	15.898	31.792	18.849	13.739
136	34.290	21.316	15.489	31.869	18.944	13.786
137	34.326	21.386	15.558	31.778	18.959	13.647
138	34.239	21.241	15.848	31.513	18.794	13.693
139	34.224	21.201	16.464	31.423	18.673	13.786
140	34.081	21.060	15.677	31.526	18.643	13.558
