#Mean	37.812
#Median	37
#Mode	37
#STDev	6.036
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	4
21	4
22	3
23	10
24	13
25	19
26	38
27	65
28	125
29	133
30	207
31	241
32	329
33	321
34	407
35	422
36	470
37	509
38	455
39	392
40	401
41	311
42	261
43	211
44	192
45	165
46	134
47	97
48	79
49	85
50	54
51	53
52	39
53	41
54	41
55	33
56	10
57	11
58	3
59	4
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
