#Deviation	4.3972	4.5279
#Avg_STDev	7.019
#Diversity	4.451
#Entropy	0.130
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	33.702	21.666	19.482	33.710	20.496	19.060
2	34.224	25.148	20.979	34.056	25.332	21.702
3	35.643	26.116	22.257	35.187	25.760	22.985
4	35.794	26.257	23.141	35.387	25.444	22.596
5	35.916	26.715	22.614	35.404	25.147	22.474
6	36.934	26.788	24.076	36.554	26.026	22.985
7	37.115	27.435	24.438	36.533	25.948	21.909
8	37.112	27.564	24.631	36.646	26.090	22.596
9	37.076	27.324	24.833	36.632	26.153	24.057
10	37.183	27.688	23.741	36.747	26.563	24.057
11	37.091	27.507	23.004	36.757	26.430	23.723
12	37.093	27.256	24.253	36.735	26.413	22.985
13	37.040	27.182	23.431	36.594	25.753	22.126
14	37.103	27.455	24.253	36.546	25.819	22.355
15	37.078	26.990	21.720	36.583	25.741	22.239
16	37.026	27.064	24.438	36.526	25.619	22.474
17	36.976	26.994	24.253	36.588	25.982	21.804
18	37.041	27.258	24.076	36.476	25.731	20.961
19	36.911	26.788	23.741	36.364	25.314	21.504
20	36.975	27.061	23.583	36.450	25.697	21.316
21	37.016	27.275	24.076	36.367	25.115	21.504
22	36.949	26.881	23.583	36.359	25.240	21.702
23	37.033	27.291	26.014	36.315	25.181	21.316
24	36.874	26.494	22.373	36.231	25.076	21.602
25	36.881	26.587	24.631	36.219	24.976	21.047
26	36.953	26.730	23.004	36.278	25.219	22.355
27	36.853	26.292	23.583	36.306	25.371	21.909
28	36.709	25.676	22.614	36.277	25.183	20.877
29	36.736	26.119	23.141	36.039	24.227	20.713
30	36.656	25.621	23.583	36.397	25.524	21.602
31	36.626	25.498	21.720	36.181	24.723	21.135
32	36.369	21.197	19.304	35.975	24.295	19.776
33	36.733	26.007	23.431	36.066	24.685	20.328
34	36.659	25.815	22.257	36.044	24.557	20.555
35	36.632	25.848	22.492	36.030	24.538	20.478
36	36.627	25.785	21.927	36.146	25.137	22.355
37	36.671	25.842	21.823	35.906	24.318	19.524
38	36.504	25.438	21.927	35.923	24.398	20.043
39	36.586	25.449	20.573	35.929	24.227	20.328
40	36.654	25.848	21.927	35.948	24.244	19.463
41	36.603	25.518	21.243	35.810	24.248	20.794
42	36.628	25.799	22.034	35.890	24.318	18.898
43	36.470	25.102	21.720	35.896	24.343	20.713
44	36.499	25.227	22.492	35.676	23.819	20.043
45	36.468	25.135	21.720	35.805	24.296	19.286
46	36.421	25.059	21.427	35.947	24.391	20.183
47	36.490	25.272	22.870	35.700	23.996	20.183
48	36.491	25.256	21.720	35.671	23.825	19.463
49	36.482	25.357	20.812	35.694	24.006	19.841
50	36.547	25.629	21.523	35.560	23.726	20.478
51	36.409	25.346	21.720	35.474	23.835	20.555
52	36.623	25.616	20.651	35.446	23.713	19.228
53	36.494	25.351	21.823	35.461	23.626	19.841
54	36.404	25.007	20.895	35.401	23.524	18.952
55	36.302	24.853	20.895	35.370	23.451	20.328
56	36.308	24.748	21.153	35.181	23.025	18.169
57	36.375	25.007	20.346	35.250	23.141	18.641
58	36.419	25.180	20.573	35.244	23.313	19.776
59	36.355	24.942	21.065	35.209	23.281	18.692
60	36.267	24.745	21.620	35.247	23.475	18.846
61	36.323	24.794	20.131	35.060	23.001	18.214
62	36.434	25.105	21.243	35.234	23.438	19.006
63	36.312	24.845	20.812	34.996	22.847	18.214
64	36.251	24.656	21.523	35.017	22.890	18.037
65	36.225	24.789	20.496	35.223	23.227	19.116
66	36.164	24.589	19.730	35.149	23.048	19.172
67	36.236	24.665	19.860	35.108	23.101	17.951
68	36.179	24.493	19.604	35.012	22.742	17.662
69	36.172	24.696	20.273	35.076	23.085	18.080
70	36.199	24.525	20.346	35.030	23.000	18.037
71	36.101	24.367	20.421	34.903	22.739	17.784
72	36.093	24.333	19.604	34.897	22.723	17.825
73	36.093	24.333	20.062	34.988	22.952	18.742
74	36.097	24.527	19.482	34.836	22.664	18.446
75	36.220	24.590	20.573	35.024	22.893	17.993
76	35.774	24.273	20.131	34.486	22.857	18.124
77	35.966	24.417	19.860	34.853	22.978	17.908
78	35.916	24.154	19.363	34.951	22.981	18.124
79	35.994	24.114	19.024	35.111	23.150	18.692
80	35.904	24.102	19.024	34.958	22.817	18.494
81	35.888	24.011	19.247	34.854	22.681	17.506
82	36.003	24.270	20.131	34.971	22.806	18.846
83	35.940	23.847	19.247	34.900	22.789	18.037
84	35.921	23.820	20.062	35.007	22.825	17.430
85	35.926	23.983	19.247	34.818	22.587	17.544
86	35.752	23.630	19.247	34.853	22.677	18.037
87	35.858	23.988	18.812	34.975	22.909	17.951
88	35.788	23.572	18.864	34.668	22.273	17.866
89	35.776	24.031	19.134	34.832	22.616	17.245
90	35.849	23.897	19.079	34.770	22.633	17.138
91	35.846	23.694	19.024	34.676	22.321	17.544
92	35.805	23.877	19.079	34.662	22.454	17.743
93	35.788	23.806	19.993	34.644	22.403	16.831
94	35.808	23.807	18.970	34.529	22.296	17.245
95	35.781	24.012	18.970	34.438	21.978	16.897
96	35.759	23.886	19.482	34.530	22.288	17.138
97	35.620	23.652	18.278	34.374	22.064	17.173
98	35.661	23.498	18.099	34.446	22.172	16.931
99	35.656	23.444	18.917	34.431	22.125	16.864
100	35.596	23.349	18.232	34.399	22.214	16.897
101	35.571	23.387	17.721	34.398	22.173	17.281
102	35.610	23.473	18.710	34.224	22.040	17.583
103	35.575	23.598	18.417	34.294	22.103	16.701
104	35.515	23.269	18.660	34.182	22.106	16.453
105	35.467	23.049	17.822	34.247	22.147	16.798
106	35.474	23.191	18.864	34.063	21.770	16.161
107	35.399	23.025	18.370	34.046	21.812	16.050
108	35.409	23.166	17.927	33.777	21.348	15.460
109	35.410	23.223	17.927	33.886	21.633	15.707
110	35.257	22.716	17.843	33.790	21.603	16.133
111	35.276	23.030	17.336	33.617	21.329	16.393
112	35.207	22.782	17.524	33.716	21.336	15.809
113	35.376	23.138	17.602	33.602	21.274	15.272
114	35.194	22.866	17.524	33.369	20.802	15.460
115	35.203	23.008	17.969	33.463	21.028	15.388
116	35.164	22.811	17.156	33.421	21.094	15.606
117	35.007	22.538	16.816	33.469	21.060	15.460
118	35.208	23.052	17.448	33.276	20.784	15.048
119	34.949	22.467	17.017	33.269	20.748	15.159
120	35.095	22.753	16.784	33.143	20.592	15.295
121	35.101	22.838	17.227	33.154	20.649	15.732
122	34.893	22.507	16.656	32.905	20.312	15.026
123	34.894	22.541	16.949	33.014	20.348	14.983
124	34.913	22.412	16.656	32.733	20.019	14.496
125	34.930	22.384	17.051	32.606	19.793	14.075
126	34.775	22.093	16.152	32.682	19.761	14.642
127	34.862	22.520	17.051	32.861	19.905	14.298
128	34.711	22.146	16.294	32.681	19.826	14.457
129	34.744	22.244	16.471	32.390	19.412	14.622
130	34.684	22.117	16.265	32.399	19.507	14.593
131	34.508	21.719	15.960	32.168	19.291	14.110
132	34.539	21.897	16.411	32.410	19.528	14.753
133	34.467	21.750	16.265	32.072	19.100	14.118
134	34.320	21.452	16.294	32.059	19.008	13.980
135	34.363	21.663	16.441	31.973	19.076	14.235
136	34.137	21.140	15.751	31.860	19.053	14.262
137	34.022	21.041	16.294	31.836	18.899	13.707
138	34.176	21.322	15.960	31.634	18.674	14.075
139	34.148	21.062	15.933	31.516	18.708	14.198
140	34.098	21.039	16.096	31.676	18.749	14.253
141	33.935	20.863	15.828	31.455	18.649	14.057
142	34.018	21.131	14.937	31.384	18.734	13.581
143	33.884	20.997	15.454	31.423	18.603	13.503
144	33.895	20.931	15.454	31.319	18.571	14.040
145	33.666	20.610	15.132	31.231	18.451	13.368
146	33.743	20.705	15.132	31.074	18.360	13.628
147	33.726	20.749	15.177	31.036	18.302	13.428
148	33.686	20.654	15.725	31.104	18.424	13.659
149	33.752	20.757	15.337	31.020	18.472	13.920
