#Mean	521.086
#Median	511
#Mode	467
#STDev	129.327
#PercentOfPairs	100.000
#InsertSize	Count
88	1
96	1
116	1
129	1
130	2
132	1
135	1
138	1
139	1
140	1
142	1
144	2
145	1
147	1
149	1
151	1
153	1
160	1
164	3
165	1
166	2
168	1
170	2
171	1
174	1
179	2
181	1
185	1
187	1
191	2
196	1
197	5
201	3
203	1
207	1
208	1
209	1
210	1
211	1
216	2
220	1
221	1
222	2
226	1
227	1
228	4
231	1
232	1
233	3
236	1
238	2
239	1
240	3
241	1
242	1
244	3
245	2
247	1
248	2
249	2
250	1
252	2
254	1
255	1
258	2
259	1
261	3
262	2
263	2
264	2
265	1
266	1
267	2
268	1
269	2
270	1
272	3
273	1
274	2
275	1
276	1
277	1
278	1
279	2
280	2
282	1
283	1
285	1
286	2
288	2
289	1
290	2
291	1
292	6
293	2
294	2
295	4
297	4
298	7
299	3
300	4
301	5
302	3
303	3
304	2
305	1
306	6
307	2
309	3
310	2
311	5
312	1
313	6
314	6
316	2
317	3
318	4
319	5
320	5
321	6
322	8
323	4
324	1
325	4
326	6
327	4
328	3
329	4
330	10
331	6
332	5
333	4
334	6
335	3
336	4
337	7
338	5
339	4
340	4
341	3
342	6
343	6
344	2
345	5
346	12
347	8
348	3
349	3
350	3
351	5
352	10
353	2
354	4
355	5
356	7
357	6
358	6
359	6
360	13
361	7
362	10
363	7
364	3
365	8
366	8
367	7
368	13
369	17
370	14
371	9
372	7
373	14
374	6
375	10
376	4
377	11
378	8
379	13
380	8
381	13
382	17
383	14
384	14
385	12
386	11
387	18
388	13
389	13
390	14
391	9
392	10
393	14
394	9
395	6
396	11
397	10
398	20
399	15
400	10
401	16
402	16
403	15
404	18
405	16
406	15
407	12
408	8
409	22
410	13
411	11
412	20
413	17
414	17
415	16
416	17
417	20
418	13
419	19
420	12
421	24
422	17
423	16
424	14
425	12
426	19
427	17
428	14
429	26
430	19
431	16
432	32
433	20
434	16
435	9
436	15
437	18
438	16
439	18
440	18
441	16
442	13
443	24
444	21
445	27
446	23
447	17
448	15
449	25
450	19
451	19
452	14
453	22
454	17
455	30
456	32
457	23
458	19
459	16
460	25
461	23
462	18
463	20
464	22
465	22
466	22
467	44
468	20
469	31
470	24
471	17
472	20
473	23
474	22
475	27
476	22
477	23
478	21
479	17
480	23
481	21
482	32
483	30
484	20
485	34
486	35
487	22
488	28
489	24
490	22
491	15
492	26
493	27
494	30
495	28
496	19
497	30
498	21
499	16
500	18
501	26
502	23
503	31
504	18
505	15
506	25
507	26
508	25
509	16
510	28
511	19
512	17
513	27
514	19
515	15
516	26
517	27
518	21
519	19
520	27
521	24
522	29
523	35
524	18
525	19
526	17
527	20
528	24
529	36
530	26
531	22
532	15
533	25
534	22
535	16
536	27
537	27
538	26
539	27
540	21
541	18
542	21
543	25
544	24
545	17
546	18
547	17
548	22
549	16
550	28
551	27
552	19
553	18
554	14
555	22
556	28
557	16
558	20
559	21
560	26
561	22
562	14
563	15
564	20
565	20
566	11
567	18
568	17
569	14
570	18
571	8
572	12
573	16
574	12
575	18
576	21
577	9
578	20
579	14
580	23
581	14
582	9
583	11
584	16
585	18
586	15
587	6
588	13
589	19
590	17
591	20
592	13
593	29
594	17
595	14
596	15
597	20
598	9
599	13
600	7
601	15
602	7
603	17
604	11
605	16
606	16
607	7
608	24
609	9
610	14
611	16
612	10
613	15
614	21
615	11
616	11
617	10
618	10
619	19
620	14
621	12
622	11
623	18
624	13
625	6
626	12
627	12
628	17
629	17
630	12
631	19
632	12
633	14
634	22
635	12
636	14
637	6
638	18
639	15
640	16
641	9
642	14
643	10
644	9
645	13
646	7
647	8
648	8
649	7
650	11
651	9
652	8
653	13
654	10
655	9
656	8
657	6
658	14
659	6
660	10
661	10
662	6
663	5
664	10
665	12
666	15
667	6
668	11
669	3
670	10
671	7
672	5
673	13
674	6
675	3
676	7
677	3
678	3
679	7
680	8
681	8
682	4
683	4
684	6
685	9
686	7
687	3
688	3
689	6
690	4
691	6
692	6
693	3
694	1
695	10
696	7
697	12
698	11
699	12
700	10
701	4
702	8
703	1
704	11
705	3
706	12
707	8
708	2
709	4
710	5
711	5
712	4
713	7
714	7
715	4
716	4
717	2
718	2
719	4
720	4
721	6
722	6
723	2
724	6
725	7
726	5
727	4
728	8
729	5
730	2
731	1
732	2
733	6
734	2
735	1
737	1
739	4
740	6
741	1
742	5
743	1
744	5
745	7
747	4
748	5
749	2
750	2
751	1
752	3
753	3
754	2
755	3
756	3
757	4
758	1
759	2
760	2
761	1
762	5
763	5
764	2
765	2
766	2
767	5
768	1
769	3
770	2
771	1
772	2
773	4
774	2
775	1
776	3
778	1
779	1
780	1
781	6
782	3
783	2
784	3
785	1
786	2
787	2
789	1
790	1
791	2
792	5
794	5
795	2
797	2
799	2
800	4
802	6
803	3
804	3
805	3
806	1
807	2
808	2
809	1
811	2
813	1
815	3
816	1
817	1
819	1
821	2
822	2
824	1
825	2
826	2
829	2
830	1
831	1
833	4
834	2
840	3
841	5
842	1
843	2
845	1
846	1
852	1
853	4
854	1
855	1
859	1
862	1
866	1
867	3
868	1
873	1
876	2
878	1
880	1
883	1
887	2
888	2
889	1
892	2
896	1
898	1
899	1
903	1
905	2
907	1
909	1
911	1
913	1
915	1
919	1
920	1
930	1
936	1
938	1
948	1
964	1
966	1
967	1
974	1
975	2
985	1
1010	1
1028	1
1122	1
1224	1
1229	1
1248	3
1266	1
1274	1
1314	1
1468	1
1599	1
1673	1
1797	1
1862	1
1951	1
1984	1
