#Mean	37.904
#Median	37
#Mode	39
#STDev	5.965
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	4
21	1
22	4
23	14
24	9
25	19
26	45
27	63
28	89
29	135
30	200
31	245
32	298
33	360
34	353
35	432
36	445
37	483
38	448
39	488
40	387
41	296
42	283
43	224
44	196
45	139
46	139
47	95
48	103
49	80
50	49
51	55
52	38
53	50
54	40
55	21
56	7
57	9
58	5
59	0
60	2
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
