#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1	Match2	Sub2	Del2	Ins2	N2	Other2
1	0.98765	0.00697	0.00000	0.00000	0.00538	0.00000	0.98840	0.00683	0.00000	0.00000	0.00477	0.00000
2	0.99287	0.00697	0.00000	0.00000	0.00016	0.00000	0.99205	0.00779	0.00000	0.00000	0.00016	0.00000
3	0.99382	0.00602	0.00000	0.00000	0.00016	0.00000	0.99396	0.00604	0.00000	0.00000	0.00000	0.00000
4	0.99319	0.00681	0.00016	0.00000	0.00000	0.00000	0.99189	0.00811	0.00000	0.00000	0.00000	0.00000
5	0.99557	0.00443	0.00000	0.00000	0.00000	0.00000	0.99491	0.00509	0.00016	0.00000	0.00000	0.00000
6	0.99652	0.00333	0.00016	0.00016	0.00000	0.00000	0.99507	0.00477	0.00000	0.00016	0.00000	0.00000
7	0.99620	0.00364	0.00000	0.00016	0.00000	0.00000	0.99539	0.00429	0.00000	0.00032	0.00000	0.00000
8	0.99588	0.00396	0.00000	0.00016	0.00000	0.00000	0.99491	0.00493	0.00000	0.00016	0.00000	0.00000
9	0.99604	0.00396	0.00000	0.00000	0.00000	0.00000	0.99348	0.00636	0.00016	0.00016	0.00000	0.00000
10	0.99731	0.00253	0.00000	0.00016	0.00000	0.00000	0.99444	0.00540	0.00000	0.00016	0.00000	0.00000
11	0.99747	0.00238	0.00000	0.00016	0.00000	0.00000	0.99428	0.00540	0.00000	0.00032	0.00000	0.00000
12	0.99572	0.00428	0.00032	0.00000	0.00000	0.00000	0.99444	0.00524	0.00000	0.00032	0.00000	0.00000
13	0.99699	0.00285	0.00000	0.00016	0.00000	0.00000	0.99396	0.00556	0.00032	0.00032	0.00016	0.00000
14	0.99683	0.00301	0.00016	0.00016	0.00000	0.00000	0.99364	0.00604	0.00000	0.00032	0.00000	0.00000
15	0.99604	0.00380	0.00000	0.00016	0.00000	0.00000	0.99237	0.00747	0.00000	0.00016	0.00000	0.00000
