#Mean	37.779
#Median	37
#Mode	37
#STDev	5.712
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	1
20	1
21	0
22	7
23	4
24	9
25	12
26	41
27	58
28	97
29	130
30	200
31	258
32	293
33	357
34	400
35	419
36	445
37	524
38	513
39	440
40	388
41	316
42	297
43	222
44	189
45	150
46	145
47	104
48	78
49	66
50	56
51	35
52	50
53	31
54	25
55	16
56	10
57	6
58	1
59	2
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
