#Deviation	4.2504	4.5227
#Avg_STDev	6.957
#Diversity	4.384
#Entropy	0.130
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	33.737	21.735	20.895	33.757	21.091	18.961
2	34.119	25.442	22.365	33.961	25.068	21.282
3	35.679	26.321	24.311	35.107	25.339	21.782
4	35.874	26.802	24.504	35.296	25.272	21.677
5	36.074	27.467	23.015	35.509	25.693	22.228
6	37.128	27.500	24.918	36.651	26.312	21.677
7	37.234	27.892	26.167	36.655	26.103	21.575
8	37.090	27.462	24.918	36.691	26.209	21.378
9	37.137	27.881	24.504	36.586	25.600	22.595
10	37.113	27.406	23.949	36.776	26.553	23.438
11	37.190	27.232	24.706	36.793	26.515	22.228
12	37.193	27.746	24.706	36.695	26.140	22.469
13	37.128	27.079	25.141	36.627	25.667	22.595
14	37.165	27.782	26.789	36.669	26.120	21.677
15	37.118	27.264	23.778	36.509	25.534	21.575
16	37.168	27.704	25.887	36.580	26.150	21.999
17	37.159	27.786	23.457	36.608	25.931	21.677
18	37.049	27.160	23.304	36.506	25.573	23.930
19	37.149	27.181	23.949	36.371	25.360	21.575
20	37.035	27.039	24.311	36.514	25.833	22.469
21	37.042	27.127	23.778	36.513	25.538	21.782
22	37.002	27.098	23.457	36.397	25.321	21.677
23	36.967	26.954	23.949	36.560	25.938	21.097
24	37.034	27.373	24.311	36.333	25.420	20.667
25	36.970	26.918	23.157	36.196	25.142	21.889
26	36.897	26.433	22.877	36.286	25.062	21.475
27	36.946	26.788	23.157	36.195	24.807	21.677
28	36.881	26.487	23.157	36.125	24.715	21.889
29	36.791	25.995	22.613	36.170	24.840	19.521
30	36.803	26.377	25.141	36.192	24.854	21.097
31	36.747	25.850	22.613	36.085	24.682	21.889
32	36.485	21.604	20.111	36.024	24.545	19.781
33	36.718	25.619	22.743	35.923	24.382	20.586
34	36.729	25.928	21.696	35.957	24.398	21.378
35	36.691	25.518	21.494	35.977	24.623	20.351
36	36.726	25.869	23.304	35.978	24.525	21.189
37	36.771	25.807	21.696	35.906	24.308	21.008
38	36.634	25.451	21.396	35.870	24.098	19.649
39	36.639	25.814	22.246	35.948	24.219	20.667
40	36.539	25.192	22.130	35.976	24.500	20.057
41	36.695	25.477	22.809	36.012	24.576	19.337
42	36.502	25.390	21.908	35.878	24.342	20.834
43	36.572	25.556	22.017	35.794	23.992	19.585
44	36.620	25.524	23.614	35.802	24.247	20.586
45	36.647	25.661	21.696	35.728	23.816	19.714
46	36.622	25.557	23.157	35.791	23.905	20.057
47	36.589	25.516	22.130	35.736	23.970	19.159
48	36.600	25.790	22.130	35.699	24.001	18.719
49	36.623	25.503	21.696	35.662	23.979	20.201
50	36.492	25.412	22.613	35.634	23.913	19.848
51	36.487	25.324	21.696	35.515	23.920	20.506
52	36.494	25.448	22.246	35.535	23.755	18.772
53	36.424	24.884	20.852	35.607	24.055	20.506
54	36.430	25.049	20.938	35.492	23.609	19.397
55	36.384	24.832	21.207	35.372	23.464	19.714
56	36.366	24.944	21.696	35.435	23.648	19.521
57	36.529	25.637	21.800	35.267	23.392	18.825
58	36.439	25.091	20.685	35.280	23.331	18.719
59	36.426	25.142	20.852	35.276	23.387	18.825
60	36.254	24.600	20.524	35.201	23.071	18.667
61	36.269	24.664	21.593	35.027	22.841	18.465
62	36.301	24.595	20.852	35.215	23.316	18.667
63	36.373	25.127	21.696	35.172	23.064	18.272
64	36.377	25.053	20.604	35.141	23.006	18.319
65	36.196	24.691	20.446	35.303	23.386	18.719
66	36.343	24.881	20.938	35.262	23.308	18.879
67	36.213	24.535	20.852	35.275	23.315	19.397
68	36.235	24.390	20.004	35.114	23.021	18.989
69	36.216	24.604	20.075	35.000	22.797	17.867
70	36.230	24.777	21.207	35.197	23.422	18.934
71	36.250	24.702	20.685	35.007	22.900	19.159
72	36.126	24.428	19.733	35.114	23.314	18.087
73	36.209	24.482	21.116	34.959	23.026	18.515
74	36.285	25.052	20.938	35.073	23.041	18.272
75	36.148	24.475	20.147	34.818	22.722	17.457
76	35.846	24.528	20.446	34.548	23.098	18.667
77	36.098	24.603	20.147	34.893	23.145	18.319
78	36.097	24.207	20.294	34.942	22.840	18.319
79	36.064	24.194	20.294	35.088	23.095	18.825
80	36.150	24.541	19.866	35.051	23.078	18.042
81	36.074	24.146	20.147	35.199	23.183	18.133
82	35.979	24.029	19.416	35.014	22.996	18.825
83	35.964	24.138	19.799	34.985	22.889	17.910
84	36.101	24.496	20.004	35.016	22.899	17.616
85	35.937	24.193	19.236	34.957	22.953	17.740
86	36.060	24.231	18.634	34.999	22.943	17.954
87	35.980	23.855	18.843	35.000	22.830	18.367
88	35.946	24.053	19.355	34.875	22.645	17.657
89	35.927	24.091	19.866	34.925	22.690	18.042
90	35.954	24.150	18.685	34.785	22.454	18.133
91	35.869	23.858	18.685	34.679	22.379	17.379
92	35.750	23.647	19.178	34.598	22.150	17.228
93	35.814	23.821	19.007	34.674	22.479	17.824
94	35.820	23.879	19.295	34.748	22.598	17.867
95	35.865	23.979	18.533	34.704	22.592	17.418
96	35.803	23.940	19.236	34.626	22.532	18.133
97	35.908	24.017	18.790	34.566	22.299	16.574
98	35.936	24.217	19.063	34.370	22.007	16.941
99	35.770	23.868	18.583	34.381	21.974	17.457
100	35.611	23.390	18.897	34.555	22.343	17.457
101	35.652	23.424	17.972	34.505	22.345	17.154
102	35.601	23.487	19.667	34.430	22.192	17.046
103	35.660	23.714	18.583	34.356	22.078	16.511
104	35.566	23.350	17.842	34.244	22.083	16.091
105	35.556	23.394	18.634	34.173	22.058	17.576
106	35.622	23.653	17.928	34.171	22.048	17.011
107	35.438	23.049	18.060	34.105	21.822	17.228
108	35.532	23.298	17.716	33.965	21.668	15.951
109	35.558	23.385	17.972	33.873	21.594	16.574
110	35.449	23.299	17.397	33.737	21.296	15.951
111	35.406	23.101	18.197	33.733	21.372	16.543
112	35.447	23.199	17.928	33.746	21.462	16.149
113	35.396	23.059	17.716	33.666	21.192	15.406
114	35.297	23.028	17.065	33.600	21.234	15.761
115	35.159	22.799	17.359	33.455	21.121	15.683
116	35.176	22.927	16.856	33.281	20.925	15.406
117	35.230	23.139	18.290	33.267	20.828	15.605
118	35.030	22.623	17.136	33.462	20.985	15.504
119	35.070	22.693	16.755	33.281	20.963	15.709
120	35.233	23.142	17.716	33.085	20.834	15.309
121	35.272	23.114	17.284	33.093	20.532	15.555
122	35.250	23.057	17.514	33.053	20.414	15.455
123	35.022	22.668	17.284	32.994	20.342	15.054
124	35.055	22.634	16.722	32.909	20.203	15.100
125	35.063	22.829	17.173	32.759	19.977	14.388
126	34.931	22.500	16.924	32.766	19.996	14.667
127	34.903	22.465	16.959	32.693	19.793	15.580
128	34.731	22.054	15.942	32.529	19.794	14.856
129	34.710	22.123	16.498	32.509	19.691	14.878
130	34.866	22.383	16.467	32.522	19.798	14.921
131	34.581	21.740	16.856	32.402	19.575	14.505
132	34.666	21.997	16.344	32.163	19.158	14.054
133	34.699	21.988	16.467	32.163	19.423	14.667
134	34.578	21.681	16.375	32.238	19.335	14.312
135	34.386	21.460	15.833	32.058	19.068	14.126
136	34.379	21.430	15.624	32.016	19.148	14.331
137	34.447	21.683	16.196	31.921	19.133	14.312
138	34.274	21.447	16.255	31.765	18.922	13.913
139	34.431	21.632	16.138	31.658	18.829	14.108
140	34.308	21.412	16.110	31.703	18.919	14.525
141	34.127	20.990	15.523	31.427	18.778	13.811
142	34.134	21.171	16.053	31.524	18.826	13.827
143	34.112	21.157	15.969	31.693	18.968	13.794
144	33.863	20.812	15.701	31.568	18.852	14.001
145	33.839	20.758	15.448	31.425	18.765	13.930
146	33.846	20.806	16.081	31.275	18.639	13.645
147	33.707	20.709	15.304	31.190	18.540	13.580
148	33.709	20.753	15.914	31.057	18.174	13.139
149	33.669	20.684	15.649	31.077	18.494	13.661
150	33.555	20.468	15.351	30.994	18.325	13.556
151	31.896	19.147	13.846	29.497	17.283	11.938
