#Mean	37.707
#Median	37
#Mode	36
#STDev	5.877
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	1
20	1
21	3
22	4
23	12
24	19
25	25
26	35
27	62
28	85
29	161
30	194
31	275
32	276
33	374
34	386
35	417
36	492
37	488
38	485
39	448
40	389
41	284
42	244
43	234
44	178
45	167
46	131
47	109
48	85
49	74
50	54
51	40
52	50
53	31
54	31
55	22
56	6
57	7
58	4
59	1
60	0
61	1
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
