#Mean	37.915
#Median	37
#Mode	37
#STDev	6.056
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	2
20	0
21	0
22	4
23	9
24	17
25	20
26	42
27	59
28	120
29	158
30	180
31	267
32	318
33	366
34	365
35	443
36	412
37	499
38	450
39	444
40	373
41	293
42	272
43	238
44	215
45	169
46	146
47	116
48	104
49	73
50	61
51	60
52	39
53	43
54	37
55	24
56	17
57	9
58	2
59	0
60	0
61	1
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
