Frequency	Allele
85	1
85	2
85	3
85	4
85	5
85	6
86	7
84	8
85	9
84	10
84	11
84	12
86	13
84	14
85	15
84	16
85	17
85	18
85	19
86	20
86	21
86	22
86	23
85	24
84	26
85	27
85	28
85	29
85	30
22	31
85	32
85	33
84	34
85	35
86	36
86	37
86	38
60	39
86	40
85	41
85	42
85	43
85	44
78	45
85	46
85	47
85	48
85	49
85	50
85	51
84	52
84	53
83	54
85	55
81	56
85	57
84	58
85	59
85	60
85	61
85	62
85	63
85	64
85	65
85	66
85	67
85	68
85	69
85	70
79	71
85	72
85	73
85	74
85	75
85	76
86	77
85	78
85	79
86	80
84	81
85	82
86	83
85	84
85	85
