Frequency	Allele
81	1
85	2
64	3
75	4
82	5
82	6
86	7
37	8
85	9
80	10
2	11
3	12
85	13
82	14
65	15
41	16
83	17
55	18
82	19
85	20
3	21
86	22
86	23
80	24
82	26
77	27
44	28
84	29
83	30
82	31
73	32
82	33
69	34
82	35
85	36
86	37
85	38
59	39
83	40
82	41
83	42
29	43
82	44
81	45
85	46
64	47
85	48
86	49
83	50
81	51
2	52
80	53
81	54
81	55
67	56
77	57
2	58
70	59
78	60
19	61
2	62
84	63
83	64
76	65
77	66
2	67
18	68
83	69
78	70
62	71
84	72
85	73
82	74
82	75
2	76
55	77
69	78
77	79
67	80
83	81
84	82
86	83
77	84
82	85
