Frequency	Allele
70	1
68	2
72	3
61	4
65	5
72	6
47	7
67	8
57	9
40	10
66	11
59	12
72	13
66	14
68	15
52	16
42	17
55	18
39	19
38	20
37	21
36	22
54	23
69	24
52	26
38	27
53	28
59	29
50	30
57	31
37	32
69	33
32	34
72	35
38	36
47	37
48	38
67	39
38	40
31	41
64	42
66	43
67	44
63	45
47	46
40	47
34	48
26	49
46	50
26	51
2	52
23	53
28	54
48	55
33	56
17	57
23	58
24	59
21	60
51	61
18	62
17	63
16	64
14	65
37	66
20	67
3	68
12	69
11	70
30	71
