#Mean	37.777
#Median	37
#Mode	37
#STDev	5.942
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	1
19	7
20	4
21	15
22	24
23	35
24	73
25	124
26	244
27	347
28	633
29	930
30	1273
31	1563
32	1856
33	2122
34	2313
35	2599
36	2871
37	2898
38	2785
39	2643
40	2329
41	1828
42	1646
43	1325
44	1134
45	878
46	804
47	705
48	514
49	430
50	339
51	291
52	277
53	240
54	198
55	117
56	75
57	67
58	17
59	8
60	2
61	4
62	1
63	2
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
