#Deviation	4.4849	4.7922
#Avg_STDev	7.073
#Diversity	4.505
#Entropy	0.109
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	33.665	21.733	19.738	33.709	20.967	18.730
2	34.197	25.452	21.494	33.816	24.531	20.891
3	35.612	26.161	21.971	35.073	25.415	21.846
4	35.712	26.076	22.649	35.320	25.189	21.350
5	35.866	26.443	23.416	35.507	25.636	21.428
6	37.035	27.036	23.367	36.524	25.838	22.168
7	37.076	27.213	23.996	36.509	25.711	21.711
8	37.096	27.124	24.110	36.641	25.988	22.516
9	37.123	27.344	24.665	36.564	25.788	21.547
10	37.120	27.351	23.696	36.652	26.036	22.113
11	37.112	27.207	23.441	36.699	26.147	22.168
12	37.118	27.396	23.670	36.700	26.137	21.864
13	37.086	27.171	23.776	36.585	25.718	21.898
14	37.089	27.248	23.516	36.557	25.683	21.420
15	37.084	27.253	23.968	36.564	25.769	22.339
16	37.057	27.109	24.536	36.543	25.862	21.677
17	37.017	26.904	23.996	36.526	25.741	21.579
18	37.008	26.973	24.472	36.497	25.609	21.644
19	36.978	26.839	23.912	36.393	25.598	21.251
20	36.984	26.841	23.367	36.386	25.322	21.694
21	36.991	26.900	23.567	36.435	25.512	20.933
22	36.959	26.858	23.857	36.384	25.280	21.251
23	36.948	26.711	23.491	36.345	25.310	21.192
24	36.905	26.607	23.270	36.256	25.161	20.864
25	36.922	26.744	23.084	36.153	24.833	20.178
26	36.858	26.266	22.160	36.204	24.910	20.954
27	36.773	26.053	22.649	36.219	25.023	20.809
28	36.761	25.990	22.142	36.221	25.064	20.322
29	36.711	25.752	21.962	36.166	24.856	20.933
30	36.726	25.956	22.160	36.130	24.779	20.202
31	36.658	25.603	21.541	36.072	24.684	20.297
32	36.477	22.032	20.230	36.011	24.568	19.972
33	36.661	25.663	21.857	36.082	24.723	20.482
34	36.650	25.677	22.142	35.922	24.371	20.383
35	36.626	25.679	21.622	35.887	24.336	20.214
36	36.652	25.692	21.622	35.974	24.514	20.809
37	36.597	25.475	21.478	35.892	24.301	19.670
38	36.581	25.311	21.078	35.903	24.365	19.961
39	36.559	25.386	21.622	35.892	24.251	19.928
40	36.616	25.521	21.431	35.822	24.191	19.786
41	36.562	25.224	21.462	35.788	24.058	19.531
42	36.521	25.383	20.943	35.776	24.056	19.587
43	36.523	25.269	21.857	35.829	24.191	19.972
44	36.517	25.216	21.857	35.691	23.864	19.496
45	36.517	25.264	21.462	35.730	23.997	19.516
46	36.500	25.166	21.525	35.743	24.093	19.309
47	36.518	25.235	21.323	35.726	24.001	19.167
48	36.494	25.174	21.307	35.664	23.900	19.426
49	36.451	25.150	21.262	35.655	23.877	19.357
50	36.461	25.124	21.277	35.590	23.720	19.426
51	36.486	25.194	21.202	35.476	23.565	18.914
52	36.432	25.002	20.916	35.441	23.503	18.884
53	36.433	25.012	21.232	35.495	23.626	19.153
54	36.389	24.910	20.493	35.403	23.548	19.084
55	36.417	25.003	20.902	35.371	23.471	19.012
56	36.306	24.783	20.712	35.259	23.239	18.651
57	36.353	24.925	20.833	35.207	23.242	18.294
58	36.325	24.808	20.929	35.216	23.328	18.618
59	36.348	24.891	20.699	35.087	23.052	18.137
60	36.305	24.765	20.902	35.024	22.913	17.989
61	36.247	24.621	20.634	35.074	23.058	18.208
62	36.295	24.743	20.660	35.055	23.077	17.826
63	36.244	24.578	20.518	35.086	23.144	18.394
64	36.229	24.561	20.260	35.068	23.079	18.457
65	36.182	24.518	20.406	35.131	23.125	18.504
66	36.160	24.546	20.189	35.038	22.963	18.473
67	36.179	24.584	20.673	35.066	23.015	18.287
68	36.189	24.445	20.096	35.094	23.051	18.093
69	36.182	24.556	20.119	35.026	22.944	18.101
70	36.135	24.367	19.960	35.037	23.004	18.079
71	36.119	24.424	20.260	34.963	22.830	18.355
72	36.110	24.335	20.166	34.945	22.876	18.145
73	36.134	24.365	19.840	34.998	22.928	17.672
74	35.999	24.023	19.132	34.910	22.808	18.057
75	36.018	24.110	19.670	34.902	22.824	17.751
76	35.763	24.227	19.701	34.439	22.863	18.079
77	35.894	24.088	19.972	34.776	22.898	18.036
78	35.982	24.193	19.339	34.945	22.962	18.204
79	35.958	24.029	19.670	34.999	22.964	18.222
80	35.998	24.075	19.526	34.988	22.890	18.079
81	35.929	23.945	19.281	34.981	22.890	18.075
82	35.969	24.059	19.437	34.881	22.692	17.626
83	35.947	23.995	19.113	34.890	22.737	17.593
84	35.974	24.013	19.526	34.920	22.817	17.580
85	35.907	24.006	19.095	34.841	22.580	17.567
86	35.906	23.945	19.417	34.819	22.591	17.485
87	35.827	23.630	18.817	34.769	22.599	17.685
88	35.865	23.920	19.159	34.721	22.520	17.269
89	35.800	23.734	18.890	34.626	22.286	17.168
90	35.777	23.656	18.934	34.615	22.374	17.209
91	35.771	23.611	19.014	34.606	22.261	17.061
92	35.806	23.742	18.636	34.630	22.410	17.055
93	35.769	23.693	18.749	34.571	22.294	17.030
94	35.734	23.615	18.463	34.491	22.211	17.064
95	35.673	23.455	18.483	34.469	22.213	17.035
96	35.679	23.588	18.460	34.432	22.142	16.654
97	35.689	23.561	18.428	34.395	22.078	16.587
98	35.687	23.424	18.385	34.330	22.006	16.582
99	35.671	23.521	18.428	34.291	21.982	16.445
100	35.525	23.126	18.014	34.272	21.999	16.738
101	35.588	23.390	18.267	34.246	21.962	16.628
102	35.574	23.420	18.274	34.217	21.927	16.455
103	35.512	23.282	18.133	34.131	21.844	16.367
104	35.501	23.150	18.170	34.108	21.783	16.275
105	35.513	23.232	17.979	33.939	21.583	16.371
106	35.461	23.163	17.878	33.942	21.608	16.308
107	35.416	23.202	17.912	33.933	21.604	16.092
108	35.426	23.165	17.662	33.850	21.525	16.029
109	35.417	23.135	17.591	33.812	21.485	15.703
110	35.298	22.889	17.389	33.723	21.415	16.020
111	35.299	22.964	17.514	33.664	21.291	15.826
112	35.268	22.916	17.395	33.663	21.313	15.661
113	35.282	22.940	17.298	33.581	21.231	15.665
114	35.229	22.832	17.371	33.406	21.001	15.403
115	35.209	22.848	17.470	33.465	21.064	15.364
116	35.018	22.552	17.012	33.345	20.897	15.025
117	34.990	22.461	16.895	33.250	20.816	15.237
118	34.998	22.540	17.012	33.205	20.714	14.888
119	34.966	22.450	16.989	33.197	20.697	15.295
120	35.016	22.500	16.744	33.160	20.609	15.190
121	35.015	22.592	17.092	32.986	20.413	14.972
122	34.972	22.550	17.034	32.967	20.392	14.751
123	34.940	22.453	16.639	32.884	20.212	14.923
124	34.929	22.455	16.775	32.822	20.091	14.763
125	34.932	22.495	17.144	32.746	19.966	14.675
126	34.789	22.247	16.567	32.711	19.936	14.586
127	34.680	22.058	16.623	32.611	19.812	14.721
128	34.725	22.080	16.496	32.561	19.747	14.470
129	34.677	22.046	16.562	32.408	19.554	14.519
130	34.589	21.839	16.421	32.272	19.370	14.358
131	34.521	21.764	15.977	32.209	19.276	14.205
132	34.472	21.658	16.382	32.133	19.213	14.215
133	34.495	21.677	16.257	32.104	19.227	14.210
134	34.413	21.578	16.053	32.083	19.158	14.071
135	34.234	21.304	15.734	31.916	19.032	14.065
136	34.254	21.375	15.781	31.860	18.953	13.884
137	34.200	21.287	15.867	31.774	18.942	13.971
138	34.141	21.152	15.672	31.658	18.791	13.771
139	34.145	21.159	16.008	31.457	18.678	13.727
140	34.113	21.079	15.937	31.571	18.769	13.679
141	34.018	20.991	15.529	31.411	18.607	13.757
142	34.001	21.033	15.329	31.390	18.649	13.560
143	33.859	20.765	15.525	31.302	18.646	13.715
144	33.782	20.740	15.555	31.239	18.545	13.457
145	33.761	20.689	15.497	31.158	18.479	13.424
146	33.721	20.703	15.344	31.053	18.376	13.451
147	33.684	20.605	15.272	31.022	18.385	13.445
148	33.746	20.766	15.525	30.945	18.333	13.299
149	33.661	20.646	15.226	30.830	18.265	13.215
150	33.548	20.523	15.327	30.801	18.229	13.204
151	31.845	19.133	13.709	29.191	17.161	12.009
