#Deviation	4.2801	4.5447
#Avg_STDev	6.941
#Diversity	4.362
#Entropy	0.107
#BaseNum	Read1_linear	Read1_log	Read1_measured	Read2_linear	Read2_log	Read2_measured
1	33.771	21.971	19.937	33.803	21.313	18.797
2	34.268	25.775	22.300	33.915	24.698	20.989
3	35.652	26.376	22.668	35.123	25.663	22.556
4	35.855	26.582	23.477	35.380	25.415	21.571
5	35.950	26.889	23.269	35.527	25.676	21.736
6	37.085	27.234	24.080	36.486	25.803	22.329
7	37.183	27.785	24.730	36.525	25.844	22.476
8	37.191	27.641	23.365	36.670	26.134	23.119
9	37.243	27.979	24.167	36.619	25.940	22.058
10	37.204	27.592	24.138	36.655	26.051	22.576
11	37.206	27.475	23.966	36.702	26.127	22.476
12	37.166	27.415	24.256	36.709	26.200	22.807
13	37.154	27.399	24.582	36.650	26.007	22.536
14	37.130	27.279	23.540	36.655	26.043	22.850
15	37.159	27.526	24.664	36.611	25.931	22.516
16	37.103	27.288	24.109	36.605	26.001	22.397
17	37.150	27.513	24.502	36.584	25.895	22.040
18	37.099	27.223	23.856	36.462	25.572	21.435
19	37.077	27.161	24.226	36.459	25.727	21.969
20	37.031	27.046	25.078	36.460	25.706	22.131
21	37.063	27.178	24.051	36.474	25.602	21.951
22	37.030	27.011	23.617	36.414	25.427	21.435
23	37.044	27.059	23.966	36.388	25.531	21.846
24	36.995	26.992	23.591	36.280	25.134	20.961
25	36.999	27.071	23.591	36.220	25.070	21.104
26	36.895	26.386	23.293	36.308	25.251	21.358
27	36.869	26.267	22.903	36.282	25.231	21.342
28	36.831	26.194	22.925	36.275	25.180	21.563
29	36.834	26.336	22.525	36.201	25.033	20.768
30	36.783	26.072	22.881	36.196	24.991	20.947
31	36.770	25.919	21.276	36.142	24.870	21.251
32	36.617	22.355	20.561	36.068	24.578	20.629
33	36.765	26.032	22.773	36.172	24.924	21.133
34	36.775	25.995	22.648	36.066	24.697	20.420
35	36.789	26.090	22.689	35.942	24.484	20.809
36	36.754	26.028	22.606	36.034	24.653	20.469
37	36.761	26.092	22.290	36.001	24.645	20.715
38	36.733	25.863	22.059	36.054	24.725	20.469
39	36.705	25.755	22.329	35.990	24.539	20.297
40	36.688	25.809	22.406	35.941	24.477	19.883
41	36.652	25.401	22.679	35.816	24.143	19.840
42	36.670	25.738	21.890	35.836	24.180	20.062
43	36.636	25.683	22.196	35.907	24.330	20.108
44	36.630	25.609	21.787	35.767	24.134	20.017
45	36.624	25.546	22.068	35.779	24.068	19.701
46	36.617	25.561	22.050	35.722	24.040	19.465
47	36.585	25.515	21.605	35.738	24.056	19.475
48	36.542	25.294	21.605	35.675	24.003	19.690
49	36.586	25.473	21.720	35.666	23.955	19.743
50	36.556	25.381	21.770	35.627	23.924	19.638
51	36.587	25.602	21.908	35.510	23.664	19.256
52	36.504	25.238	21.321	35.486	23.669	19.219
53	36.554	25.363	21.508	35.512	23.650	19.680
54	36.475	25.189	21.890	35.486	23.643	19.167
55	36.439	25.090	21.540	35.433	23.582	19.299
56	36.442	25.062	21.070	35.303	23.348	19.214
57	36.432	25.088	20.859	35.306	23.399	19.039
58	36.455	25.077	21.367	35.282	23.453	19.039
59	36.467	25.220	21.461	35.228	23.268	18.692
60	36.405	25.052	21.461	35.174	23.204	18.626
61	36.387	24.984	20.998	35.172	23.267	18.585
62	36.416	25.084	21.246	35.112	23.060	18.585
63	36.393	24.918	21.246	35.206	23.349	19.149
64	36.337	24.822	20.685	35.246	23.359	18.785
65	36.251	24.640	20.764	35.207	23.235	18.544
66	36.326	24.858	20.805	35.198	23.202	18.802
67	36.323	24.815	21.414	35.159	23.183	18.609
68	36.266	24.669	21.231	35.115	23.092	18.516
69	36.228	24.535	20.479	35.132	23.132	19.034
70	36.231	24.658	20.764	35.109	23.099	18.512
71	36.258	24.711	20.542	35.060	22.990	18.211
72	36.234	24.647	20.271	35.022	22.963	18.101
73	36.206	24.559	20.404	34.964	22.881	18.122
74	36.179	24.487	20.021	34.964	22.941	18.204
75	36.179	24.529	19.915	34.955	22.817	18.018
