#BaseNum	Match1	Sub1	Del1	Ins1	N1	Other1	Match2	Sub2	Del2	Ins2	N2	Other2
1	0.98895	0.00676	0.00000	0.00000	0.00429	0.00000	0.98380	0.01015	0.00000	0.00000	0.00605	0.00000
2	0.99423	0.00569	0.00000	0.00000	0.00008	0.00000	0.99246	0.00741	0.00000	0.00000	0.00013	0.00000
3	0.99444	0.00543	0.00000	0.00008	0.00005	0.00000	0.99322	0.00678	0.00000	0.00000	0.00000	0.00000
4	0.99407	0.00588	0.00000	0.00005	0.00000	0.00000	0.99306	0.00691	0.00003	0.00003	0.00000	0.00000
5	0.99529	0.00458	0.00000	0.00013	0.00000	0.00000	0.99298	0.00683	0.00016	0.00016	0.00003	0.00000
6	0.99581	0.00408	0.00021	0.00010	0.00000	0.00000	0.99416	0.00563	0.00005	0.00021	0.00000	0.00000
7	0.99519	0.00473	0.00005	0.00008	0.00000	0.00000	0.99351	0.00629	0.00013	0.00021	0.00000	0.00000
8	0.99652	0.00338	0.00003	0.00010	0.00000	0.00000	0.99437	0.00537	0.00013	0.00026	0.00000	0.00000
9	0.99644	0.00354	0.00008	0.00003	0.00000	0.00000	0.99387	0.00592	0.00016	0.00018	0.00003	0.00000
10	0.99636	0.00354	0.00005	0.00010	0.00000	0.00000	0.99392	0.00597	0.00008	0.00008	0.00003	0.00000
11	0.99605	0.00372	0.00005	0.00023	0.00000	0.00000	0.99403	0.00579	0.00003	0.00016	0.00003	0.00000
12	0.99602	0.00374	0.00005	0.00023	0.00000	0.00000	0.99437	0.00556	0.00000	0.00008	0.00000	0.00000
13	0.99561	0.00416	0.00003	0.00013	0.00010	0.00000	0.99351	0.00636	0.00003	0.00010	0.00003	0.00000
14	0.99563	0.00408	0.00008	0.00023	0.00005	0.00000	0.99463	0.00516	0.00016	0.00018	0.00003	0.00000
15	0.99615	0.00356	0.00008	0.00029	0.00000	0.00000	0.99442	0.00540	0.00005	0.00018	0.00000	0.00000
16	0.99579	0.00403	0.00013	0.00018	0.00000	0.00000	0.99345	0.00639	0.00008	0.00013	0.00003	0.00000
17	0.99626	0.00359	0.00003	0.00016	0.00000	0.00000	0.99254	0.00725	0.00008	0.00021	0.00000	0.00000
18	0.99576	0.00408	0.00010	0.00016	0.00000	0.00000	0.99259	0.00717	0.00005	0.00023	0.00000	0.00000
19	0.99662	0.00325	0.00010	0.00013	0.00000	0.00000	0.99311	0.00662	0.00013	0.00023	0.00003	0.00000
20	0.99613	0.00372	0.00010	0.00016	0.00000	0.00000	0.99369	0.00610	0.00008	0.00021	0.00000	0.00000
21	0.99633	0.00348	0.00013	0.00018	0.00000	0.00000	0.99291	0.00694	0.00008	0.00016	0.00000	0.00000
22	0.99618	0.00374	0.00003	0.00008	0.00000	0.00000	0.99249	0.00735	0.00008	0.00016	0.00000	0.00000
23	0.99589	0.00398	0.00000	0.00013	0.00000	0.00000	0.99259	0.00720	0.00008	0.00018	0.00003	0.00000
24	0.99571	0.00411	0.00008	0.00018	0.00000	0.00000	0.99210	0.00759	0.00016	0.00029	0.00003	0.00000
25	0.99579	0.00403	0.00008	0.00018	0.00000	0.00000	0.99197	0.00780	0.00008	0.00023	0.00000	0.00000
26	0.99571	0.00413	0.00008	0.00016	0.00000	0.00000	0.99327	0.00660	0.00003	0.00010	0.00003	0.00000
