#Mean	37.853
#Median	37
#Mode	37
#STDev	5.942
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	1
20	2
21	12
22	28
23	52
24	74
25	132
26	228
27	364
28	615
29	898
30	1267
31	1564
32	1842
33	2090
34	2299
35	2633
36	2695
37	2992
38	2925
39	2681
40	2315
41	1917
42	1628
43	1387
44	1159
45	969
46	814
47	679
48	566
49	442
50	414
51	310
52	264
53	187
54	183
55	135
56	86
57	49
58	24
59	13
60	8
61	1
62	1
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
