#Mean	37.832
#Median	37
#Mode	37
#STDev	5.948
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	4
20	4
21	12
22	15
23	47
24	76
25	117
26	232
27	397
28	613
29	929
30	1213
31	1514
32	1800
33	2052
34	2382
35	2628
36	2795
37	2844
38	2831
39	2614
40	2270
41	1894
42	1671
43	1383
44	1125
45	959
46	785
47	687
48	526
49	435
50	366
51	273
52	267
53	212
54	186
55	120
56	104
57	56
58	26
59	10
60	4
61	5
62	1
63	2
64	1
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
