#Mean	37.838
#Median	37
#Mode	37
#STDev	5.928
#GC	Count
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	1
19	5
20	2
21	9
22	17
23	44
24	91
25	122
26	239
27	378
28	660
29	851
30	1236
31	1463
32	1760
33	2159
34	2388
35	2528
36	2686
37	2870
38	2862
39	2640
40	2382
41	1907
42	1723
43	1395
44	1090
45	923
46	750
47	652
48	542
49	448
50	366
51	332
52	246
53	243
54	173
55	137
56	66
57	43
58	24
59	13
60	4
61	1
62	1
63	0
64	0
65	1
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
